"word_combo","ko_cue","ko_target","type","cue_type","target_type","ko_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"가끔드물게","가끔","드물게","related","word","word",0.265907278342495,-0.126272565629978,0.758998114506407,0.0988131379640877,59,70,74,0,0.945945945945946,71,74,0,0.959459459459459,FALSE,TRUE,TRUE
"가끔석어","가끔","석어","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가끔조각","가끔","조각","unrelated","word","word",0.0674980534075949,-0.663275195147509,0.471604182022976,0.0613976348715734,59,73,75,5,0.973333333333333,73,74,6,0.986486486486487,TRUE,TRUE,TRUE
"가난가터콥","가난","가터콥","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가난고통","가난","고통","related","word","word",NA,-0.602973299229153,0.467969373834014,0.0631009774951803,55,59,63,4,0.936507936507937,58,63,4,0.920634920634921,TRUE,TRUE,TRUE
"가난메세지","가난","메세지","unrelated","word","word",0,-0.214253638024696,0.732639048966435,0.101598756055987,52,58,63,2,0.920634920634921,59,64,1,0.921875,FALSE,TRUE,TRUE
"가난한부자","가난한","부자","related","word","word",0.460592583076489,-0.410584112883501,1.08358413779109,0.143524225210673,57,61,65,3,0.938461538461538,60,65,3,0.923076923076923,FALSE,TRUE,TRUE
"가난한얻었턴","가난한","얻었턴","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가난한점검","가난한","점검","unrelated","word","word",0.102435399869242,-0.339751440068251,0.473610360604945,0.0663187155544429,51,65,68,4,0.955882352941177,66,68,4,0.970588235294118,TRUE,TRUE,TRUE
"가능성가망","가능성","가망","related","word","word",0.368232438108505,-0.0147585972512249,1.09764967444498,0.150773778299858,53,65,75,3,0.866666666666667,68,75,3,0.906666666666667,FALSE,TRUE,TRUE
"가능성걷다","가능성","걷다","unrelated","word","word",0.147416652939314,-0.467596780627443,0.36262959504645,0.0493476374164387,54,63,67,0,0.940298507462687,62,67,0,0.925373134328358,TRUE,TRUE,TRUE
"가능성별탕듯한","가능성","별탕듯한","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가동상의기능의","가동상의","기능의","related","word","word",NA,-0.0721867044979512,0.73832190492105,0.100472885165347,54,58,70,3,0.828571428571429,19,71,2,0.267605633802817,FALSE,TRUE,TRUE
"가동상의아름다운","가동상의","아름다운","unrelated","word","word",0,-0.310103541862069,0.649639468488694,0.0918728946989559,50,61,66,2,0.924242424242424,11,65,3,0.169230769230769,FALSE,TRUE,TRUE
"가동상의원소","가동상의","원소","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가들렸고","가들","렸고","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가들성능","가들","성능","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가등디는","가등","디는","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가등집중","가등","집중","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가르망하다델을","가르망하다","델을","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가르망하다아이러니 한","가르망하다","아이러니 한","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가리길러공격","가리길러","공격","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가리길러스박같은","가리길러","스박같은","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가리키다내비치다","가리키다","내비치다","related","word","word",NA,0.290318677107939,0.760429606875958,0.101616680560323,56,58,60,2,0.966666666666667,53,60,2,0.883333333333333,FALSE,TRUE,TRUE
"가리키다자비","가리키다","자비","unrelated","word","word",0,-0.0901874448568986,0.674504941693452,0.0935370058780612,52,60,64,4,0.9375,57,64,4,0.890625,FALSE,TRUE,TRUE
"가리키다츠카","가리키다","츠카","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가불결없어한","가불결","없어한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가불결투자하다","가불결","투자하다","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"가수빗이","가수","빗이","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
