"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abaixoacima","abaixo","acima","related","word","word",0.729618291672759,-0.442763998903964,0.479941982884556,0.119985495721139,16,17,17,0,1,17,17,0,1,FALSE,FALSE,FALSE
"abaixojogo","abaixo","jogo","unrelated","word","word",0.0874637433829765,-0.727756385229565,0.294835733474475,0.0817727196062504,13,14,14,0,1,14,14,0,1,FALSE,FALSE,FALSE
"abaixoperprestar","abaixo","perprestar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaraquentaruda","abandoar","aquentaruda","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoarhiv","abandoar","hiv","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaformiga","abelha","formiga","related","word","word",0.551243073872046,-0.519691074691943,0.63036195284578,0.123624149930273,26,27,27,1,1,27,27,1,1,FALSE,FALSE,FALSE
"abelhaincluístúnio","abelha","incluístúnio","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelharemover","abelha","remover","unrelated","word","word",0.0743276275912317,-0.444594363168363,0.346675049040754,0.109628276291935,10,11,12,0,0.916666666666667,11,12,0,0.916666666666667,FALSE,FALSE,FALSE
"aberturafecho","abertura","fecho","related","word","word",0.385173719994541,-0.538064636393817,1.08083119600143,0.34178883455284,10,10,11,0,0.909090909090909,11,11,0,1,FALSE,FALSE,FALSE
"aberturasalvador","abertura","salvador","unrelated","word","word",0.0718236685083176,-0.501167808527624,0.640096671501552,0.160024167875388,16,16,16,0,1,15,16,0,0.9375,FALSE,FALSE,FALSE
"aberturasimpard","abertura","simpard","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurexplosão","abeur","explosão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurtranhasra","abeur","tranhasra","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipa","abrir","equipa","unrelated","word","word",0.0895483830117641,-0.220391710606684,1.30865949048837,0.317396547485326,17,18,18,1,1,18,18,1,1,FALSE,FALSE,FALSE
"abrirfechar","abrir","fechar","related","word","word",0.737872121803846,-0.414176024952415,0.721372409931835,0.240457469977278,9,9,10,1,0.9,10,10,1,1,FALSE,FALSE,FALSE
"abrirmastições","abrir","mastições","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarralizmio","absolucarra","lizmio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarramissão","absolucarra","missão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamenteassaltar","absolutamente","assaltar","unrelated","word","word",0.0712911384262012,-0.221050734378374,0.546136967174796,0.136534241793699,16,19,19,0,1,18,19,0,0.947368421052632,FALSE,FALSE,FALSE
"absolutamentecompletamente","absolutamente","completamente","related","word","word",0.642043621411263,-0.257540512404154,0.843756494197279,0.243571519527647,12,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"absolutamentenutriear","absolutamente","nutriear","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absteperfume","abste","perfume","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstepisxo","abste","pisxo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoquartel-general","acalmano","quartel-general","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoquerruto","acalmano","querruto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acampamentocaçõesdo","acampamento","caçõesdo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acampamentocerveja","acampamento","cerveja","unrelated","word","word",0.0838297025417324,-0.333787324242016,0.599199405768855,0.172973969109456,12,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"acampamentovila","acampamento","vila","related","word","word",0.39028471987528,-0.141892046100257,0.514652497610202,0.118069380427562,19,19,19,0,1,18,19,0,0.947368421052632,FALSE,FALSE,FALSE
