"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_br_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abaixoacima","abaixo","acima","related","word","word",0.729618291672759,0.678889033609888,1.37220177291417,0.792241062974476,3,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"abaixojogo","abaixo","jogo","unrelated","word","word",0.0874637433829765,-0.480539529522593,0.680067717413026,0.196318639857793,12,12,12,0,1,10,12,0,0.833333333333333,FALSE,FALSE,FALSE
"abaixotordativo","abaixo","tordativo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoardrugrante","abandoar","drugrante","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaresperar","abandoar","esperar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaformiga","abelha","formiga","related","word","word",0.551243073872046,-0.448661776660396,0.569753411232638,0.328947285346871,3,3,3,1,1,3,3,1,1,FALSE,FALSE,FALSE
"abelhaperigoblins","abelha","perigoblins","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelharemover","abelha","remover","unrelated","word","word",0.0743276275912317,-0.196433262746205,0.410140287650776,0.129697746917308,10,10,11,0,0.909090909090909,11,11,0,1,FALSE,FALSE,FALSE
"aberturaestupitrais","abertura","estupitrais","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aberturafecho","abertura","fecho","related","word","word",0.385173719994541,-0.375351727981557,0.713145927322328,0.225516543441146,10,10,10,1,1,11,11,0,1,FALSE,FALSE,FALSE
"aberturaformiga","abertura","formiga","unrelated","word","word",0.0875420762054147,-0.545509045143543,0.860663895397868,0.608581276758262,2,2,2,1,1,2,2,1,1,FALSE,FALSE,FALSE
"abeurarmário de rblishing","abeur","armário de rblishing","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurrenda","abeur","renda","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abriradoximo","abrir","adoximo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipe","abrir","equipe","unrelated","word","word",0.0787628513995045,-0.861452121394351,0.330483056503981,0.190804481635184,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"abrirfechar","abrir","fechar","related","word","word",0.737872121803846,-0.603935479718644,0.463839742262203,0.154613247420734,9,9,9,0,1,9,9,0,1,FALSE,FALSE,FALSE
"absolucarraimpéções","absolucarra","impéções","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarraprivacidade","absolucarra","privacidade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamenteassaltar","absolutamente","assaltar","unrelated","word","word",0.0712911384262012,-0.189679300006349,0.605756206097292,0.138970004568458,19,19,19,0,1,19,19,0,1,FALSE,FALSE,FALSE
"absolutamentecompletamente","absolutamente","completamente","related","word","word",0.642043621411263,-0.641548417596117,0.503944545794017,0.251972272897008,4,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"absolutamentesumptude","absolutamente","sumptude","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstetartaruga","abste","tartaruga","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
