"word_combo","ro_cue","ro_target","type","cue_type","target_type","ro_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"a cotacolport","a cotacol","port","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a cotacolstratesă","a cotacol","stratesă","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a inghgdonelimina","a inghgdon","elimina","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a inghgdonpratodraz","a inghgdon","pratodraz","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a opedofdocucţie","a opedof","docucţie","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a opedofeșec","a opedof","eșec","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a operaemoţiocumpărare","a opera","emoţiocumpărare","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a operaintervenție chirurgicală","a opera","intervenție chirurgicală","related","word","word",NA,1.26570085196373,1.4482874471647,0.226184498919757,41,41,44,1,0.931818181818182,44,44,1,1,FALSE,FALSE,FALSE
"a operastradă","a opera","stradă","unrelated","word","word",NA,-0.479372761940561,0.702238709962369,0.118700006711952,35,35,35,0,1,35,35,0,1,FALSE,FALSE,FALSE
"a seamarinăcowboy","a seamarină","cowboy","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a seamarinălocotegoric","a seamarină","locotegoric","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a sphapsbroasțumire","a sphaps","broasțumire","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a sphapssuprafaţă","a sphaps","suprafaţă","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a udalidepozit de arme","a udali","depozit de arme","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a udaliîn jrşti","a udali","în jrşti","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a ulișplimbare","a uliș","plimbare","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a ulișreamantă","a uliș","reamantă","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a-și da seamainpracti","a-și da seama","inpracti","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a-și da seamaînțelege","a-și da seama","înțelege","related","word","word",NA,-0.638802405656512,0.440683535141808,0.0939540453783563,22,22,22,0,1,22,22,0,1,FALSE,FALSE,FALSE
"a-și da seamaminister","a-și da seama","minister","unrelated","word","word",NA,0.162719147168531,1.32826964317676,0.22779636449256,34,36,39,2,0.923076923076923,35,38,3,0.921052631578947,FALSE,FALSE,FALSE
"abinicnuntă","abinic","nuntă","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abinicsupravitress","abinic","supravitress","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutcomplet","absolut","complet","related","word","word",0.545900582507094,-0.788142706584465,0.45213070288228,0.0764240374468708,35,36,36,0,1,36,36,0,1,FALSE,FALSE,FALSE
"absolutjefui","absolut","jefui","unrelated","word","word",0.120156126394383,-0.235785129522028,0.458455096903212,0.070741157259361,42,42,45,0,0.933333333333333,44,45,0,0.977777777777778,FALSE,FALSE,FALSE
"absolutstralţime","absolut","stralţime","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absonecieveniment","absoneci","eveniment","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
