"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_br_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abaixoacima","abaixo","acima","related","word","word",0.729618291672759,0.233195977342195,1.43173356646647,0.715866783233236,4,5,5,0,1,5,5,0,1,FALSE,FALSE,FALSE
"abaixojogo","abaixo","jogo","unrelated","word","word",0.0874637433829765,-0.56923978555672,0.664964019190496,0.177719109595929,14,14,14,0,1,12,14,0,0.857142857142857,FALSE,FALSE,FALSE
"abaixotordativo","abaixo","tordativo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoardrugrante","abandoar","drugrante","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaresperar","abandoar","esperar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaformiga","abelha","formiga","related","word","word",0.551243073872046,-0.510472446523502,0.481346931754899,0.240673465877449,4,4,4,1,1,4,4,1,1,FALSE,FALSE,FALSE
"abelhaperigoblins","abelha","perigoblins","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelharemover","abelha","remover","unrelated","word","word",0.0743276275912317,-0.196433262746205,0.410140287650776,0.129697746917308,10,10,11,0,0.909090909090909,11,11,0,1,FALSE,FALSE,FALSE
"aberturaestupitrais","abertura","estupitrais","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aberturafecho","abertura","fecho","related","word","word",0.385173719994541,-0.291350345779774,0.693445992232069,0.200180615141826,12,12,13,1,0.923076923076923,14,14,0,1,FALSE,FALSE,FALSE
"aberturaformiga","abertura","formiga","unrelated","word","word",0.0875420762054147,-0.545509045143543,0.860663895397868,0.608581276758262,2,2,2,1,1,2,2,1,1,FALSE,FALSE,FALSE
"abeurarmário de rblishing","abeur","armário de rblishing","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurrenda","abeur","renda","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abriradoximo","abrir","adoximo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipe","abrir","equipe","unrelated","word","word",0.0787628513995045,-0.714141293316473,0.399517985452598,0.199758992726299,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"abrirfechar","abrir","fechar","related","word","word",0.737872121803846,-0.384106049532973,0.821274518039766,0.25970980612627,10,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
