"word_combo","hu_cue","hu_target","type","cue_type","target_type","hu_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"ablakajtó","ablak","ajtó","related","word","word",0.690399156917064,-0.652196516787312,0.520447245546983,0.0683380713044425,58,63,66,2,0.954545454545455,60,66,2,0.909090909090909,TRUE,TRUE,TRUE
"ablakhangya","ablak","hangya","unrelated","word","word",0.0786743028842617,-0.511887955252349,0.476919586099491,0.109412856842259,19,21,21,0,1,18,21,0,0.857142857142857,FALSE,FALSE,FALSE
"ablakszrű","ablak","szrű","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adalcigaretta","adal","cigaretta","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adalhadnodi","adal","hadnodi","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adatabszurd","adat","abszurd","unrelated","word","word",0.0869377485760811,0.0807599725464623,0.32402433039003,0.0763732670960736,18,19,19,0,1,18,19,0,0.947368421052632,FALSE,FALSE,FALSE
"adatfejlütés","adat","fejlütés","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adatinformáció","adat","információ","related","word","word",0.617065466551895,-0.281365858679898,0.521442520980849,0.144622134354127,13,16,17,1,0.941176470588235,13,17,1,0.764705882352941,FALSE,FALSE,FALSE
"adgipaklány","adgi","paklány","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adgiválság","adgi","válság","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminiszázációszobas","adminiszázáció","szobas","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminiszázációtáska","adminiszázáció","táska","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminisztrációkormány","adminisztráció","kormány","related","word","word",0.397800972769549,-0.145026916444417,1.15636498375159,0.47208402776886,6,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"adminisztrációreakzar","adminisztráció","reakzar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminisztrációtart","adminisztráció","tart","unrelated","word","word",0.105568342626211,-0.315619310464321,0.776465944581442,0.17813350450165,19,20,21,0,0.952380952380952,20,21,0,0.952380952380952,FALSE,FALSE,FALSE
"afikkafelső","afikka","felső","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afikkaheziin","afikka","heziin","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikaamerika","afrika","amerika","related","word","word",0.571058770013399,-0.453116799666716,0.773729947817153,0.146221215989084,28,32,33,1,0.96969696969697,30,33,1,0.909090909090909,FALSE,FALSE,FALSE
"afrikaidégítő","afrika","idégítő","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikaoxigén","afrika","oxigén","unrelated","word","word",0.0815281150869343,-0.270536108420145,0.667255566680114,0.136202972199826,24,26,30,0,0.866666666666667,27,30,0,0.9,FALSE,FALSE,FALSE
"aggódóeziet","aggódó","eziet","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aggódóideges","aggódó","ideges","related","word","word",0.430876103625961,-0.587752495363775,0.452203910134791,0.159878225667691,8,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"aggódómagasság","aggódó","magasság","unrelated","word","word",0.122600632549651,-0.607053875627522,0.514312945315705,0.142644745843898,13,14,14,0,1,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"aggóósóceán","aggóós","óceán","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aggóóstemenys","aggóós","temenys","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agjapa","agj","apa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agjtengrtész","agj","tengrtész","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyagyi-","agy","agyi-","related","word","word",NA,0.492290727756317,0.884162426338865,0.228289756836851,15,15,20,1,0.75,19,20,1,0.95,FALSE,FALSE,FALSE
"agycsera","agy","csera","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyjel","agy","jel","unrelated","word","word",0.103229054242773,-0.536208080999731,0.558340238745405,0.168345916115997,11,13,14,1,0.928571428571429,13,14,1,0.928571428571429,FALSE,FALSE,FALSE
"ahnőharcos","ahnő","harcos","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahnőtánydő","ahnő","tánydő","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aidsétterem","aids","étterem","unrelated","word","word",0.033864173723893,0.586634903032648,2.54533655569173,0.705949343450727,13,14,14,1,1,5,14,1,0.357142857142857,FALSE,FALSE,FALSE
"aidshiv","aids","hiv","related","word","word",0.612777138904875,0.97439424328511,2.27618924513595,0.552056981270026,17,17,21,1,0.80952380952381,7,21,1,0.333333333333333,FALSE,FALSE,FALSE
"aidsnsba","aids","nsba","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aisáfény","aisá","fény","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
