"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_br_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abaixoacima","abaixo","acima","related","word","word",0.729618291672759,-0.320437149138175,0.94126345847945,0.235315864619862,16,18,18,2,1,18,19,1,0.947368421052632,FALSE,FALSE,FALSE
"abaixojogo","abaixo","jogo","unrelated","word","word",0.0874637433829765,-0.679168220567524,0.505070755166127,0.080876047565693,39,41,41,0,1,39,41,0,0.951219512195122,FALSE,FALSE,FALSE
"abaixotordativo","abaixo","tordativo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoardrugrante","abandoar","drugrante","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abandoaresperar","abandoar","esperar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelhaformiga","abelha","formiga","related","word","word",0.551243073872046,-0.457363423020839,0.788579161681918,0.141632998505902,31,33,33,1,1,31,33,1,0.93939393939394,FALSE,FALSE,FALSE
"abelhaperigoblins","abelha","perigoblins","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abelharemover","abelha","remover","unrelated","word","word",0.0743276275912317,-0.0622388362074017,0.955748357459841,0.203766234466136,22,23,24,1,0.958333333333333,23,24,1,0.958333333333333,FALSE,FALSE,FALSE
"aberturaestupitrais","abertura","estupitrais","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aberturafecho","abertura","fecho","related","word","word",0.385173719994541,-0.342995431649083,0.647594821545503,0.103698163187816,39,40,46,1,0.869565217391304,47,47,0,1,FALSE,FALSE,FALSE
"aberturaformiga","abertura","formiga","unrelated","word","word",0.0875420762054147,-0.476149413409748,0.698743243610447,0.10655734568016,43,45,45,1,1,45,45,1,1,FALSE,FALSE,FALSE
"abeurarmário de rblishing","abeur","armário de rblishing","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeurrenda","abeur","renda","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abriradoximo","abrir","adoximo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abrirequipe","abrir","equipe","unrelated","word","word",0.0787628513995045,-0.4707515418861,0.594567053028222,0.0886328231835217,45,50,50,1,1,48,50,1,0.96,TRUE,TRUE,FALSE
"abrirfechar","abrir","fechar","related","word","word",0.737872121803846,-0.424043733036129,0.695354557905911,0.117536372631809,35,37,37,0,1,37,37,0,1,FALSE,FALSE,FALSE
"absolucarraimpéções","absolucarra","impéções","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolucarraprivacidade","absolucarra","privacidade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutamenteassaltar","absolutamente","assaltar","unrelated","word","word",0.0712911384262012,-0.392851277853824,0.504817983476135,0.0818922906918645,38,39,39,0,1,38,39,0,0.974358974358974,FALSE,FALSE,FALSE
"absolutamentecompletamente","absolutamente","completamente","related","word","word",0.642043621411263,-0.387692478295987,0.633564544495349,0.115672530885196,30,33,33,0,1,31,33,0,0.93939393939394,FALSE,FALSE,FALSE
"absolutamentesumptude","absolutamente","sumptude","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstetartaruga","abste","tartaruga","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abstevarviqueicho","abste","varviqueicho","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoeir","acalmano","eir","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acalmanoheroína","acalmano","heroína","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
