"word_combo","fr_cue","fr_target","type","cue_type","target_type","fr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abdolledépenront","abdolle","dépenront","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abdollenez","abdolle","nez","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeillecompette","abeille","compette","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abeillefourmi","abeille","fourmi","related","word","word",0.52499457384056,-0.378364238374564,0.96958610763516,0.142957672370341,46,48,48,1,1,47,47,2,1,FALSE,FALSE,FALSE
"abeilleretirer","abeille","retirer","unrelated","word","word",0.128217315748873,1.03822776903031,3.02333872247636,0.838523291306484,13,13,13,1,1,13,13,1,1,FALSE,FALSE,FALSE
"ableboston","able","boston","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablechejou","able","chejou","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ablepêture","able","pêture","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abletraître","able","traître","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolumentchausté","absolument","chausté","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolumentcomplètement","absolument","complètement","related","word","word",0.438245297981234,-0.544003803048094,0.411884932622284,0.130249452099141,10,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"absolumentdérober","absolument","dérober","unrelated","word","word",0.120982964032593,-0.260847613422223,0.457776307872515,0.082219052036145,31,31,32,0,0.96875,30,32,0,0.9375,FALSE,FALSE,FALSE
"accidentellementgorgée","accidentellement","gorgée","unrelated","word","word",0.114951109745348,-0.250440811636702,0.697341367821906,0.139468273564381,25,25,25,0,1,23,25,0,0.92,FALSE,FALSE,FALSE
"accidentellementintentionnellement","accidentellement","intentionnellement","related","word","word",0.549733495120296,0.184263724490559,0.550182634837658,0.133438889224488,17,18,18,0,1,17,18,0,0.944444444444444,FALSE,FALSE,FALSE
"accidentellementquateille","accidentellement","quateille","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accipontelletriquescérébral","accipontelletriques","cérébral","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accipontelletriquestruel","accipontelletriques","truel","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accladéterminageuses","accla","déterminageuses","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acclapère","accla","père","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheminalmagazine","acheminal","magazine","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acheminalprosgérer","acheminal","prosgérer","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achetercomité","acheter","comité","unrelated","word","word",0.08416037489482,-0.127979884893072,0.650070497459292,0.125106125566785,27,30,31,0,0.967741935483871,30,31,0,0.967741935483871,FALSE,FALSE,FALSE
"acheterdippétère","acheter","dippétère","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achetervendre","acheter","vendre","related","word","word",0.693497581152787,-0.887558801396238,0.385749917504825,0.0534938887334481,52,53,53,2,1,53,53,2,1,TRUE,TRUE,TRUE
"aciecomité","acie","comité","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aciedibouche","acie","dibouche","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acnuaitcoltées","acnuait","coltées","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acnuaitenvoyer","acnuait","envoyer","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actifactivité","actif","activité","related","word","word",0.472190341969602,-0.595665904135632,0.493759260415156,0.0950240139718536,27,28,28,0,1,27,28,0,0.964285714285714,FALSE,FALSE,FALSE
"actifnurez","actif","nurez","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actifpont","actif","pont","unrelated","word","word",0.0676888474842643,-0.368920650884445,0.380403088920859,0.0672464009400622,32,32,32,1,1,31,32,1,0.96875,FALSE,FALSE,FALSE
"adgrammefugitif","adgramme","fugitif","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adgrammeganihe","adgramme","ganihe","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adilesnoisattaque","adilesnois","attaque","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adilesnoiscatas","adilesnois","catas","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adjatecréapagne","adjate","créapagne","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adjateinspection","adjate","inspection","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admettreavouer","admettre","avouer","related","word","word",0.721573151013603,-0.565765308018126,0.477606541635448,0.104222291878596,21,21,21,1,1,20,21,1,0.952380952380952,FALSE,FALSE,FALSE
"admettremission","admettre","mission","unrelated","word","word",0.131463795556665,-0.488538724450991,0.522430782396884,0.102457105920894,26,29,29,0,1,27,29,0,0.931034482758621,FALSE,FALSE,FALSE
"admettresiom","admettre","siom","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"administrationétace","administration","étace","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
