"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"一三","一","三","related","word","word",0.774655994802897,-0.0001318898969839,0.999346510190884,0.407981504366456,6,7,7,0,1,5,6,1,0.833333333333333,FALSE,FALSE,FALSE
"一丝中","一","丝中","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一松和援","一松","和援","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一松脸颊","一松","脸颊","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一般地态","一般","地态","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"一般睡梦","一般","睡梦","unrelated","word","word",NA,-0.137265947485616,0.910786186221589,0.32201154424416,8,10,11,0,0.909090909090909,10,11,0,0.909090909090909,FALSE,FALSE,FALSE
"一般通常","一般","通常","related","word","word",0.734443081075779,-0.46395918253595,0.470729478622002,0.0941458957244005,25,27,27,0,1,24,27,0,0.888888888888889,FALSE,FALSE,FALSE
"一表现","一","表现","unrelated","word","word",0.509686512050833,-0.0559515767083591,0.875399344767968,0.218849836191992,16,17,17,0,1,11,17,0,0.647058823529412,FALSE,FALSE,FALSE
"万公美丽","万公","美丽","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"万公降不","万公","降不","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"丈夫妻子","丈夫","妻子","related","word","word",0.642943934870595,-0.495823085352614,0.990055254355942,0.350037392052229,8,8,9,0,0.888888888888889,9,9,0,1,FALSE,FALSE,FALSE
"丈夫已婚","丈夫","已婚","unrelated","word","word",0.746502978119642,-0.427820713012148,0.548233434621331,0.137058358655333,16,19,20,2,0.95,20,20,2,1,FALSE,FALSE,FALSE
"丈夫躞吃闷","丈夫","躞吃闷","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"三明治妇搅","三明治","妇搅","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"三明治宗教","三明治","宗教","unrelated","word","word",0.712971410693287,0.0147514464481983,1.12169683095777,0.175179613789204,41,42,44,0,0.954545454545455,44,44,0,1,FALSE,FALSE,FALSE
"三明治汉堡包","三明治","汉堡包","related","word","word",0.944913152420135,-0.584711761946242,0.571590429918053,0.104357657373398,30,30,30,1,1,30,30,1,1,FALSE,FALSE,FALSE
"上仙怹产品","上仙怹","产品","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上仙怹鞋去","上仙怹","鞋去","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上仪已婚","上仪","已婚","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上仪调记","上仪","调记","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上帝团体","上帝","团体","unrelated","word","word",0.529134413656685,-0.331822525573671,0.956125289826664,0.478062644913332,4,7,8,0,0.875,6,8,0,0.75,FALSE,FALSE,FALSE
"上帝惊回","上帝","惊回","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"上帝神圣","上帝","神圣","related","word","word",0.574448692333842,-0.409032923099081,0.596960430576742,0.110852769034267,29,33,33,0,1,33,33,0,1,FALSE,FALSE,FALSE
"上湛图落","上湛","图落","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
