"word_combo","hu_cue","hu_target","type","cue_type","target_type","hu_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"ablakajtó","ablak","ajtó","related","word","word",0.690399156917064,-0.652196516787312,0.520447245546983,0.0683380713044425,58,63,66,2,0.954545454545455,60,66,2,0.909090909090909,TRUE,TRUE,TRUE
"ablakhangya","ablak","hangya","unrelated","word","word",0.0786743028842617,-0.500945564234431,0.461645000569161,0.0984230448233312,22,25,25,0,1,22,25,0,0.88,FALSE,FALSE,FALSE
"ablakszrű","ablak","szrű","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adalcigaretta","adal","cigaretta","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adalhadnodi","adal","hadnodi","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adatabszurd","adat","abszurd","unrelated","word","word",0.0869377485760811,0.0663867030580335,0.321067154031259,0.073657856763814,19,21,21,0,1,20,21,0,0.952380952380952,FALSE,FALSE,FALSE
"adatfejlütés","adat","fejlütés","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adatinformáció","adat","információ","related","word","word",0.617065466551895,-0.308501130130895,0.526904567346283,0.131726141836571,16,20,21,1,0.952380952380952,17,21,1,0.80952380952381,FALSE,FALSE,FALSE
"adgipaklány","adgi","paklány","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adgiválság","adgi","válság","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminiszázációszobas","adminiszázáció","szobas","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminiszázációtáska","adminiszázáció","táska","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminisztrációkormány","adminisztráció","kormány","related","word","word",0.397800972769549,-0.145026916444417,1.15636498375159,0.47208402776886,6,7,7,0,1,7,7,0,1,FALSE,FALSE,FALSE
"adminisztrációreakzar","adminisztráció","reakzar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adminisztrációtart","adminisztráció","tart","unrelated","word","word",0.105568342626211,-0.223123814480194,0.828630804711933,0.172781466714151,23,25,26,0,0.961538461538462,25,26,0,0.961538461538462,FALSE,FALSE,FALSE
"afikkafelső","afikka","felső","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afikkaheziin","afikka","heziin","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afrikaamerika","afrika","amerika","related","word","word",0.571058770013399,-0.478733375827317,0.772209458887531,0.143395696611638,29,33,34,1,0.970588235294118,31,34,1,0.911764705882353,FALSE,FALSE,FALSE
