"word_combo","de_cue","de_target","type","cue_type","target_type","de_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"abendessenfrühstück","abendessen","frühstück","related","word","word",0.712240680802583,-0.627427494407465,0.481750261516716,0.0563846032699524,73,75,76,0,0.986842105263158,75,76,0,0.986842105263158,TRUE,TRUE,TRUE
"abendessenhauptquarbung","abendessen","hauptquarbung","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abendessensicherheit","abendessen","sicherheit","unrelated","word","word",0.0892428878994265,-0.592930597414092,0.636847664385971,0.0725755269503993,77,78,78,1,1,78,78,1,1,TRUE,TRUE,TRUE
"aberfessenaktividenz","aberfessen","aktividenz","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aberfessenwirklich","aberfessen","wirklich","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abfallausgeben","abfall","ausgeben","related","word","word",0.175651579912036,-0.176874975187962,0.777605695212055,0.0853533136987199,83,86,88,1,0.977272727272727,85,87,2,0.977011494252874,TRUE,TRUE,TRUE
"abfallbobtern","abfall","bobtern","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abfallgerichtsverhandlung","abfall","gerichtsverhandlung","unrelated","word","word",0.0215124563193695,1.13727313725605,0.908700273299536,0.110196094377695,68,71,73,1,0.972602739726027,71,73,1,0.972602739726027,FALSE,TRUE,TRUE
"ablehnenakzeptieren","ablehnen","akzeptieren","related","word","word",0.513031664614077,-0.50125183288478,0.493493092572966,0.0581587187045108,72,77,78,0,0.987179487179487,73,78,0,0.935897435897436,TRUE,TRUE,TRUE
"ablehnenhoch","ablehnen","hoch","unrelated","word","word",0.101356703139201,-0.541410948337129,1.10284267833269,0.144810338097329,58,61,61,3,1,60,61,3,0.983606557377049,FALSE,TRUE,TRUE
"ablehnenprinoi","ablehnen","prinoi","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abondmarkegeben","abondmarke","geben","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abondmarkewegge","abondmarke","wegge","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
