"sv_cue","sv_target","type","cue_type","target_type","sv_cosine"
"ryggrads","abdominal","related","word","word",NA
"löjlig","absurd","related","word","word",0.497068065135175
"röst","accent","related","word","word",0.44015707080963
"vägra","acceptera","related","word","word",0.409037868478243
"smutsig","äcklig","related","word","word",0.528537426460734
"förvaltning","administrativ","related","word","word",0.383503076560083
"hormon","adrenalin","related","word","word",0.455442486521821
"siffra","adress","related","word","word",0.344603821858211
"fast egendom","ägare","related","word","word",NA
"bo","ägg","related","word","word",0.218906871665434
"advokat","åklagare","related","word","word",0.552525662528667
"äktenskapsskillnad","äktenskap","related","word","word",0.662347031285778
"trigger","aktivera","related","word","word",0.187973912331292
"aktiva","aktivitet","related","word","word",0.411410049409958
"bravo","alfa","related","word","word",0.286780988425817
"motiv","alibi","related","word","word",0.490545583337692
"husmor","älskare","related","word","word",0.23926508751193
"val","alternativ","related","word","word",0.474779053276872
"afrika","amerika","related","word","word",0.501009548031253
"objekt","ämne","related","word","word",0.340761233165008
"obduktion","analys","related","word","word",0.430302430283134
"själ","anda","related","word","word",0.30529174859987
"punkt","ange","related","word","word",0.104542307412355
"offer","angripare","related","word","word",0.354257224569176
"gås","anka","related","word","word",0.44254084052091
"klagomål","anklagelse","related","word","word",0.379217863232705
"exceptionell","anmärkningsvärd","related","word","word",0.448921246068742
"liknande","annorlunda","related","word","word",0.230216764207653
"slutsats","antagande","related","word","word",0.395855396357257
"tillämpa","använda sig av","related","word","word",NA
"privilegium","ära","related","word","word",0.545400017936568
"härlig","ära","related","word","word",0.207848253971478
"jobb","arbete","related","word","word",0.688614025399409
"jordbrukare","arbetstagare","related","word","word",0.407931112280995
"svartsjuk","arg","related","word","word",0.60486827775796
"ingenjör","arkitekt","related","word","word",0.474470025117546
"anständig","ärliga","related","word","word",0.312646381112957
"lojalitet","ärlighet","related","word","word",0.543747482402711
"hand","ärm","related","word","word",0.220525636624584
"legion","armé","related","word","word",0.504796966796165
"tatuering","ärr","related","word","word",0.405207567701768
"okunnighet","arrogans","related","word","word",0.494157551678919
"arsenal","arsenal","related","word","word",1
"ven","artär","related","word","word",0.385841989206198
"naturlig","artificiell","related","word","word",0.361771238018567
"kavalleri","artilleri","related","word","word",0.620188999238311
"århundrade","årtionde","related","word","word",0.617305980384367
"arv","ärva","related","word","word",0.401400600022003
"blixt","åska","related","word","word",0.453526775418536
"sekreterare","assistent","related","word","word",0.503969224257057
"utfodra","äta","related","word","word",0.41359677696796
"stilla","atlantisk","related","word","word",NA
"miljö","atmosfär","related","word","word",0.430037321270106
"åsikt","attityd","related","word","word",0.354414762960946
"jurisdiktion","auktoritet","related","word","word",0.314722990974473
"hängande","avrättning","related","word","word",0.193552922157484
"ankomst","avresa","related","word","word",0.42573209969967
"ändamål","avsikt","related","word","word",0.227416785187446
"av misstag","avsiktligt","related","word","word",NA
"slutet","avsluta","related","word","word",0.337426701087124
"kontrakt","avtal","related","word","word",0.620370857091464
"rostat bröd","bacon","related","word","word",NA
"dusch","badrum","related","word","word",0.500465589813697
"främre","bak","related","word","word",0.290678688407717
"planet","bana","related","word","word",0.362233586581357
"orkester","band","related","word","word",0.378391236667051
"klubb","bar","related","word","word",0.407078728622244
"förlåtelse","barmhärtighet","related","word","word",0.521846460875354
"bebis","barn","related","word","word",0.486158336653746
"ungdom","barndom","related","word","word",0.447719444839466
"stadion","baseboll","related","word","word",0.226332538233099
"ubåt","båt","related","word","word",0.546001021263208
"regemente","bataljon","related","word","word",0.460782669643891
"domstol","bedöma","related","word","word",0.182513404253781
"konspiration","bedrägeri","related","word","word",0.389744863235068
"efterfrågan","begäran","related","word","word",0.282859807124049
"gräv","begrava","related","word","word",0.39419876362277
"kista","begravning","related","word","word",0.458637476096656
"terapi","behandling","related","word","word",0.507828894529083
"nödvändig","behöver","related","word","word",0.313943409987133
"bekämpa","bekämpa","related","word","word",1
"erkänna","bekänna","related","word","word",0.589360731350204
"bekräftelse","bekräfta","related","word","word",0.560104344994347
"belopp","belopp","related","word","word",1
"räkna","beräkna","related","word","word",0.535725336370461
"profil","beskrivning","related","word","word",0.422851273551615
"kommando","beställa","related","word","word",0.111619515097223
"mod","bestämning","related","word","word",NA
"överraskning","besvikelse","related","word","word",0.351436529899071
"fälla","bete","related","word","word",0.313220182301123
"menande","betydelse","related","word","word",0.229565769940257
"bevis","bevis","related","word","word",1
"fordon","bil","related","word","word",0.521198350590728
"dyr","billig","related","word","word",0.50021047924487
"kemi","biologi","related","word","word",0.515967468241229
"kemisk","biologisk","related","word","word",0.499652007625179
"stöd","bistånd","related","word","word",0.429941520870445
"fragment","bit","related","word","word",0.330704839155291
"brun","blå","related","word","word",0.501956871502009
"repa","blåmärke","related","word","word",0.283686930131909
"kombination","blandning","related","word","word",0.442404360810716
"växt","blomma","related","word","word",0.412619568437257
"ödmjuka","blygsam","related","word","word",0.31592233055009
"bibel","bok","related","word","word",0.459354973296543
"silke","bomull","related","word","word",0.409196524366263
"sheriff","borgmästare","related","word","word",0.487064733848224
