"sv_target","sv_cue","sv_fake_cue","sv_fake_target","en_cue","en_target"
"abdominal","ryggrads","ryggints","abdomibrott","spinal","abdominal"
"absurd","löjlig","senlig","abnold","ridiculous","absurd"
"accent","röst","röks","acdels","voice","accent"
"acceptera","vägra","spera","accepteravenscroft","refuse","accept"
"äcklig","smutsig","skylsig","kodlig","dirty","disgusting"
"administrativ","förvaltning","förbindning","admiskvallrativ","management","administrative"
"adrenalin","hormon","basmon","adrenavårds","hormone","adrenaline"
"adress","siffra","sprera","adrear","number","address"
"ägare","fast egendom","fast egepice","hånre","property","owner"
"ägg","bo","rn","ömg","nest","egg"
"åklagare","advokat","advoling","diskgare","lawyer","prosecutor"
"äktenskap","äktenskapsskillnad","äktenskapstestetnad","äktendigt","divorce","marriage"
"aktivera","trigger","flirger","aktiveravenscroft","trigger","activate"
"aktivitet","aktiva","dödstiva","aktivisions","active","activity"
"alfa","bravo","horvo","alpor","bravo","alpha"
"alibi","motiv","mogra","racbi","motive","alibi"
"älskare","husmor","kommor","hårdkare","mistress","lover"
"alternativ","val","jäl","alternashawn","choice","option"
"amerika","afrika","dödsrika","kungrika","africa","america"
"ämne","objekt","obseln","petne","object","subject"
"analys","obduktion","obdukland","livlys","autopsy","analysis"
"anda","själ","sjeb","anlän","soul","spirit"
"ange","punkt","purit","tige","point","indicate"
"angripare","offer","ofpad","ansiktspare","victim","attacker"
"anka","gås","åss","annul","goose","duck"
"anklagelse","klagomål","järngomål","antipsygelse","complaint","accusation"
"anmärkningsvärd","exceptionell","exceptioplats","anmärkningsgrupp","exceptional","remarkable"
"annorlunda","liknande","liknandeståndskrav","antikrunda","similar","different"
"antagande","slutsats","slutstri","antagandeståndskrav","conclusion","assumption"
"använda sig av","tillämpa","systempa","använda sskript","apply","use"
"ära","privilegium","skyddsvilegium","ixa","privilege","honor"
"ära","härlig","utelig","ixa","glorious","glory"
"arbete","jobb","joti","falklandsöarbete","job","work"
"arbetstagare","jordbrukare","transbrukare","falklandsöarbetstagare","farmer","worker"
"arg","svartsjuk","svartmisk","lyg","jealous","angry"
"arkitekt","ingenjör","ingensage","arkihugg","engineer","architect"
"ärliga","anständig","anmärkdig","blodliga","decent","honest"
"ärlighet","lojalitet","lojalimousi","ärforthet","loyalty","honesty"
"ärm","hand","haco","röm","hand","arm"
"armé","legion","legivits","arnya","legion","army"
"ärr","tatuering","tatuetooth","byr","tattoo","scar"
"arrogans","okunnighet","grotnighet","arrorett","ignorance","arrogance"
"arsenal","arsenal","arsesion","arsesion","arsenal","armory"
"artär","ven","dén","arkan","vein","artery"
"artificiell","naturlig","naskallig","falklandsöartificiell","natural","artificial"
"artilleri","kavalleri","kalibreleri","falklandsöartilleri","cavalry","artillery"
"årtionde","århundrade","århundradeståndskrav","årskörde","century","decade"
"ärva","arv","juv","malva","heritage","inherit"
"åska","blixt","blett","putka","lightning","thunder"
"assistent","sekreterare","sekreterareklamsnub","assikonst","secretary","assistant"
"äta","utfodra","utslagra","gåa","feed","eat"
"atlantisk","stilla","kallla","atlanchef","pacific","atlantic"
"atmosfär","miljö","skajö","atmolost","environment","atmosphere"
"attityd","åsikt","åsätt","attibänk","opinion","attitude"
"auktoritet","jurisdiktion","jurisdikfullt","bergstoritet","jurisdiction","authority"
"avrättning","hängande","stilande","avskrining","hanging","execution"
"avresa","ankomst","antipsy","avhandsa","arrival","departure"
"avsikt","ändamål","ändablem","avkött","purpose","intention"
"avsiktligt","av misstag","av mispott","avveckligt","accidentally","intentionally"
"avsluta","slutet","poltet","avlägsta","end","finish"
