observation,duration_demographics,time_run_demographics,time_render_demographics,time_show_demographics,time_end_demographics,time_commit_demographics,timestamp_demographics,time_switch_demographics,please_tell_us_your_gender,which_year_were_you_born,please_tell_us_your_education_level,native_language,duration_consent,time_run_consent,time_render_consent,time_show_consent,time_end_consent,time_commit_consent,timestamp_consent,time_switch_consent,url_lab,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,keep,n_trials,correct
021c9,60126.6120000238,25014.6000000238,25000.532,25033.488,85160.1000000238,85160.7000000477,2022-01-28T13:04:02.980Z,85167.098,male,1998,high school,Norsk,23437.7710000119,1526.30000001192,1436.355,1569.529,25007.3000000119,25014.2000000477,2022-01-28T13:03:02.833Z,25033.488,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1280,720,1280,577,1280,577,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.961794019933555
03b60,43729,79221,79254,79308,123037,123038,2022-01-28T10:42:57.861Z,123054,female,2001,high school,Norwegian,78970,215,235,345,79205,79219,2022-01-28T10:42:14.042Z,79308,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",MacIntel,nb-no,nb-NO,Europe/Oslo,-60,1440,900,1424,66,1440,837,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,exclude,602,0.79734219269103
04684,79882,218900,218936,218968,298850,298851,2022-01-28T10:17:03.329Z,298864,female,2000,high school,norsk,217345,1492,1515,1589,218860,218899,2022-01-28T10:15:43.378Z,218968,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",MacIntel,nb-NO,nb-NO,Europe/Oslo,-60,1440,900,1440,772,1440,820,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.908637873754153
0782c,305571.415,51169.1000000015,51163.735,51172.085,356743.5,356743.700000003,2022-01-28T09:56:21.997Z,356742.667,male,2000,high school,Norwegian,49777.920000003,1372.70000000298,1372.242,1388.78,51166.700000003,51168.8999999985,2022-01-28T09:51:16.422Z,51172.085,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,en,en-US,Europe/Budapest,-60,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.938538205980066
09f77,118097.478,114209.100000001,114202.041,114216.022,232313.5,232313.600000001,2022-01-28T09:29:14.661Z,232314.596,male,2000,doctorate,Norwegian,112880.328000001,1312.89999999851,1318.779,1325.772,114206.100000001,114208.899999999,2022-01-28T09:27:16.557Z,114216.022,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,en-US,en-US,Europe/Oslo,-60,1920,1080,1920,921,1920,969,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.945182724252492
0a841,53206,138184,138227,138260,191466,191467,2022-01-28T10:28:34.691Z,191488,female,2001,high school,Norwegian,136696,1457,1475,1526,138171,138184,2022-01-28T10:27:41.411Z,138260,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",MacIntel,nb-NO,nb-NO,Europe/Oslo,-60,1440,900,1354,644,1354,692,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.906976744186047
0dde3,19392.5349999985,47171.3000000045,47155.031,47188.365,66580.8999999985,66581.1000000015,2022-01-28T11:36:30.108Z,66589.749,female,1999,college,Urdu,45390.3669999985,1741.89999999851,1401.859,1768.533,47158.8999999985,47170.200000003,2022-01-28T11:36:10.696Z,47188.365,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",MacIntel,nb-NO,nb,Europe/Oslo,-60,1440,900,1440,631,1440,679,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.887043189368771
12d5c,24901,266667,266688,266707,291608,291609,2022-01-28T09:45:01.518Z,291634,female,1995,master,Norwegian,265056,1465,1616,1638,266672,266666,2022-01-28T09:44:36.576Z,266707,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",MacIntel,nb-no,nb-NO,Europe/Stockholm,-60,1440,900,1440,772,1440,820,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.890365448504983
130f5,47826.4749999911,5270.89999999106,5261.985,5295.425,53121.8999999911,53122.3999999911,2022-01-28T13:02:54.289Z,53134.688,female,1995,high school,Norwegian,4564.37499999702,676.59999999404,563.665,697.425,5261.79999999702,5270,2022-01-28T13:02:06.439Z,5295.425,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",MacIntel,nb-NO,nb,Europe/Oslo,-60,1280,800,1278,593,1278,641,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.893687707641196
1b916,18938.688,199741,199717.406,199767.312,218706,218706.600000009,2022-01-28T09:31:27.499Z,218717.51,male,,high school,Norwegian,197816.659000006,1837.60000000894,1714.787,1914.741,199731.400000006,199740.100000009,2022-01-28T09:31:08.532Z,199767.312,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1500,1000,1500,841,1500,889,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.941860465116279
1fb79,37937.7609999523,92579.5,92542.543,92642.539,130580.299999952,130591.100000143,2022-01-28T09:01:45.878Z,130635.514,female,1998,high school,Norsk,90752.812,1770.70000004768,1765.022,1781.688,92534.5,92577.4000000954,2022-01-28T09:01:07.863Z,92642.539,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.55 Safari/537.36",MacIntel,nb-NO,nb,Europe/Oslo,-60,1440,900,1440,773,1440,821,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,188,0.936170212765957
25d9c,70946.4330000089,99298.900000006,99278.649,99311.667,170258.100000009,170259,2022-01-28T09:17:38.659Z,170264.269,male,2000,high school,Norwegian,97376.159999997,1867,1880.799,1914.14,99290.299999997,99298.6000000089,2022-01-28T09:16:27.698Z,99311.667,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Win32,nb-NO,nb,Europe/Oslo,-60,1366,768,1366,577,1366,625,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.903654485049834
3303c,64584.78,73742,73741.88,73742.22,138327,138328,2022-01-28T09:04:44.056Z,138326.36,female,1997,high school,Norwegian,72323.4,1361,1389.94,1406.6,73730,73740,2022-01-28T09:03:39.470Z,73742.22,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:96.0) Gecko/20100101 Firefox/96.0,MacIntel,nb-NO,nb-NO,Europe/Oslo,-60,1440,900,1440,767,1440,815,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.913621262458472
331fb,63115,6123,6164,6229,69344,69344,2022-01-28T08:56:51.827Z,69364,female,2000,high school,Norwegian,4106,1916,1937,2005,6043,6123,2022-01-28T08:55:48.603Z,6229,9000,20.2.4,https://psa007.psysciacc.org/en-z/?lab=9000,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.4 Safari/605.1.15",MacIntel,nb-NO,nb-NO,Europe/Oslo,-60,1440,900,1195,719,1195,767,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.87375415282392
