"target_word","avgRT_unrelated","avgRT_related","avgZ_RT_unrelated","avgZ_RT_related","samplesize_unrelated","samplesize_related","seRT_unrelated","seRT_related","seZ_RT_unrelated","seZ_RT_related","avgRT_prime","avgZ_prime"
"abandon",885.653714283973,NA,0.491495225645781,NA,35,NA,91.7921379377085,NA,0.184891171517556,NA,NA,NA
"abdominal",NA,1014.74144451895,NA,0.292941905040137,NA,9,NA,115.396204810259,NA,0.304593742372599,NA,NA
"abduct",1070.60200000042,613.713363636243,0.883268536429192,-0.190189397090278,1,11,NA,73.9355133652948,NA,0.219278483854939,456.888636364177,1.07345793351947
"about",524.93400004768,NA,-0.723946880038827,NA,1,NA,NA,NA,NA,NA,NA,NA
"absence",901.10750002382,NA,0.404645597174181,NA,2,NA,49.6464999761375,NA,0.153470904191355,NA,NA,NA
"absurd",681.092999990964,NA,-0.20868234875512,NA,16,NA,60.3347479566943,NA,0.182830387812006,NA,NA,NA
"accent",651.407000047737,701.374238125847,-0.346255140290437,0.0519299666234663,1,42,NA,29.209032930149,NA,0.0985386425029202,-49.9672380781103,-0.398185106913904
"accept",766.153000000166,NA,-0.585737966842032,NA,1,NA,NA,NA,NA,NA,NA,NA
"accident",594.806500023842,528.42472727274,-0.16657971910002,-0.579945545821236,4,11,66.6008998588776,22.7382890228299,0.254880755897684,0.0716367708752354,66.3817727511026,0.413365826721216
"accompany",NA,673.816000001039,NA,-0.193226485465775,NA,1,NA,NA,NA,NA,NA,NA
"accusation",NA,1009.10975555804,NA,0.939469526112291,NA,45,NA,48.7180421132119,NA,0.103500869269995,NA,NA
"act",544.345116289213,NA,-0.56070257583429,NA,43,NA,17.2156532951906,NA,0.049225839545474,NA,NA,NA
"activate",NA,621.996833366041,NA,-0.275699163147939,NA,12,NA,57.490426594696,NA,0.131174543052242,NA,NA
"activity",NA,500.033999998588,NA,-0.706364202816387,NA,1,NA,NA,NA,NA,NA,NA
"actor",NA,540.797249950439,NA,-0.629603395588969,NA,4,NA,40.114082562264,NA,0.0613813666106804,NA,NA
"additional",NA,570.271750010346,NA,-0.417287490606819,NA,16,NA,43.6574699221619,NA,0.0938936720861226,NA,NA
"address",610.404999997001,NA,-0.265952273563306,NA,1,NA,NA,NA,NA,NA,NA,NA
"adrenaline",986.767999952752,613.486818174784,0.225105643535193,-0.190382521072714,4,11,127.8984323181,35.6228498120358,0.370674003429427,0.113407083921655,373.281181777968,0.415488164607907
"advise",NA,1017.24000000001,NA,1.68070070056116,NA,1,NA,NA,NA,NA,NA,NA
"airport",475.34275014454,559.04930002518,-0.807592750497625,-0.545004595161439,4,20,37.0526408751259,31.6720780005204,0.0199452296916888,0.0872043852993542,-83.7065498806393,-0.262588155336185
"alibi",1049.90300018775,NA,0.218847623525948,NA,2,NA,186.982999806276,NA,0.187546553331767,NA,NA,NA
"alien",653.133000000031,NA,-0.24934022571612,NA,1,NA,NA,NA,NA,NA,NA,NA
"alley",1478.56800007154,NA,2.12393120106991,NA,1,NA,NA,NA,NA,NA,NA,NA
"alpha",611.587000071537,528.841000002925,-0.465171312657544,-0.591416014903928,1,1,NA,NA,NA,NA,82.7460000686119,0.126244702246384
"amazing",NA,545.9496000064,NA,-0.638804029047072,NA,50,NA,28.1712327281816,NA,0.0455657451245933,NA,NA
"america",NA,673.858294152222,NA,-0.245532431769308,NA,17,NA,65.0839324639189,NA,0.162012027526308,NA,NA
"amount",835.936499998527,809.925999988104,-0.380819391755791,-0.211364448423146,4,2,237.2747298444,46.7260000118985,0.204252493962801,0.198961534573575,26.0105000104237,-0.169454943332645
"angry",605.116000000155,620.279600003082,-0.897872019622178,-0.447629646905397,1,15,NA,66.7267101177215,NA,0.0990244516681147,-15.163600002927,-0.450242372716781
"animal",530.205263200332,568.375733346302,-0.602648798835398,-0.547866200708326,38,15,20.7316460152259,28.2995711029215,0.0533474800013501,0.0686154214148151,-38.1704701459695,-0.0547825981270716
"ant",1033.76600000029,NA,-0.0670302768907396,NA,1,NA,NA,NA,NA,NA,NA,NA
"appreciate",823.960333334825,1253.3169999512,-0.13658346907482,1.19092354803768,3,4,359.96483919551,310.851305026114,0.531823374748987,0.82232531006915,-429.356666616376,-1.3275070171125
"approval",NA,758.514499995538,NA,-0.84848231781692,NA,4,NA,181.828738972188,NA,0.213042469645383,NA,NA
"architect",NA,557.484999999986,NA,-0.626738433947324,NA,1,NA,NA,NA,NA,NA,NA
"arm",NA,639.868999957907,NA,-0.388735680448728,NA,4,NA,7.67876159647583,NA,0.131540963708291,NA,NA
"armor",NA,484.252000003005,NA,-0.769338906911002,NA,1,NA,NA,NA,NA,NA,NA
