Language,Language_Name,Exclude,Keep,Exclude_Rescored,Keep_Rescored,Female,Male,Other,Not_Say,Gender_Missing,Less_High_School,High_School,Some_College,College,Masters,Doctorate,Education_Missing,Elementary,M_Age,SD_Age,Min_Age,Max_Age,M_Age_Keep,SD_Age_Keep,Min_Age_Keep,Max_Age_Keep,M_Trials,M_Answered,M_Correct,M_Time,Med_Time,Total_Stimuli_Completed,Related_Completed,Unrelated_Completed
ar,Arabic,102,133,97,138,163,46,22,4,,2,107,11,45,17,29,24,,27.29,10.45,19,103,25.97,8.61,19,58,592.98,588.34,0.92,50.75,18.67,0,0,1
cs,Czech,362,1074,298,1138,771,569,92,1,3,93,783,2,180,268,19,91,,47.33,15.63,18,85,46.63,15.25,18,85,738.93,730.17,0.94,30.34,19.76,1000,1000,1000
da,Danish,167,829,152,844,460,495,32,4,5,19,679,16,208,40,2,32,,23.98,5.23,18,78,24.07,5.39,18,78,752.94,748.48,0.93,29.96,18.7,1000,1000,1000
de,German,469,2628,415,2682,1856,1081,132,12,16,352,2015,272,97,198,38,125,,29.16,9.95,18,103,28.9,9.5,18,95,778.32,773.9,0.94,20.43,19.02,1000,1000,1000
el,Greek,130,689,118,701,495,280,34,4,6,,324,42,267,131,20,35,,29.05,10.74,19,104,29.18,10.83,19,104,768.05,763.86,0.94,19.57,18.48,1000,1000,1000
en,English,1607,5122,1474,5255,4478,1590,533,41,87,26,3846,178,1847,203,92,537,,23.94,11.76,18,103,23.45,10.54,18,103,767.25,762.36,0.92,29.14,17.65,1000,1000,1000
es,Spanish,284,1468,257,1495,1136,501,74,15,26,9,303,562,681,70,53,74,,25.57,11.03,18,103,25.03,9.77,18,72,757.39,753.2,0.94,24.64,18.04,1000,1000,1000
fa,Farsi,110,192,106,196,173,102,24,2,1,,44,26,143,63,2,24,,23.67,5.6,19,57,23.23,5.27,19,49,661.37,656.58,0.95,202.62,17.71,0,0,0
fr,French,142,869,135,876,777,161,51,9,13,25,221,189,296,198,28,54,,28.57,14.63,18,104,27.05,12.1,18,81,762.25,759.13,0.95,18.96,17.68,1000,1000,1000
he,Hebrew,74,247,65,256,252,51,18,,,3,248,3,40,,5,22,,25.99,3.51,22,43,25.47,2,22,43,711.76,708.39,0.92,18.4,16.63,1,27,21
hi,Hindi,2,1,2,1,2,1,,,,,,,,2,1,,,30,3.61,27,34,27,,27,27,200,197,0.82,27.39,27.39,0,0,0
hu,Hungarian,180,718,166,732,623,218,44,8,5,5,656,16,160,19,1,41,,22.53,4.85,18,103,22.47,4.86,18,103,777.78,773.21,0.94,26.73,17.94,1000,1000,1000
it,Italian,142,1085,126,1101,789,400,24,2,12,15,703,99,287,58,43,22,,27.33,9.48,18,72,27.22,9.38,18,72,775.13,770.48,0.95,19.27,18.1,1000,1000,1000
ja,Japanese,680,1165,602,1243,457,1222,142,20,4,40,749,,787,97,44,128,,56,15.86,18,102,55.85,15.75,18,94,651.17,643.81,0.94,21.56,18.69,1000,1000,1000
ko,Korean,601,975,498,1078,615,822,125,10,4,18,356,,879,150,48,125,,44.39,11.66,18,102,44.14,11.56,18,102,659.83,652.47,0.91,25.13,17.59,1000,1000,1034
nl,Dutch,25,184,20,189,171,26,12,,,,43,11,136,6,1,12,,20.04,3.81,18,55,19.98,3.59,18,55,792.54,787.97,0.93,18.05,17.6,0,0,0
