PSA_ID,link_IRB,type_IRB,submit_date_IRB,language,country,compensation,payment,sample,in_person,individual,Total_N,Keep,Exclude,Keep_Rescored,Exclude_Rescored,Female,Male,Other,Not_Say,Gender_Missing,Less_High_School,High_School,Some_College,College,Masters,Doctorate,Education_Missing,Elementary,M_Age,SD_Age,Min_Age,Max_Age,M_Age_Keep,SD_Age_Keep,Min_Age_Keep,Max_Age_Keep,M_Trials,M_Answered,M_Correct,M_Time,Med_Time
10,https://osf.io/download/g8ynh/,Local IRB,March 29th 2022,English,USA,Course Credit,1 Credit,Pool,No,Online testing,235,219,16,221,14,154,69,4,6,2,16,190,2,21,,6,,,21.87,12.12,18,102,21.17,9.83,18,102,796.35,793.83,0.93,17.86,17.58
22,https://osf.io/download/z4dws/,Local IRB,September 16th 2022,English,USA,Course Credit,0.5 credit,Pool,No,Online testing,697,461,236,477,220,514,102,5,2,74,8,555,74,58,,,2,,19.03,2.13,18,41,19.11,2.39,18,41,762.74,756.05,0.91,61.03,18.08
35,https://osf.io/download/tmgb7/,Local IRB,November 11th 2021,English,England,Course Credit,2 Credits,Pool,No,Online testing,133,109,24,110,23,115,10,2,,6,1,71,5,52,,1,3,,22.02,6.72,18,59,22.25,7.22,18,59,771.39,765.95,0.92,17.82,17.27
40,https://osf.io/download/93at5/,Rely on HU,October 6th 2021,German,Germany,Course Credit,1 - 2 Credits,Pool,Both,One at a time,74,64,10,67,7,55,18,,,1,13,49,1,3,3,1,4,,24.86,6.47,19,63,24.39,6.19,19,63,771.88,769.92,0.93,19.61,17.98
44,https://osf.io/download/r9jcn/,Rely on HU,January 6th 2023,Mostly English (some Chinese and Spanish participants),USA,Course Credit,Credit given varies per class,Psychology classes,Yes,Up to 10 computers available at a time,52,49,3,49,3,42,10,,,,2,21,,29,,,,,21.58,0.75,20,23,21.53,0.74,20,23,800,797.47,0.94,17.31,17.1
58,https://osf.io/download/2c7zx/,Rely on HU,No Date,Turkish,Turkey,"None, Possibly Lottery if low recruitment",Possibly 15 Turkish Liras if lottery is implemented,Pool,Yes,Ten at a time,3,1,2,1,2,1,2,,,,,,,,,3,,,33.33,5.51,27,37,37,,37,37,800,799,0.98,16.23,16.23
60,https://osf.io/download/qc6eb/,Local IRB,March 30th 2022,Hungarian,Hungary,Course Credit,2 Credits,Pool,No,Online testing,898,718,180,732,166,623,218,5,8,44,16,656,41,160,5,1,19,,22.53,4.85,18,103,22.47,4.86,18,103,777.78,773.21,0.94,26.73,17.94
64,https://osf.io/download/mrb67/,Local IRB,October 27th 2022,English,Hong Kong,"Course Credit, Possibly Money","0.5 credit per half hour, $ rate paid per minute (possibly done)","Pool, CloudResearch",No,Online testing,228,181,47,186,42,143,79,2,,4,,116,4,107,1,,,,19.11,1.43,18,28,19.15,1.52,18,28,785.64,781.15,0.91,18.43,17.77
76,https://osf.io/download/sf3mp/,Rely on HU,October 13th 2021,English,England,Course Credit,0.5 Credits per 30 mins,Pool,No,Online testing,179,145,34,149,30,143,18,6,,12,,98,13,68,,,,,22.21,6.7,18,52,22.19,6.82,18,52,788.67,784.31,0.93,18.2,17.75
87,https://osf.io/download/83g2j/,Local IRB,October 20th 2021,English,USA,Course Credit,1 Credit,Pool,No,One at a time,279,227,52,229,50,204,54,12,,9,10,181,8,78,,1,1,,20.18,1.45,18,26,20.08,1.44,18,26,760.81,755.56,0.92,27.17,17.23
91,https://osf.io/download/3pgnq/,Rely on HU,June 25th 2021,English,USA,Varied,Varied Money,"Lucid, PrimePanels, Prolific",No,Online testing,325,204,121,210,115,132,164,1,1,27,10,144,24,100,9,8,30,,54.39,18.97,19,88,56.34,18.17,19,88,726.64,718.21,0.94,22.12,18.4
93,https://osf.io/download/sf6hw/,Local IRB,July 19th 2022,NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,NA No Real Data,1,,1,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,
