browser_language,cs,da,de,el,en,es,fr,hu,it,ja,ko,pl,pt_combo,ro,ru,sr,tr,zh
Czech,1361,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,56,123,248,284,5802,170,83,124,84,19,73,110,195,561,92,633,169,172
French,1,0,2,1,2,0,920,0,0,0,0,0,3,2,0,1,0,0
German,1,3,2764,10,6,1,0,5,1,5,0,1,1,1,3,0,5,0
Hungarian,1,0,6,0,0,0,0,763,0,0,0,0,0,7,0,1,0,0
Missing,2,2,2,1,728,4,3,0,0,0,2,0,5,1,9,3,6,168
Polish,1,4,36,2,3,0,0,0,1,0,0,1379,3,2,1,0,0,0
Russian,1,0,1,0,4,0,0,0,0,0,0,8,0,3,2647,1,1,0
Slovak,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spanish,1,1,7,2,2,1567,1,1,5,0,0,0,4,3,1,0,0,0
Danish,0,859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian,0,1,7,0,1,3,2,0,1135,0,1,0,1,14,0,0,1,0
Norwegian,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwegian Bokmål,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese,0,0,1,0,113,0,1,3,0,0,0,0,2,0,0,0,0,680
Dutch,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
Greek,0,0,8,517,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Portuguese,0,0,6,0,1,1,0,0,0,0,0,0,1296,6,0,0,0,0
Hebrew,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korean,0,0,0,0,9,0,0,0,0,0,1499,0,0,0,0,0,0,0
Romanian,0,0,0,0,1,0,0,0,0,0,0,0,0,314,0,0,0,0
Serbian,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148,0,0
Swedish,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Turkish,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,2822,0
Ukrainian,0,0,0,0,1,0,0,2,0,0,0,8,0,0,5,0,0,0
Vietnamese,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Catalan,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Japanese,0,0,0,0,0,0,0,0,0,1821,1,0,0,0,0,0,0,0
Arabic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Bulgarian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Croatian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
