native_language_translated,lab_10,lab_101,lab_1013,lab_1026,lab_104,lab_1052,lab_106,lab_1060,lab_1072,lab_113,lab_1295,lab_1352,lab_1382,lab_14,lab_148,lab_1504,lab_151,lab_1518,lab_152,lab_1531,lab_1538,lab_1560,lab_1564,lab_1594,lab_162,lab_169,lab_1696,lab_1697,lab_1733,lab_180,lab_1867,lab_1879,lab_1885,lab_1897,lab_1970,lab_2049,lab_2062,lab_2070,lab_2076,lab_2192,lab_22,lab_223,lab_2373,lab_238,lab_2382,lab_2530,lab_2539,lab_259,lab_261,lab_2620,lab_2629,lab_2631,lab_2633,lab_2635,lab_2644,lab_2646,lab_2650,lab_2654,lab_2655,lab_266,lab_2699,lab_2743,lab_2752,lab_2764,lab_2765,lab_2772,lab_2788,lab_279,lab_2790,lab_2796,lab_2810,lab_2821,lab_2823,lab_2882,lab_2892,lab_2926,lab_2937,lab_2953,lab_2976,lab_2998,lab_3083,lab_3088,lab_3143,lab_3164,lab_3222,lab_336,lab_337,lab_35,lab_358,lab_365,lab_371,lab_373-1485,lab_387,lab_40,lab_406,lab_408,lab_421,lab_423,lab_437,lab_44,lab_476,lab_58,lab_60,lab_617,lab_64,lab_712,lab_728,lab_76,lab_761,lab_772,lab_829,lab_87,lab_91,lab_93,lab_98,lab_No Lab ID,lab_ZPID
English,217,1,1,0,1,0,0,2,87,0,5,0,71,62,0,0,83,0,0,90,66,0,210,1,48,0,199,0,93,0,1,0,0,77,1,0,1,1,0,60,607,34,0,0,12,1,0,0,51,0,0,0,138,64,0,0,0,0,0,149,4,0,0,0,1,496,65,138,41,0,1,3,0,21,0,0,0,0,36,0,43,160,63,0,0,0,89,111,31,0,40,46,0,0,0,134,62,1,0,38,1,0,1,0,25,221,184,163,0,0,55,240,228,0,0,27,5
Farsi,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
French,2,0,110,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,1,0,0,0,1,0,1,123,0,0,0,2,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,2,0,392,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,4,0,0,0,0,1,0,0,1,1,0
Italian,2,0,1,0,2,0,53,6,0,0,0,0,0,5,1,0,2,0,0,2,0,0,0,0,2,324,2,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,0,279,0,1,0,0,0,0,0,340,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,172,0,0,0,8,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Japanese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640
Missing,8,18,17,11,35,13,2,101,3,3,3,0,10,77,9,8,13,13,8,6,4,8,13,96,3,7,22,28,5,21,12,2,9,6,21,4,1,5,2,7,80,9,9,5,3,43,2,7,3,3,3,0,14,2,10,8,11,9,2,8,24,0,8,4,12,114,1,23,3,10,7,5,5,13,5,37,1,6,1,18,2,31,2,7,3,5,1,5,47,5,5,12,15,2,0,10,2,9,9,0,78,0,41,3,4,33,54,13,22,1,7,15,82,1,15,59,790
Nepali,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0
Spanish,1,0,1,0,0,0,0,3,0,0,4,0,2,7,199,0,10,0,0,2,10,170,17,0,0,2,0,4,0,0,0,0,0,0,0,55,1,115,0,0,1,0,0,69,0,0,0,0,0,0,0,0,15,0,0,0,0,82,102,1,0,3,124,0,399,3,2,3,0,0,0,57,0,4,44,2,0,0,0,0,0,2,2,0,0,131,0,5,3,0,3,0,0,0,0,2,0,3,0,4,0,0,0,0,0,4,36,0,0,54,4,1,0,0,0,6,0
Swiss German,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukrainian,1,2,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Polish,0,281,0,0,0,149,0,7,0,0,4,0,2,9,0,0,10,0,0,0,0,0,0,795,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,32,0,0,0,0,0,0,0,2,0,0,0,0,1,1,7,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,2
Russian,0,4,1,225,2,2,0,27,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,15,3,0,0,0,0,0,2,0,0,0,0,843,0,0,0,1,0,4,0,0,0,0,1,0,0,0,4,1284
Arabic,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2
