ua.family,cs,da,de,el,en,es,fr,hu,it,ja,ko,pl,pt_combo,ro,ru,sr,tr,zh
Chrome,813,697,1233,544,3954,1305,433,624,849,706,819,853,1145,674,1273,599,2328,540
Chrome Mobile,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Edge,274,47,655,82,730,171,110,86,97,973,548,181,159,95,197,66,219,218
Firefox,221,41,505,144,231,110,307,72,109,90,12,260,100,71,192,67,125,35
Maxthon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Opera,66,6,41,22,32,60,7,25,22,8,4,105,45,53,249,47,225,0
Safari,33,203,657,25,1050,97,150,90,138,61,9,105,56,21,85,7,81,52
Seznam prohlÃ­Å¾eÄ,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,2,2,1,728,4,3,0,0,0,2,0,5,1,9,3,6,168
Chrome Mobile WebView,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung Internet,0,0,3,0,1,4,1,1,11,0,4,1,0,0,0,0,0,0
QQ Browser,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
Edge Mobile,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iron,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
Sleipnir,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Whale,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0
Yandex Browser,0,0,0,0,0,0,0,0,0,0,0,1,0,0,754,0,24,0
UC Browser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
