native_language_translated,freq.n_lang
English,16.9485055540711
German,9.19189220139711
Turkish,8.65366263312593
Russian,7.54666564873841
Spanish,6.00450433255716
Polish,4.63411841050502
Japanese,4.61121502462114
Portuguese,4.30965377715006
Italian,4.26766423636294
Czech,4.13787838302096
Korean,4.03099591556285
French,3.21029125472382
Danish,3.12249494216895
Hungarian,2.91254723823339
Mandarin,2.69878230331717
Greek,2.66060999351071
Serbian,2.64534106958812
Romanian,2.24453181662022
Missing,1.71011947932969
Chinese,0.568767416116349
Cantonese,0.46570217963889
Portuguese-Brazilian,0.278657861587205
Kurdish,0.187044318051685
Arabic,0.175592625109745
Dutch,0.167958163148452
Filipino,0.125968622361339
Ukrainian,0.122151391380692
Hindi,0.114516929419399
Farsi,0.0992480054968126
Vietnamese,0.0801618505935794
Slovak,0.0763446196129328
Punjabi,0.0725273886322861
Urdu,0.0725273886322861
Tami,0.0687101576516395
Albanian,0.0610756956903462
Bengali,0.0610756956903462
Bulgarian,0.053441233729053
Croatian,0.0496240027484063
Gujurati,0.0458067717677597
Nepali,0.041989540787113
Tatar,0.0381723098064664
Kazakh,0.0343550788258198
Telugu,0.0343550788258198
Bosnian,0.0305378478451731
Marathi,0.0305378478451731
Valencian,0.0305378478451731
Armenian,0.0267206168645265
"Multiple: German, English",0.0267206168645265
"Multiple: German, Russian",0.0267206168645265
Norwegian,0.0267206168645265
Creole,0.0229033858838798
Malayalam,0.0229033858838798
"Multiple: German, Turkish",0.0229033858838798
Burmese,0.0190861549032332
Kinyarwanda,0.0190861549032332
Lithuanian,0.0190861549032332
"Multiple: English, French",0.0190861549032332
Shona,0.0190861549032332
Swedish,0.0190861549032332
Azerbaijani,0.0152689239225866
Belarusian,0.0152689239225866
Brazilian Portuguese,0.0152689239225866
Macedonian,0.0152689239225866
Malagasy,0.0152689239225866
"Multiple: English, Cantonese",0.0152689239225866
"Multiple: German, French",0.0152689239225866
"Multiple: Polish, German",0.0152689239225866
"Multiple: Russian, German",0.0152689239225866
"Multiple: Turkish, German",0.0152689239225866
Castilian Spanish,0.0114516929419399
Hebrew,0.0114516929419399
Indonesian,0.0114516929419399
Kannada,0.0114516929419399
Kyrgyz,0.0114516929419399
Mari,0.0114516929419399
Mongolian,0.0114516929419399
Mordovian,0.0114516929419399
"Multiple: Danish, German",0.0114516929419399
"Multiple: German, Polish",0.0114516929419399
"Multiple: German, Romanian",0.0114516929419399
"Multiple: German, Spanish",0.0114516929419399
Sinhalese,0.0114516929419399
Swahili,0.0114516929419399
Tajik,0.0114516929419399
Yoruba,0.0114516929419399
Catalan,0.00763446196129328
Ibo,0.00763446196129328
Ilocano,0.00763446196129328
Kabardian,0.00763446196129328
Kabyle,0.00763446196129328
Khmer,0.00763446196129328
Latvian,0.00763446196129328
"Multiple: Albanian, German",0.00763446196129328
"Multiple: Arabic, German",0.00763446196129328
"Multiple: Catalan, Spanish",0.00763446196129328
"Multiple: Chinese, Spanish",0.00763446196129328
"Multiple: Danish, Bosnian",0.00763446196129328
"Multiple: English, Romanian",0.00763446196129328
"Multiple: English, Spanish",0.00763446196129328
"Multiple: English, Urdu",0.00763446196129328
"Multiple: German, Albanian",0.00763446196129328
"Multiple: Greek, German",0.00763446196129328
"Multiple: Portuguese, English",0.00763446196129328
"Multiple: Punjabi, German",0.00763446196129328
"Multiple: Russian, Czech",0.00763446196129328
"Multiple: Spanish, Basque",0.00763446196129328
"Multiple: Spanish, Portuguese",0.00763446196129328
"Multiple: Turkish, English",0.00763446196129328
"Multiple: Urdu, English",0.00763446196129328
"Mutliple: German, Serbian",0.00763446196129328
Serbo-Croatian,0.00763446196129328
Sinhala,0.00763446196129328
Tamil,0.00763446196129328
Uzbek,0.00763446196129328
Valencian Spanish,0.00763446196129328
Aramaic,0.00381723098064664
Assyrian,0.00381723098064664
Bashkir,0.00381723098064664
