native_language_translated,freq.n_lang
English,17.1919087549179
German,9.39474625442117
Turkish,8.63172117791996
Russian,6.99439653459444
Spanish,6.13201923459047
Polish,4.64570997098915
Japanese,4.50661685808528
Italian,4.37944601200175
Portuguese,4.37149783412153
Czech,4.06946707467313
Korean,3.80717720462584
French,3.30644199817192
Danish,3.19914159678894
Hungarian,2.96467034932242
Greek,2.73417319079601
Mandarin,2.68251003457457
Serbian,2.65866550093391
Romanian,2.23343798434209
Missing,1.64527282120574
Chinese,0.572268807375909
Cantonese,0.460994317052816
Portuguese-Brazilian,0.286134403687955
Kurdish,0.190756269125303
Arabic,0.170885824424751
Dutch,0.170885824424751
Filipino,0.119222668203314
Ukrainian,0.119222668203314
Hindi,0.111274490323093
Farsi,0.103326312442872
Vietnamese,0.0834558677423201
Punjabi,0.0755076898620991
Slovak,0.0755076898620991
Urdu,0.0755076898620991
Tami,0.0715336009219886
Albanian,0.0635854230417677
Bengali,0.0635854230417677
Bulgarian,0.0556372451615467
Croatian,0.0516631562214362
Gujurati,0.0476890672813258
Nepali,0.0437149783412153
Telugu,0.0357668004609943
Marathi,0.0317927115208838
Tatar,0.0317927115208838
Valencian,0.0317927115208838
Armenian,0.0278186225807734
Bosnian,0.0278186225807734
"Multiple: German, English",0.0278186225807734
"Multiple: German, Russian",0.0278186225807734
Creole,0.0238445336406629
"Multiple: German, Turkish",0.0238445336406629
Norwegian,0.0238445336406629
Burmese,0.0198704447005524
Kazakh,0.0198704447005524
Lithuanian,0.0198704447005524
Malayalam,0.0198704447005524
"Multiple: English, French",0.0198704447005524
Shona,0.0198704447005524
Swedish,0.0198704447005524
Brazilian Portuguese,0.0158963557604419
Macedonian,0.0158963557604419
Malagasy,0.0158963557604419
"Multiple: German, French",0.0158963557604419
"Multiple: Polish, German",0.0158963557604419
"Multiple: Turkish, German",0.0158963557604419
Azerbaijani,0.0119222668203314
Belarusian,0.0119222668203314
Castilian Spanish,0.0119222668203314
Hebrew,0.0119222668203314
Indonesian,0.0119222668203314
Kannada,0.0119222668203314
Kinyarwanda,0.0119222668203314
Kyrgyz,0.0119222668203314
Mordovian,0.0119222668203314
"Multiple: Danish, German",0.0119222668203314
"Multiple: English, Cantonese",0.0119222668203314
"Multiple: German, Polish",0.0119222668203314
"Multiple: German, Romanian",0.0119222668203314
"Multiple: German, Spanish",0.0119222668203314
"Multiple: Russian, German",0.0119222668203314
Sinhalese,0.0119222668203314
Swahili,0.0119222668203314
Yoruba,0.0119222668203314
