browser_language,freq.locale
English,27.3504599763332
German,9.53162575867466
Turkish,8.32538076879032
Russian,7.60010688246746
Spanish,5.2296064434859
Japanese,4.68755964423407
Polish,4.33637439401458
Czech,4.11497499713708
Portuguese,4.0920716112532
Italian,3.99282360575638
Korean,3.93938237202733
French,3.14921555903348
Danish,2.83238538763981
Missing,2.57663091193648
Hungarian,2.40103828682674
Chinese,2.27888689544604
Greek,1.68339886246517
Romanian,1.07264190556171
Serbian,0.507691720426003
Dutch,0.156506470206512
Slovak,0.041989540787113
Ukrainian,0.0381723098064664
Catalan,0.0114516929419399
Swedish,0.0114516929419399
Arabic,0.00763446196129328
Croatian,0.00763446196129328
Norwegian Bokmål,0.00763446196129328
Armenian,0.00381723098064664
Bulgarian,0.00381723098064664
Norwegian,0.00381723098064664
Vietnamese,0.00381723098064664
