native_language_translated,freq.n_lang
English,15.8312308113202
Turkish,8.40806152536706
German,7.80010335288932
Missing,7.75754628081588
Russian,7.60859652855884
Spanish,5.3925889898775
Japanese,5.03085387725325
Polish,4.35906009666535
Korean,4.22530929872025
Portuguese,4.05812080128887
Czech,3.88485272213272
Italian,3.73894276073806
French,2.80268717512235
Danish,2.78748822081041
Hungarian,2.71757303097547
Mandarin,2.58382223303037
Greek,2.35279812748883
Serbian,2.27072377420433
Romanian,1.99410280572697
Chinese,0.6170775450649
Cantonese,0.431650302459191
Portuguese-Brazilian,0.237103687266316
Arabic,0.176307870018543
Kurdish,0.176307870018543
Dutch,0.155029333981822
Ukrainian,0.124631425357935
Hindi,0.121591634495547
Filipino,0.112472261908381
Farsi,0.109432471045992
Slovak,0.0881539350092714
Punjabi,0.0851141441468827
Urdu,0.0759947715597167
Tami,0.072954980697328
Vietnamese,0.072954980697328
Albanian,0.0607958172477734
Bengali,0.054716235522996
Bulgarian,0.0516764446606074
Kazakh,0.04559686293583
Kinyarwanda,0.0425570720734414
Croatian,0.0395172812110527
Nepali,0.0395172812110527
Gujurati,0.036477490348664
Tatar,0.036477490348664
Telugu,0.036477490348664
Norwegian,0.0303979086238867
Azerbaijani,0.027358117761498
Marathi,0.027358117761498
"Multiple: German, Russian",0.027358117761498
Valencian,0.027358117761498
Armenian,0.0243183268991093
Bosnian,0.0243183268991093
Creole,0.0243183268991093
Malayalam,0.0212785360367207
"Multiple: German, English",0.0212785360367207
Swedish,0.0212785360367207
Tajik,0.0212785360367207
Macedonian,0.018238745174332
"Multiple: English, French",0.018238745174332
"Multiple: German, Turkish",0.018238745174332
Shona,0.018238745174332
Belarusian,0.0151989543119433
Burmese,0.0151989543119433
Lithuanian,0.0151989543119433
Mongolian,0.0151989543119433
"Multiple: English, Cantonese",0.0151989543119433
Swahili,0.0151989543119433
Brazilian Portuguese,0.0121591634495547
Castilian Spanish,0.0121591634495547
Hebrew,0.0121591634495547
Kannada,0.0121591634495547
Kyrgyz,0.0121591634495547
Malagasy,0.0121591634495547
"Multiple: German, French",0.0121591634495547
"Multiple: Polish, German",0.0121591634495547
"Multiple: Russian, German",0.0121591634495547
"Multiple: Turkish, German",0.0121591634495547
Uzbek,0.0121591634495547
Amharic,0.009119372587166
Indonesian,0.009119372587166
Latvian,0.009119372587166
Mari,0.009119372587166
Mordovian,0.009119372587166
"Multiple: Arabic, German",0.009119372587166
"Multiple: Danish, Faroese",0.009119372587166
