"ta_cue","ta_target","type","cue_type","target_type","ta_cosine"
"நோக்கம்","alibi","related","word","word",NA
"போலி","false","related","word","word",NA
"திசைகாட்டி","map","related","word","word",NA
"ஹோட்டல்","motel","related","word","word",NA
"சூப்பர்நேச்சுரல்","paranormal","related","word","word",NA
"உதவியற்ற","powerless","related","word","word",NA
"கடத்தல்காரன்","ransom","related","word","word",NA
"ஜெனரேட்டர்","requertor","related","word","word",NA
"அறியாமை","ymrogance","related","word","word",NA
"செப்டம்பர்","அக்டோபர்","related","word","word",NA
"இங்கே","அங்கு","related","word","word",NA
"digusting","அசிங்கமான","related","word","word",NA
"பொத்தானை","அச்சகம்","related","word","word",NA
"வீடு","அடுக்குமாடி இல்லங்கள்","related","word","word",NA
"சூளை","அடுப்பு","related","word","word",NA
"படிவம்","அடையாளம்","related","word","word",NA
"நாட்காட்டி","அட்டவணை","related","word","word",NA
"பசிபிக்","அட்லாண்டிக்","related","word","word",NA
"அணு","அணு","related","word","word",NA
"கருத்து","அணுகுமுறை","related","word","word",NA
"ஹார்மோன்","அண்ணனினலின்","related","word","word",NA
"குறைந்தபட்சம்","அதிகபட்சம்","related","word","word",NA
"அதிகாரப்பூர்வமாக","அதிகாரப்பூர்வ","related","word","word",NA
"அதிகார எல்லை","அதிகாரம்","related","word","word",NA
"இருக்கலாம்","அநேகமாக","related","word","word",NA
"என்ன","அந்த","related","word","word",NA
"அபத்தமான","அபத்தமான","related","word","word",NA
"அம்மா","அப்பா","related","word","word",NA
"மாமா","அப்பா","related","word","word",NA
"ஆப்பிரிக்கா","அமெரிக்கா அமெரிக்கா","related","word","word",NA
"தூதரகம்","அமைச்சகம்","related","word","word",NA
"தூதர்","அமைச்சர்","related","word","word",NA
"அமைதியாக","அமைதி","related","word","word",NA
"அமைதியான","அமைதி","related","word","word",NA
"வலைப்பின்னல்","அமைப்பு","related","word","word",NA
"பிரமிடு","அமைப்பு","related","word","word",NA
"அப்பா","அம்மா","related","word","word",NA
"விதி","அரசியலமைப்பு","related","word","word",NA
"பத்திரிகை","அரசியல்","related","word","word",NA
"சிக்கலான","அரசியல்","related","word","word",NA
"கொள்கை","அரசியல்வாதி","related","word","word",NA
"நிர்வாகம்","அரசு","related","word","word",NA
"எப்போதாவது","அரிதாக","related","word","word",NA
"நூலகம்","அருங்காட்சியகம்","related","word","word",NA
"மேசை","அலுவலகம்","related","word","word",NA
"அவசர","அவசரம்","related","word","word",NA
"இனிப்பு","அழகாக","related","word","word",NA
"கவர்ச்சிகரமான","அழகான","related","word","word",NA
"நல்லது","அழகான","related","word","word",NA
"உறவினர்","அழகியரூன்","related","word","word",NA
"அழகான","அழகு","related","word","word",NA
"கவர்ச்சி","அழகு","related","word","word",NA
"உருவாக்கம்","அழித்தல்","related","word","word",NA
"துடிப்பு","அழுத்தம்","related","word","word",NA
"மொத்தமாக","அளவு","related","word","word",NA
"கருத்து","அறிக்கை","related","word","word",NA
"அடையாளம் கண்டு கொள்","அறிந்தேன்","related","word","word",NA
"புத்திசாலி","அறிவார்ந்த","related","word","word",NA
"அனுபவம்","அறிவு","related","word","word",NA
"செயல்பட","அறுவை சிகிச்சை","related","word","word",NA
