"es_target","es_cue","es_fake_cue","es_fake_target","en_cue","en_target"
"abadejo","ming","mism","abaddro","ming","ling"
"abandonar","salir","savor","urandonar","leave","abandon"
"abdominal","espinal","espilol","cudominal","spinal","abdominal"
"abrazo","beso","rsso","abrató","kiss","hug"
"absurdo","ridículo","riyaculo","absudoo","ridiculous","absurd"
"abuela","abuelo","abatlo","abrola","grandfather","grandmother"
"accidente","incidente","lucidente","accidefee","incident","accident"
"acento","voz","azz","acogto","voice","accent"
"aceptar","rehusar","reessar","acrotar","refuse","accept"
"acero","hormigón","vermigón","ttero","concrete","steel"
"acompañar","escolta","escojea","acompaeer","escort","accompany"
"aconsejar","consejo","coabejo","aconselfr","advice","advise"
"actitud","opinión","opinzon","actieed","opinion","attitude"
"activar","desencadenar","desencuentro","actiber","trigger","activate"
"actividad","activo","ertivo","ertividad","active","activity"
"actor","autor","aumar","acmar","author","actor"
"actualizar","nuevo","nurbo","acoralizar","fresh","refresh"
"actuar","gesto","misto","acisar","gesture","act"
"acusación","queja","qulta","versación","complaint","accusation"
"adicional","extra","excha","aderional","extra","additional"
"adiós","hola","sula","adcds","hello","bye"
"adivinar","dios","rtos","adquinar","god","divine"
"administrativo","administración","estructuración","administratick","management","administrative"
"adolescente","adolescente","adviescente","mbolescente","teenage","teenager"
"adrenalina","hormona","cermona","aduanalina","hormone","adrenaline"
"adversario","enemigo","expligo","estresario","enemy","opponent"
"aeropuerto","terminal","terminsu","aeronrerto","terminal","airport"
"agencia","firma","fimía","udencia","firm","agency"
"agradable","cómodo","romodo","agradamae","comfortable","pleasant"
"agradecer","admirar","hemirar","agradevor","admire","appreciate"
"agresor","víctima","víctela","heresor","victim","attacker"
"agujero","grieta","grasta","agitero","crack","hole"
"alarma","alerta","rierta","alcama","alert","alarm"
"alcalde","alguacil","algucril","alarlde","sheriff","mayor"
"alegría","placer","inacer","aleglea","pleasure","joy"
"alfa","bravo","brrso","alad","bravo","alpha"
"alfombra","piso","piri","sofombra","floor","carpet"
"algo","nada","desda","alpi","nothing","something"
"algodón","seda","sect","logodón","silk","cotton"
"algun lado","en otra parte","en otra patan","algun ldón","elsewhere","somewhere"
"allí","aquí","epuí","alag","here","there"
"alrededor","ronda","rooka","alfrdedor","round","around"
"alteza","majestad","majeacad","poteza","majesty","highness"
"altura","peso","petí","hutura","weight","height"
"alucinación","espejismo","esdijismo","almorzación","illusion","hallucination"
"amable","suave","suime","shable","soft","gentle"
"amanecer","puesta de sol","puesta drksol","amanecci","sunset","dawn"
"amante","amante","izante","izante","mistress","lover"
"amarillo","rojo","romu","onarillo","red","yellow"
"america","áfrica","muraca","medisca","africa","america"
"amigo","colega","cocaga","deugo","colleague","friend"
"amistad","relación","binación","ampotad","relationship","friendship"
"amistoso","cortés","corthr","abortaso","polite","friendly"
"amor","odio","igio","otor","hate","love"
"amplio","estrecho","estrégho","amplát","narrow","wide"
"análisis","autopsia","autoinia","análráis","autopsy","analysis"
"andar","correr","copuer","antor","run","walk"
"animal","bestia","postia","crimal","beast","animal"
"apellido","apodo","apiso","apuñlido","nickname","surname"
"aprobación","permiso","permodo","retiración","permission","approval"
"árbol","arbusto","armosto","thbol","bush","tree"
"arena","lodo","zudo","ardaa","mud","sand"
