"ru_target","ru_cue","ru_fake_cue","ru_fake_target","en_cue","en_target"
"абдомина","позвоночник","позвоклассник","абсцессмина","spinal","abdominal"
"абсурдный","нелепый","нележан","абпрочный","ridiculous","absurd"
"авария","инцидент","инцистом","туррия","incident","accident"
"автобус","тренироваться","тренироулингсся","автоград","train","bus"
"агентство","фирма","дрема","азартство","firm","agency"
"ад","рай","ерй","цо","paradise","hell"
"административность","управление","незналение","административставлет","management","administrative"
"адреналин","гормон","горрый","адренапасть","hormone","adrenaline"
"адрес","количество","количегнать","адчия","number","address"
"актер","автор","авкам","акним","author","actor"
"активировать","вызывать","вызыский","активироулингс","trigger","activate"
"акцент","голос","госай","актяне","voice","accent"
"алиби","мотивы","мочрезвы","дайби","motive","alibi"
"аллея","угол","угad","алнён","corner","alley"
"альфа","браво","толво","фанфа","bravo","alpha"
"америка","африка","светрика","польрика","africa","america"
"анализ","вскрытие","вскрымым","аначут","autopsy","analysis"
"апельсин","зеленый","зелевать","апельлел","green","orange"
"аренда","наем","надёж","японда","hire","rent"
"арендодатель","жилец","житок","увольдодатель","tenant","landlord"
"арест","наказывать","наказыством","арбат","punish","arrest"
"армия","легион","легитель","арцах","legion","army"
"артерия","вена","весто","артезать","vein","artery"
"артиллерия","кавалерия","кавалеством","ароформлерия","cavalry","artillery"
"архитектор","инженер","инжества","архитекгнать","engineer","architect"
"ассистент","секретарь","секрекрыл","ассирознь","secretary","assistant"
"атака","вторжение","мерзжение","мочка","invasion","attack"
"атакующий","жертва","охотва","школькующий","victim","attacker"
"атлантик","тихоокеанский","тихоокеандервуд","атмультик","pacific","atlantic"
"атмосфера","окружающая обстановка","окружающая обстановкалы","атморазыгра","environment","atmosphere"
"аудитория","толпа","скупа","изящтория","crowd","audience"
"аэропорт","терминал","термирить","здрапорт","terminal","airport"
"бабушка","дед","рлд","базвонка","grandfather","grandmother"
"бар","клуб","клшо","стр","club","bar"
"батальон","полка","ватка","батажечь","regiment","battalion"
"беглец","беженцы","берёшьцы","скилец","refugee","fugitive"
"безопасность","безопасность","безнальность","безтентность","security","safety"
"безопасный","безопасно","безмально","бездартный","safe","secure"
"безответственный","необоснованный","встряснованный","безответнесносный","unreasonable","irresponsible"
