ru_cue,ru_target,type,cue_type,target_type,ru_cosine
позвоночный,брюшной,related,word,word,0.524445123573039
нелепый,абсурдный,related,word,word,0.614233540440178
инцидент,несчастный случай,related,word,word,
поезд,автобус,related,word,word,0.762579836025611
фирма,агентство,related,word,word,0.363352921174583
рай,ад,related,word,word,0.652922664303179
управление,административный,related,word,word,0.383125675109434
гормон,адреналин,related,word,word,0.505475100076638
номер,адрес,related,word,word,0.487866217298728
автор,актер,related,word,word,0.46616086468155
вызывать,активировать,related,word,word,0.324251778154663
голос,акцент,related,word,word,0.421003291286497
мотив,алиби,related,word,word,0.372907098317454
угол,аллея,related,word,word,0.242047373751849
борис,анна,related,word,word,0.300882386304658
африка,америка,related,word,word,0.514063304920276
вскрытие,анализ,related,word,word,0.454582565514328
зеленый,оранжевый,related,word,word,0.649713529083716
нанимать,арендовать,related,word,word,0.423177673338098
жилец,арендодатель,related,word,word,0.444375975320323
наказывать,арестовывать,related,word,word,0.60417219280606
легион,армия,related,word,word,0.385526766320694
вена,артерия,related,word,word,0.230042255641621
кавалерия,артиллерия,related,word,word,0.632049070500965
инженер,архитектор,related,word,word,0.544898311060277
секретарь,ассистент,related,word,word,0.45787469000163
вторжение,атака,related,word,word,0.398462834965789
жертва,атакующий,related,word,word,0.224416114241238
тихоокеанский,атлантический,related,word,word,0.606686679910032
обстановка,атмосфера,related,word,word,0.613622365533097
толпа,публика,related,word,word,0.524853795447351
терминал,аэропорт,related,word,word,0.449433557567262
дедушка,бабушка,related,word,word,0.73958294329435
клуб,бар,related,word,word,0.610425248618651
полк,батальон,related,word,word,0.600462097748405
беженец,беглец,related,word,word,0.391661845061333
защищенность,безопасность,related,word,word,0.549424157261905
безопасный,надежный,related,word,word,0.588408081619082
необоснованный,безответственный,related,word,word,0.446492466045087
стадион,бейсбол,related,word,word,0.436829570413163
тост,бекон,related,word,word,0.444278230495917
рождение,беременность,related,word,word,0.297788519621522
свободно,свободный,related,word,word,0.576143973229397
прерывать,беспокоить,related,word,word,0.448507047629671
бесполезный,никчемный,related,word,word,0.617826753306123
беспомощный,бессильный,related,word,word,0.623462633492592
промышленность,бизнес,related,word,word,0.354337172962459
химический,биологический,related,word,word,0.706416901612649
химия,биология,related,word,word,0.55271087690138
благодарный,благодарить,related,word,word,0.632217145400545
гостеприимство,благодарность,related,word,word,0.395500879311593
открытый,близкий,related,word,word,0.333384032417137
сокровище,богатство,related,word,word,0.490710532083675
бедный,богатый,related,word,word,0.328591012830439
война,битва,related,word,word,0.591637269333555
бог,священный,related,word,word,0.315880470254868
грипп,болезнь,related,word,word,0.513541364701954
страдания,боль,related,word,word,0.622572130423413
больной,нездоровый,related,word,word,0.470267346281408
палец,большой палец,related,word,word,
волосы,борода,related,word,word,0.484937547481749
поединок,борьба,related,word,word,0.366355052850882
руководитель,босс,related,word,word,0.34246221110618
вашингтон,бостон,related,word,word,0.547500805385332
развод,брак,related,word,word,0.544874348175231
чувак,братан,related,word,word,0.69764274033495
щит,броня,related,word,word,0.376179101597233
карман,бумажник,related,word,word,0.486989690548718
ветер,буря,related,word,word,0.408979166750439
стакан,бутылка,related,word,word,0.49436294517178
медленный,быстрый,related,word,word,0.606546328044063
медленно,быстро,related,word,word,0.55598596013164
супермен,бэтмен,related,word,word,0.508732433946351
наконец,в итоге,related,word,word,
безусловно,как правило,related,word,word,
фактически,действительно,related,word,word,0.291397647998737
зомби,вампир,related,word,word,0.430155484237144
значение,важность,related,word,word,0.486753490810832
ценный,важный,related,word,word,0.584531105528369
противоядие,вакцина,related,word,word,0.463858416673419
прицеп,фургон,related,word,word,0.482515328913396
корица,ваниль,related,word,word,0.544864721899654
душевая,ванная,related,word,word,0.603027580784694
выбор,вариант,related,word,word,0.441166926991739
вниз,вверх,related,word,word,0.736732205662579
