"ru_cue","ru_target","type","cue_type","target_type","ru_cosine"
"позвоночник","абдомина","related","word","word",NA
"нелепый","абсурдный","related","word","word",0.614233540440178
"инцидент","авария","related","word","word",0.379900856546037
"тренироваться","автобус","related","word","word",0.158508979354029
"фирма","агентство","related","word","word",0.363352921174583
"рай","ад","related","word","word",0.652922664303179
"управление","административность","related","word","word",NA
"гормон","адреналин","related","word","word",0.505475100076638
"количество","адрес","related","word","word",0.109807090314419
"автор","актер","related","word","word",0.46616086468155
"вызывать","активировать","related","word","word",0.324251778154663
"голос","акцент","related","word","word",0.421003291286497
"мотивы","алиби","related","word","word",0.30025773093934
"угол","аллея","related","word","word",0.242047373751849
"браво","альфа","related","word","word",0.468877619041972
"африка","америка","related","word","word",0.514063304920276
"вскрытие","анализ","related","word","word",0.454582565514328
"зеленый","апельсин","related","word","word",0.389125012576287
"наем","аренда","related","word","word",0.28554179032331
"жилец","арендодатель","related","word","word",0.444375975320323
"наказывать","арест","related","word","word",0.203638689629572
"легион","армия","related","word","word",0.385526766320694
"вена","артерия","related","word","word",0.230042255641621
"кавалерия","артиллерия","related","word","word",0.632049070500965
"инженер","архитектор","related","word","word",0.544898311060277
"секретарь","ассистент","related","word","word",0.45787469000163
"вторжение","атака","related","word","word",0.398462834965789
"жертва","атакующий","related","word","word",0.224416114241238
"тихоокеанский","атлантик","related","word","word",0.421250159609835
"окружающая обстановка","атмосфера","related","word","word",NA
"толпа","аудитория","related","word","word",0.384362273628894
"терминал","аэропорт","related","word","word",0.449433557567262
"дед","бабушка","related","word","word",0.54120795533802
"клуб","бар","related","word","word",0.610425248618651
"полка","батальон","related","word","word",0.44748262351712
"беженцы","беглец","related","word","word",0.223303666642447
"безопасность","безопасность","related","word","word",1
"безопасно","безопасный","related","word","word",0.648384743710758
"необоснованный","безответственный","related","word","word",0.446492466045087
"стадион","бейсбол","related","word","word",0.436829570413163
"тост","бекон","related","word","word",0.444278230495917
"рождение","беременность","related","word","word",0.297788519621522
"свободно","бесплатно","related","word","word",0.35340074642351
"прерывать","беспокоить","related","word","word",0.44850704762967
"бесполезный","бесполезный","related","word","word",1
"беспомощный","бессильнее","related","word","word",NA
"промышленность","бизнес","related","word","word",0.354337172962459
"химический","биологический","related","word","word",0.706416901612649
"химия","биология","related","word","word",0.55271087690138
"благодарный","благодарить","related","word","word",0.632217145400545
"гостеприимство","благодарность","related","word","word",0.395500879311593
"открытым","близко","related","word","word",0.140125966361753
"сокровище","богатство","related","word","word",0.490710532083675
"бедных","богатый","related","word","word",0.331723114637701
"война","боевой","related","word","word",0.193160980427325
"бог","божественный","related","word","word",0.382855584565278
"грипп","болезнь","related","word","word",0.513541364701953
"страдания","боль","related","word","word",0.622572130423413
"больной","больной","related","word","word",1
"палец","большой палец","related","word","word",NA
"волосы","борода","related","word","word",0.484937547481749
"бой","борьба","related","word","word",0.364493555042759
"управляющий делами","босс","related","word","word",NA
"вашингтон","бостон","related","word","word",0.547500805385332
"развод","брак","related","word","word",0.544874348175231
"чувак","братан","related","word","word",0.69764274033495
"щит","броня","related","word","word",0.376179101597233
"карман","бумажник","related","word","word",0.486989690548718
"ветер","буря","related","word","word",0.408979166750439
"стакан","бутылка","related","word","word",0.49436294517178
"медленный","быстро","related","word","word",0.374467533265708
"медленно","быстро","related","word","word",0.55598596013164
"супермен","бэтмен","related","word","word",0.508732433946351
"наконец","в конце концов","related","word","word",NA
"естественно","в общем","related","word","word",NA
"фактически","в самом деле","related","word","word",NA
"зомби","вагон","related","word","word",0.0728183953257887
