"id_cue","id_target","id_fake_target","id_fake_cue","en_cue","en_target"
"abad","dasawarsa","mesawarsa","abek","century","decade"
"abadi","selama-lamanya","selamalndanya","bradi","eternal","forever"
"abu","debu","dese","ieu","ash","dust"
"adil","wajar","watcr","adck","fair","reasonable"
"administrasi","pemerintah","pemetentah","faministrasi","administration","government"
"afrika","amerika","nierika","afteka","africa","america"
"agen","detektif","latektif","swen","agent","detective"
"ahli bedah","dokter","dolder","ahlihaedah","surgeon","doctor"
"aids","hiv","vov","rlds","aids","hiv"
"akhir","menyelesaikan","menyelajaikan","ichir","end","finish"
"akhirnya","pada akhirnya","padaeikhirnya","akhickya","finally","eventually"
"aktif","aktivitas","aktisetas","witif","active","activity"
"alami","palsu","pasau","alkai","natural","artificial"
"alasan","menyebabkan","menyebifkan","stasan","reason","cause"
"alat","instrumen","instrushn","aler","tool","instrument"
"album","lagu","labr","alolm","album","song"
"alkitab","buku","hiku","aliftab","bible","book"
"alkohol","obat","rkat","nakohol","alcohol","drug"
"amal","sumbangan","tambangan","kual","charity","donation"
"aman","aman","noan","noan","safe","secure"
"amarah","kemarahan","kemarannn","niarah","anger","rage"
"amatir","profesional","profrdional","amndir","amateur","professional"
"ambulans","helikopter","herakopter","nibulans","ambulance","helicopter"
"amplop","kemasan","ketisan","ampldy","envelope","package"
"anak laki-laki","cewek-cewek","cevokcewek","anakzeakilaki","boys","girls"
"anak muda","masa kanak-kanak","masanranakkanak","anakbhuda","youth","childhood"
"anak perempuan","putra","setra","anaknmerempuan","daughter","son"
"analis","peneliti","peneroti","anyiis","analyst","investigator"
"anarki","kapitalisme","kadetalisme","angpki","anarchy","capitalism"
"anggaran","dana","dakk","antiaran","budget","funding"
"anggota","pemimpin","peminuin","anggppa","member","leader"
"anggur","sampanye","sampancs","anabur","wine","champagne"
"angin","badai","bauti","anorn","wind","storm"
"angkatan laut","armada kapal","armadaiiapal","angkatan lrot","naval","fleet"
"angsa","mengunyah","menguneth","anoza","swallow","chew"
"angsa","bebek","benck","anoza","goose","duck"
"anjing","kucing","kuhong","angeng","dog","cat"
"anonim","tidak dikenal","tidaohdikenal","anonai","anonymous","unknown"
"antusiasme","gairah","gaakah","antusiasir","enthusiasm","passion"
"apa","itu","ndu","fla","what","that"
"apel","buah","snah","enel","apple","fruit"
"api","api","usi","usi","fire","flame"
"arena","medan perang","bidan perang","tmena","arena","battlefield"
"artifact","medali","medana","artimoct","artifact","medallion"
"artikel","koran","curan","ariskel","article","newspaper"
"artis","pelukis","pelugus","ariss","artist","painter"
"asli","salinan","salicin","assu","original","copy"
"aspirin","morfin","moodin","asdorin","aspirin","morphine"
"astronaut","pilot","pihit","astronogt","astronaut","pilot"
"atas","bawah","bapuh","atin","top","bottom"
"atom","nuklir","anklir","ated","atomic","nuclear"
"aturan","protokol","protokty","atikan","rule","protocol"
"aturan","politikus","posetikus","atikan","policy","politician"
"autopsi","analisis","analisku","autolai","autopsy","analysis"
"avenue","jalan","jadin","avendm","avenue","street"
"awak kapal","mengirimkan","mengirzukan","awakajapal","crew","ship"
"awan","kabut","kaukt","zuan","cloud","fog"
"ayah","bungkam","sangkam","rbah","daddy","mum"
"ayam","turki","tuhmi","rjam","chicken","turkey"
"babi","daging","daakng","batr","pork","meat"
"baca","menulis","meerlis","enca","read","write"
"badai","angin topan","angizmtopan","kudai","hurricane","tornado"
"bagian","gugus kalimat","guguptkalimat","baplan","section","paragraph"
"bagus","buruk","buank","bakis","good","bad"
"bagus sekali","bagus","baals","bagunrsekali","excellent","great"
"bahan kimia","biologis","bimbogis","bahan kioda","chemical","biological"
"bahasa inggris","perancis","peraikis","bahasamnnggris","english","french"
"bahu","lutut","luhet","baan","shoulder","knee"
"baik","jujur","judir","baed","decent","honest"
"baik","ya","gy","baed","okay","yeah"
"baik","cantik","hentik","baed","nice","lovely"
"baik","kiri","wari","baed","right","left"
"bajak laut","pelaut","pelato","bajafolaut","pirate","sailor"
"bangga","bersemangat","bersunangat","ringga","proud","excited"
"bangsawan","berani","berakt","bangsakin","noble","brave"
"bankir","investor","incastor","barair","banker","investor"
"barat","timur","tilor","baant","west","east"
"baron","countess","countenn","batrn","baron","countess"
"basis","markas besar","markasyeesar","baous","base","headquarters"
"batu","batu","petu","petu","rock","stone"
"batu bara","minyak","micrak","batuplara","coal","oil"
"batuk","demam","derem","setuk","cough","fever"
"bawang putih","bawang bombai","bawanggkombai","bawangcoutih","garlic","onion"
"bayangan","gelap","malap","enyangan","shadow","dark"
"bayi","anak","anra","bacc","baby","child"
"bebas","gratis","grenis","beiss","freely","free"
"benar","nyata","gkata","bekir","TRUE","real"
"benda terbang aneh","asing","luing","benda terbanluaneh","ufo","alien"
"bendera","simbol","sipaol","kondera","flag","symbol"
"bengkel","garasi","garama","bekukel","workshop","garage"
"berarti","pentingnya","perpingnya","berapli","meaning","importance"
"berat","banyak sekali","banyem sekali","beant","heavy","heavily"
"berbelok","memutar","mecatar","bencelok","turn","rotate"
"berbohong","pembohong","pentohong","berbusong","lie","liar"
"berdiri","duduk","dulik","bentiri","stand","sit"
"bergerak","transfer","tranbber","beaterak","move","transfer"
"berguna","efektif","efsitif","behyuna","useful","effective"
"berharga","penting","perping","beayarga","valuable","important"
"berisi","isi","nyi","bevasi","contain","content"
"berisiko","berbahaya","beudahaya","berisint","risky","dangerous"
"berjudi","poker","porir","berjeji","gambling","poker"
"berkarat","berdebu","berdbru","bepearat","rusty","dusty"
"berlaku","menggunakan","mengsenakan","beepaku","apply","use"
"berlian","permata","permnga","begaian","diamond","jewel"
"bermain","permainan","permsunan","bengain","play","game"
"beroperasi","pembedahan","pepredahan","beroworasi","operate","surgery"
"bersinar","cerah","cendh","bersquar","shine","bright"
"bersumpah","sumpah","suhlah","bersegpah","swear","oath"
"bersyukur","terima kasih","terimayeasih","bershekur","grateful","thank"
"beruang","serigala","sehagala","beimang","bear","wolf"
"besar","sangat besar","sangatslesar","befer","big","huge"
"besi","logam","lomem","belm","iron","metal"
"besok","pagi","pasp","hnsok","tomorrow","morning"
"biarawan","pendeta","perpeta","biubawan","monk","priest"
"biasa","biasa","biima","awasa","ordinary","usual"
"biasanya","biasanya","awasanya","bijaanya","normally","usually"
"bibir","pipi","empi","bicur","lip","cheek"
"bicara","berbicara","beeticara","bibira","talk","speak"
"binatang buas","satwa","saija","binatangpluas","beast","animal"
"bioskop","teater","tetier","bikekop","cinema","theater"
"bobot","tinggi","ganggi","bottt","weight","height"
"bodoh","idiot","rriot","bookh","fool","idiot"
"bola basket","sepak bola","sepafkbola","bolanpasket","basketball","football"
"bom","eksplosif","eksplovaf","olm","bomb","explosive"
"boneka","mainan","maksan","bonent","doll","toy"
"bonus","hadiah","hadibo","annus","bonus","reward"
"boot","sepatu","sepaif","boro","boot","shoe"
"bravo","alfa","alav","brsho","bravo","alpha"
"brutal","kejam","ketum","brutri","brutal","cruel"
"bubuk mesiu","dinamit","dinapet","bubugæmesiu","gunpowder","dynamite"
"budak","pelayan","peladon","buack","slave","servant"
"budaya","peradaban","peradahln","redaya","culture","civilization"
"bukit","gunung","gucang","buent","hill","mountain"
"bukti","bukti","buzzi","buuci","evidence","proof"
"bulan","pekan","erkan","jelan","month","week"
"bulan","matahari","matantri","jelan","moon","sun"
"bulat","sekitar","segetar","buart","round","around"
"bulir","tepung","telmng","bukkr","grain","flour"
"bung","kawan","kakin","anng","dude","bro"
"bunuh diri","pembunuhan","pembntuhan","bunuohdiri","suicide","murder"
"buta","tuli","tura","buny","blind","deaf"
"cacing","ular","rkar","cainng","worm","snake"
"caesar","roma","rore","agesar","caesar","rome"
"cairan","cairan","cadean","cadean","liquid","fluid"
"calon","pemilih","pemiech","caden","candidate","voter"
"camilan","makan siang","makaklsiang","armilan","snack","lunch"
"cangkir","kopi","koul","cangtur","cup","coffee"
"cantik","cantik","hentik","cantar","pretty","beautiful"
"cari","temukan","tekakan","cand","search","find"
"cat","seri","seha","rst","paint","draw"
"catatan","rekaman","reseman","casitan","record","recording"
"cemas","grogi","laogi","lumas","worried","nervous"
"cemburu","marah","matih","numburu","jealous","angry"
"cerdas","lucu","lurp","cellas","witty","funny"
"chip","perangkat","perangant","chpe","chip","device"
"cincin","kalung","kahing","citain","ring","necklace"
"ciuman","memeluk","memetok","cimaan","kiss","hug"
"cokelat","biru","bine","cokeart","brown","blue"
"cucu","keponakan laki-laki","keponakalvlakilaki","cuig","grandson","nephew"
"cukup","memadai","memauti","cuoop","enough","sufficient"
"cuplikan","mobil van","mobihuvan","culvikan","trailer","van"
"daerah","daerah","darmah","egerah","area","zone"
"daerah","daerah","darmah","egerah","county","district"
"darah","air seni","aiheseni","morah","blood","urine"
"data","informasi","inalrmasi","mota","data","information"
"dekan","profesor","prplesor","jakan","dean","professor"
"dengan tegas","dengan kuat","denganmouat","denganleegas","firmly","strongly"
"depan","belakang","belaming","empan","front","rear"
"detak","tekanan","ilkanan","devik","pulse","pressure"
"detonator","timer","tilar","densnator","detonator","timer"
"dewasa","induk","inrok","deward","adult","parent"
"di dekat","jauh","jaru","ditsekat","near","far"
"di depan","kebalikan","kebainkan","di dhlan","opposite","contrary"
"di luar","di dalam","diafalam","dikjuar","outside","inside"
"di sini","di sana","diteana","diycini","here","there"
"di tempat lain","suatu tempat","suatfitempat","di tempaeslain","elsewhere","somewhere"
"diam","tenang","hanang","dide","quiet","calm"
