"id_target","id_cue","type","target_type","cue_type","id_cosine"
"dasawarsa","abad","related","word","word",0.273395913990551
"selama-lamanya","abadi","related","word","word",NA
"debu","abu","related","word","word",0.46674626806493
"wajar","adil","related","word","word",0.39996908951255
"pemerintah","administrasi","related","word","word",0.445531343798897
"amerika","afrika","related","word","word",0.401209214628714
"detektif","agen","related","word","word",0.243196579297956
"dokter","ahli bedah","related","word","word",NA
"hiv","aids","related","word","word",0.410535562051216
"menyelesaikan","akhir","related","word","word",0.234787440276467
"pada akhirnya","akhirnya","related","word","word",NA
"aktivitas","aktif","related","word","word",0.444000573780704
"palsu","alami","related","word","word",0.10744761472023
"menyebabkan","alasan","related","word","word",0.316561696991728
"instrumen","alat","related","word","word",0.400842860250017
"lagu","album","related","word","word",0.514597832022896
"buku","alkitab","related","word","word",0.415756748914142
"obat","alkohol","related","word","word",0.439197487597077
"sumbangan","amal","related","word","word",0.545450707824937
"aman","aman","related","word","word",1
"kemarahan","amarah","related","word","word",0.750548819121281
"profesional","amatir","related","word","word",0.475901155228442
"helikopter","ambulans","related","word","word",0.440547975026928
"kemasan","amplop","related","word","word",0.192564747405018
"cewek-cewek","anak laki-laki","related","word","word",NA
"masa kanak-kanak","anak muda","related","word","word",NA
"putra","anak perempuan","related","word","word",NA
"peneliti","analis","related","word","word",0.36985850643584
"kapitalisme","anarki","related","word","word",0.354698249332099
"dana","anggaran","related","word","word",0.487436471514515
"pemimpin","anggota","related","word","word",0.388168674696544
"sampanye","anggur","related","word","word",0.444688769750925
"badai","angin","related","word","word",0.51666168029221
"armada kapal","angkatan laut","related","word","word",NA
"mengunyah","angsa","related","word","word",0.180781370014656
"bebek","angsa","related","word","word",0.406183118751814
"kucing","anjing","related","word","word",0.604655384787585
"tidak dikenal","anonim","related","word","word",NA
"gairah","antusiasme","related","word","word",0.37392336282887
"itu","apa","related","word","word",0.458479813925548
"buah","apel","related","word","word",0.448297555436641
"api","api","related","word","word",1
"medan perang","arena","related","word","word",NA
"medali","artifact","related","word","word",0.206738605941617
"koran","artikel","related","word","word",0.523803665024942
"pelukis","artis","related","word","word",0.419884098595002
"salinan","asli","related","word","word",0.319013017192941
"morfin","aspirin","related","word","word",0.381549226198849
"pilot","astronaut","related","word","word",0.353578265769903
"bawah","atas","related","word","word",0.481606471390185
"nuklir","atom","related","word","word",0.373687524242962
"protokol","aturan","related","word","word",0.450519633402442
"politikus","aturan","related","word","word",0.179363939427423
"analisis","autopsi","related","word","word",0.298697023448895
"jalan","avenue","related","word","word",0.36383441867742
"mengirimkan","awak kapal","related","word","word",NA
"kabut","awan","related","word","word",0.378546444701398
"bungkam","ayah","related","word","word",0.151601440420365
"turki","ayam","related","word","word",0.165126251942734
"daging","babi","related","word","word",0.3488557271
"menulis","baca","related","word","word",0.456987115101244
"angin topan","badai","related","word","word",NA
"gugus kalimat","bagian","related","word","word",NA
"buruk","bagus","related","word","word",0.561910953719388
"bagus","bagus sekali","related","word","word",NA
"biologis","bahan kimia","related","word","word",NA
"perancis","bahasa inggris","related","word","word",NA
"lutut","bahu","related","word","word",0.48582044276705
"jujur","baik","related","word","word",0.36992798491923
"ya","baik","related","word","word",0.311022335572925
"cantik","baik","related","word","word",0.30359352101037
"kiri","baik","related","word","word",0.164704398979169
"pelaut","bajak laut","related","word","word",NA
"bersemangat","bangga","related","word","word",0.37670059059752
"berani","bangsawan","related","word","word",0.178998058548366
"investor","bankir","related","word","word",0.412027224372641
"timur","barat","related","word","word",0.71885902760609
"countess","baron","related","word","word",0.351371108986685
"markas besar","basis","related","word","word",NA
"batu","batu","related","word","word",1
"minyak","batu bara","related","word","word",NA
"demam","batuk","related","word","word",0.464444574907507
"bawang bombai","bawang putih","related","word","word",NA
"gelap","bayangan","related","word","word",0.419275117990323
"anak","bayi","related","word","word",0.505080369308133
"gratis","bebas","related","word","word",0.267573172022121
"nyata","benar","related","word","word",0.337983472786338
"asing","benda terbang aneh","related","word","word",NA
"simbol","bendera","related","word","word",0.29210674598707
"garasi","bengkel","related","word","word",0.438594293461246
"pentingnya","berarti","related","word","word",0.353588255377016
"banyak sekali","berat","related","word","word",NA
"memutar","berbelok","related","word","word",0.351181532634245
"pembohong","berbohong","related","word","word",0.559892445301614
"duduk","berdiri","related","word","word",0.570920759648859
"transfer","bergerak","related","word","word",0.1884269874026
"efektif","berguna","related","word","word",0.367722863934085
"penting","berharga","related","word","word",0.492070895617016
"isi","berisi","related","word","word",0.4376241350836
"berbahaya","berisiko","related","word","word",0.451812279085583
"poker","berjudi","related","word","word",0.382492349304961
"berdebu","berkarat","related","word","word",0.422522819556277
"menggunakan","berlaku","related","word","word",0.13636805537321
"permata","berlian","related","word","word",0.593320913817688
"permainan","bermain","related","word","word",0.590152246169809
"pembedahan","beroperasi","related","word","word",0.171190819784816
"cerah","bersinar","related","word","word",0.443592550617147
"sumpah","bersumpah","related","word","word",0.709597817268265
"terima kasih","bersyukur","related","word","word",NA
"serigala","beruang","related","word","word",0.440925556817694
"sangat besar","besar","related","word","word",NA
"logam","besi","related","word","word",0.513921796130691
"pagi","besok","related","word","word",0.399088929496702
"pendeta","biarawan","related","word","word",0.480453023845982
"biasa","biasa","related","word","word",1
"biasanya","biasanya","related","word","word",1
"pipi","bibir","related","word","word",0.456525288870367
"berbicara","bicara","related","word","word",0.843955505236795
"satwa","binatang buas","related","word","word",NA
"teater","bioskop","related","word","word",0.395590371394111
"tinggi","bobot","related","word","word",0.234910852705784
"idiot","bodoh","related","word","word",0.662487667515652
"sepak bola","bola basket","related","word","word",NA
"eksplosif","bom","related","word","word",0.204413066507867
"mainan","boneka","related","word","word",0.454889270308842
"hadiah","bonus","related","word","word",0.381839075787075
"sepatu","boot","related","word","word",0.298343456470725
"alfa","bravo","related","word","word",0.354559580197226
