pl_cue,pl_target,type,cue_type,target_type,pl_cosine
dyplom,absolwent,related,word,word,0.460102233353829
niedorzeczny,absurdalny,related,word,word,0.719795001002952
kierownictwo,administracyjny,related,word,word,0.401107851969667
hormon,adrenalina,related,word,word,0.411900161867289
numer,adres,related,word,word,0.618659583251631
solidny,agencja,related,word,word,0.0913833383692099
głos,akcent,related,word,word,0.47461860581435
autor,aktor,related,word,word,0.406291195337649
kanał telewizyjny,wiadomości,related,word,word,
bodziec,aktywować,related,word,word,0.271626914753721
alert,alarm,related,word,word,0.553656076492985
zaułek,aleja,related,word,word,0.328007753058414
omega,alfa,related,word,word,0.511330943446574
motyw,alibi,related,word,word,0.403346366337857
afryka,ameryka,related,word,word,0.604093654494956
sekcja zwłok,analiza,related,word,word,
dom,apartament,related,word,word,0.556907267011456
pozwolenie,aprobata,related,word,word,0.281851788573185
inżynier,architekt,related,word,word,0.574100944350636
karać,aresztować,related,word,word,0.478421662489045
legion,armia,related,word,word,0.298062342372148
ignorancja,arogancja,related,word,word,0.695317174134903
kawaleria,artyleria,related,word,word,0.684101154665685
sekretarz,asystent,related,word,word,0.318903111046381
inwazja,atak,related,word,word,0.459809645961522
pacyfik,atlantycki,related,word,word,0.530845600062445
środowisko,atmosfera,related,word,word,0.342407512030782
pociąg,autobus,related,word,word,0.740192170415227
jurysdykcja,autorytet,related,word,word,0.34374143953233
droga,autostrada,related,word,word,0.53121358071393
przyczepa,furgonetka,related,word,word,0.596471544593042
dziadek,babcia,related,word,word,0.636233288601279
analityk,badacz,related,word,word,0.422262680777546
eksperyment,badanie,related,word,word,0.466335432365541
klub,bar,related,word,word,0.625574575381476
skrajnie,bardzo,related,word,word,0.451858449676852
stadion,baseball,related,word,word,0.405906862434281
pułk,batalion,related,word,word,0.629706482912371
jedwab,bawełna,related,word,word,0.552769188081561
ochrona,bezpieczeństwo,related,word,word,0.441688727357314
bezpieczny,zabezpieczony,related,word,word,0.541602202030919
bezpośredni,bezpośrednio,related,word,word,0.670724124333333
bezradny,bezsilny,related,word,word,0.677532126933661
nieprzydatny,bezwartościowy,related,word,word,0.494714173314964
walka,bijatyka,related,word,word,0.48845573814727
chemia,biologia,related,word,word,0.563804343100123
chemiczny,biologiczny,related,word,word,0.65028633283305
wojna,bitwa,related,word,word,0.646502820382222
przemysł,biznes,related,word,word,0.49828557862268
błąd,pomyłka,related,word,word,0.565734645684751
otwarty,zamknięty,related,word,word,0.524986526085515
tatuaż,blizna,related,word,word,0.464886257068887
tost,boczek,related,word,word,0.513639373525301
skarb,bogactwo,related,word,word,0.378187200830234
biedny,bogaty,related,word,word,0.55943931813941
cierpienie,ból,related,word,word,0.675735336576659
bóg,boski,related,word,word,0.37412724461255
waszyngton,boston,related,word,word,0.487018581926168
koleś,brachu,related,word,word,0.559882357982456
obecność,nieobecność,related,word,word,0.699859922672125
wjazd,brama,related,word,word,0.342201199787797
siostra,brat,related,word,word,0.606215134739783
włosy,broda,related,word,word,0.462728136449995
pistolet,broń,related,word,word,0.673493507153867
chronić,bronić,related,word,word,0.695330127291923
ohydny,brudny,related,word,word,0.575221741433334
grzebietowy,brzuszny,related,word,word,
obrzydliwy,brzydki,related,word,word,0.674244975535349
wieża,budynek,related,word,word,0.29842055104651
bankowość,finansowy,related,word,word,0.409800066231076
szeryf,burmistrz,related,word,word,0.60297237234659
wiatr,burza,related,word,word,0.464929310498236
trampki,but,related,word,word,0.269878468426476
kieliszek,butelka,related,word,word,0.531096169523949
absolutnie,całkowicie,related,word,word,0.578449274082806
czosnek,cebula,related,word,word,0.539548071972965
przypadkowo,celowo,related,word,word,0.477836826040115
wartość,cena,related,word,word,0.477550146539437
mila,centymetr,related,word,word,0.355967633594788
rytuał,ceremonia,related,word,word,0.535820225100529
imperialny,cesarz,related,word,word,0.29696717129257
operować,zabieg,related,word,word,0.511816744351424
dziewczyna,chłopiec,related,word,word,0.4490352264225
przybywać,przychodzić,related,word,word,0.664206366364194
grypa,choroba,related,word,word,0.629163238535478
niezdrów,chory,related,word,word,0.429553849175752
katolik,chrześcijanin,related,word,word,0.547415513424413
szmatka,chusteczka,related,word,word,0.495277217533387
chwalebny,chwała,related,word,word,0.328000015406479
