"ur_target","ur_cue","ur_fake_cue","ur_fake_target","en_cue","en_target"
"cognac","رم.","tr.","trunac","rum","cognac"
"hiv","ایڈز","ایشف","خمv","aids","hiv"
"آئین","قانون","قاتین","نتین","law","constitution"
"آئینے","عکس","خنس","نتینے","reflection","mirror"
"آٹا","اناج","انپو","ھکا","grain","flour"
"آخر میں","آخر میں","amر میں","نزر میں","finally","eventually"
"آخری","پہلا","اٹلا","رتری","first","last"
"آرمی","ڈھال","جوال","کممی","shield","armor"
"آرمی","لیونئن","لیونوت","کممی","legion","army"
"آزاد خیال","قدامت پسند","قدامکےپسند","آزادزئیال","conservative","liberal"
"آزمائش","سماعت","سممیت","عدمائش","hearing","trial"
"آسان","ناممکن","نااہکن","سدان","impossible","easy"
"آسمانی","آسمان","اعمان","اعمانی","sky","heavenly"
"آفس","توہین","تورين","رقس","insult","offend"
"آکسیجن","ایئر","ایve","آکسیمر","air","oxygen"
"آگاہ کرنا","رپورٹ","صبورٹ","مزاہ کرنا","report","inform"
"آلہ","چپ","ﺮﺍ","وئہ","chip","device"
"آلہ","روبوٹ","رووفٹ","وئہ","robot","machine"
"آمدنی","منافع","منروع","آمرگی","profit","income"
"آو","پہنچنا","پہسمنا","یة","arrive","come"
"آواز","شور","افر","الاز","noise","sound"
"اب بھی","پہلے سے","پہلےطفے","ابآڑھی","already","still"
"ابتدائی","دیر","ہتر","ابکرائی","late","early"
"اپ","نیچے","نیکن","ئس","down","up"
"اپارٹمنٹ","گھر","صار","اپلیٹمنٹ","house","apartment"
"اپنی طرف متوجہ","توجہ","توسی","ثانی طرف متوجہ","attention","attract"
"اتوار","ہفتہ","syتہ","مووار","Saturday","Sunday"
"اثر","اثر و رسوخ","اثر و رسso","وصر","influence","effect"
"اٹلانٹک","پیسفک","پیوزک","حرلانٹک","pacific","atlantic"
"احاطہ","ردعمل","حصعمل","exاطہ","radius","perimeter"
"احساس","تاثر","تااپ","احیٹس","impression","feeling"
"اخبار","آرٹیکل","موٹیکل","اخترر","article","newspaper"
"اختیار","انتخاب","انشہاب","ماتیار","choice","option"
"اداکار","مصنف","مصکب","ادریار","author","actor"
"ادب","آرٹ","بنٹ","ذیب","art","literature"
"ارادے","مقصد","مقدت","اررسے","purpose","intention"
"ارب","دس لاکھ","دسفناکھ","reب","million","billion"
"ارد گرد","راؤنڈ","راٹیڈ","ارعمگرد","round","around"
"استاد","طالب علم","adلب علم","اسٹود","student","teacher"
"استعمال","درخواست دیں","درخواسزودیں","اسآزمال","apply","use"
"استغاثہ","وکیل","حلیل","اسنیاثہ","lawyer","prosecutor"
"اسٹرابیری","کیلا","کینڈ","اسٹرشعیری","banana","strawberry"
"اسرار","خفیہ","رجیہ","وارار","secret","mystery"
"اسسٹنٹ","سیکرٹری","سیماٹری","اسبتنٹ","secretary","assistant"
"اسکول","کلاس","دااس","اسڈیل","class","school"
"اسکینڈل","گپ شپ","بؤ شپ","اسکیرال","gossip","scandal"
"اشارہ","پوائنٹ","پوائوں","اشیاہ","point","indicate"
"اضافی","اضافی","بيافی","لفافی","extra","additional"
"اعتراف","تسلیم","رولیم","اعتروٹ","admit","confess"
"اعتماد","احترام","exترام","اعمااد","respect","confidence"
"اعصابی","فکر مند","فکنگمند","کہصابی","worried","nervous"
"اغوا","اغوا","یاوا","سعوا","kidnap","abduct"
"اقتدار","دائرہ کار","دائرگرکار","اقمکار","jurisdiction","authority"
"اکتوبر","ستمبر","ورمبر","مفتوبر","september","october"
"اکثر","کبھی کبھی","کبھینابھی","اکاۃ","sometimes","often"
"الارم","انتباہ","انقراہ","الحمم","alert","alarm"
"البیبی","مقصد","مقدت","الچھبی","motive","alibi"
"الٹی","فائنل","فااعل","الأم","final","ultimate"
"الجھاؤ","افراتفری","ٹوراتفری","الجھڑک","chaos","confusion"
"الزام","شکایت","صدایت","الشیم","complaint","accusation"
"الفا","براوو","برگجو","السم","bravo","alpha"
"الماری","کابینہ","کابیٹو","الاوری","cabinet","closet"
"المناک","اداس","وناس","المنشا","sad","tragic"
"الہی","خدا","وکا","تاہی","god","divine"
"الوداع","ہیلو","نگلو","الودنی","hello","bye"
"امریکہ","افریقی","افغاقی","امریڈک","africa","america"
"امکان","امکانات","بوکانات","اماسن","probability","likely"
"امکان","موقع","موعه","اماسن","chance","possibility"
"امیر","غریب","بقیب","نییر","poor","rich"
"انتخابات","مہم","طیم","انمہابات","campaign","election"
"انتظامیہ","مینجمنٹ","میرچمنٹ","انتظوریہ","management","administrative"
"انٹیلجنٹ","اسمارٹ","اسماود","انٹینبنٹ","smart","intelligent"
"انجکشن","خوراک","نظراک","انبتشن","dose","injection"
"انجن","ٹانک","مینک","انمر","tank","engine"
"انداز","تال","نٹل","انمیز","rhythm","style"
"اندر","باہر","باؤں","انal","outside","inside"
"اندھیرے","شیڈو","راڈو","اندھونے","shadow","dark"
"انڈہ","گھوںسلا","بعوںسلا","انhe","nest","egg"
"انسانی","آدمی","آدوا","انگونی","man","human"
"انصاف","انتقام","مستقام","انیتف","revenge","justice"
"انعام","اضافی انعام","اضافئٹانعام","انھوم","bonus","reward"
"انعام","نوبل","نورگ","انھوم","nobel","prize"
"انفارمیشن","ذریعہ","quیعہ","انتظرمیشن","source","informant"
"انفرادی","شخص","گجص","انسپادی","person","individual"
"انفیکشن","جبلت","miلت","انبرکشن","instinct","intuition"
"انفیکشن","وائرس","واٹاس","انبرکشن","virus","infection"
"انگوٹھے","انگلی","انیچی","انگوپاے","finger","thumb"
"اہم","قابل قدر","قابل قal","نقم","valuable","important"
"اہمیت","مطلب","مطدھ","ہرمیت","meaning","importance"
"اوپری","کم","يں","اوتمی","lower","upper"
