ur_cue,ur_target,type,cue_type,target_type,ur_cosine
رم,کونیاک,related,word,word,
ایڈز,ایچ آئی وی,related,word,word,
قانون,آئین,related,word,word,0.446051962376858
عکس,آئینہ,related,word,word,0.346330776988276
اناج,آٹا,related,word,word,0.419676612357648
آخر میں,بالاآخر,related,word,word,
پہلا,آخری,related,word,word,0.343370011609528
ڈھال,زرہ بکتر,related,word,word,
لشکر,آرمی,related,word,word,0.118081040130154
قدامت پسند,آزاد خیال,related,word,word,
سماعت,آزمائش,related,word,word,0.111584470636008
ناممکن,آسان,related,word,word,0.424277749999464
آسمان,آسمانی,related,word,word,0.686951353554599
توہین,ناراض کرنا,related,word,word,
ھوا,آکسیجن,related,word,word,0.10851803231289
رپورٹ,آگاہ کرنا,related,word,word,
چپ,آلہ,related,word,word,0.150705841900968
روبوٹ,مشین,related,word,word,0.352757492917533
منافع,آمدنی,related,word,word,0.45047367959721
پہنچنا,آنا,related,word,word,0.375484146017728
شور,آواز,related,word,word,0.269340270766467
پہلے سے,اب بھی,related,word,word,
دیر,پہلے,related,word,word,0.239914124196254
نیچے,اوپر,related,word,word,0.643419760361622
گھر,اپارٹمنٹ,related,word,word,0.351469173319782
توجہ,اپنی طرف متوجہ کرنا,related,word,word,
ہفتہ,اتوار,related,word,word,0.45798948419856
اثر و رسوخ,اثر,related,word,word,
پیسفک,اٹلانٹک,related,word,word,0.402693239175921
نصف قطر,محیط,related,word,word,
تاثر,احساس,related,word,word,0.389316478919991
آرٹیکل,اخبار,related,word,word,0.206868518869702
انتخاب,اختیار,related,word,word,0.2720257306467
مصنف,اداکار,related,word,word,0.337718903140102
آرٹ,ادب,related,word,word,0.301123082837223
مقصد,ارادہ,related,word,word,0.308438427840348
دس لاکھ,ایک ارب,related,word,word,
راؤنڈ,ارد گرد,related,word,word,
طالب علم,استاد,related,word,word,
درخواست دیں,استعمال,related,word,word,
وکیل,مد‏عی,related,word,word,
کیلا,اسٹرابیری,related,word,word,
خفیہ,اسرار,related,word,word,0.254013536082478
سیکرٹری,اسسٹنٹ,related,word,word,0.455877037487173
کلاس,اسکول,related,word,word,0.292577964591825
گپ شپ,اسکینڈل,related,word,word,
پوائنٹ,اشارہ,related,word,word,0.0850646157402879
زائد,اضافی,related,word,word,0.23732630751883
تسلیم,اعتراف,related,word,word,0.344688751242369
احترام,اعتماد,related,word,word,0.327559507574425
فکر مند,پریشان,related,word,word,
اغوا کرنا,بھگا کرلے جانا,related,word,word,
دائرہ کار,اختیار,related,word,word,
ستمبر,اکتوبر,related,word,word,0.618971456669248
کبھی کبھی,اکثر,related,word,word,
الرٹ,الارم,related,word,word,0.432204211447363
محرک,عذرداری,related,word,word,
حتمی,آخری,related,word,word,0.346046585381171
افراتفری,بوکھلاہٹ,related,word,word,
شکایت,الزام,related,word,word,0.224504750045373
براوو,الفا,related,word,word,0.323934828053596
خانےدارالماری,طاق,related,word,word,
اداس,المناک,related,word,word,0.27873260875069
دیوتا,الوھی,related,word,word,
ہیلو,الوداع,related,word,word,0.172021555336181
افریقی,امریکہ,related,word,word,0.281368293921565
امکان,عین ممکن,related,word,word,
موقع,امکان,related,word,word,0.154849410680385
غریب,امیر,related,word,word,0.373454470089029
مہم,انتخابات,related,word,word,0.259995659767439
دیکھ بھال,انتظامی,related,word,word,
ہوشیار,ذھین,related,word,word,0.291595720798384
خوراک,انجکشن,related,word,word,0.301509618792111
