sk_cue,sk_target,type,cue_type,target_type,sk_cosine
diplom,absolvent,related,word,word,0.352399195970562
nezmyselný,absurdný,related,word,word,0.544639711637347
manažment,administratíva,related,word,word,0.265436839808206
hormón,adrenalín,related,word,word,0.448557844917932
číslo,adresa,related,word,word,0.40821623551409
firma,agentúra,related,word,word,0.436443224284179
spustiť,aktivovať,related,word,word,0.507050211212886
upozorniť,alarm,related,word,word,0.273189770881324
bravo,alfa,related,word,word,0.394141932356538
motív,alibi,related,word,word,0.434369490989179
afrika,amerika,related,word,word,0.592001360043602
pitva,analýza,related,word,word,0.428753315368186
inžinier,architekt,related,word,word,0.380261640660676
légia,armáda,related,word,word,0.427055053696224
nevedomosť,arogancia,related,word,word,0.395552476244073
arzenál,zbrojnica,related,word,word,0.278771978490918
žilka,tepna,related,word,word,
tajomník,asistent,related,word,word,0.363901335142792
pacifický,atlantický,related,word,word,
prostredie,atmosféra,related,word,word,0.296179239561547
vozidlo,auto,related,word,word,0.591882391854811
vlak,autobus,related,word,word,0.655722033029687
dedko,babička,related,word,word,0.296741255543648
toast,slanina,related,word,word,0.555555576315448
obálka,balík,related,word,word,0.283040554809806
klub,bar,related,word,word,0.460106226924073
štadión,baseball,related,word,word,0.312391207439139
text,báseň,related,word,word,0.365082914689074
hodváb,bavlna,related,word,word,0.398935244036318
zbytočný,bezcenný,related,word,word,0.405882951287426
bezradný,bezmocný,related,word,word,0.472501924886303
zabezpečenie,bezpečnosť,related,word,word,0.452868317768534
chémia,biológia,related,word,word,0.490991024425351
chemický,biologický,related,word,word,0.539363504774541
vojna,bitka,related,word,word,0.469697638987628
paranoidný,šialený,related,word,word,0.478075743889633
poklad,bohatstvo,related,word,word,0.328334922406664
chudobný,bohatý,related,word,word,0.592856861975186
boj,bitka,related,word,word,0.405514455597403
aréna,bojisko,related,word,word,0.214991800358177
vojak,bojovník,related,word,word,0.4571309357764
majster,bitkár,related,word,word,0.314387423080224
utrpenie,bolesť,related,word,word,0.538769993352718
washington,boston,related,word,word,0.413824804291242
boha,božský,related,word,word,0.310225081002736
vlasy,brada,related,word,word,0.345254431918871
portál,brána,related,word,word,0.406047934581454
sestra,brat,related,word,word,0.441307214389279
príbuzný,bratranec,related,word,word,0.344639795772783
štít,brnenie,related,word,word,0.311087744118527
frajer,kámo,related,word,word,0.315225261171765
spinálny,brušný,related,word,word,
veža,budova,related,word,word,0.432354912069174
košeľa,bunda,related,word,word,0.579073963791426
superman,batman,related,word,word,0.469985533089084
vietor,búrka,related,word,word,0.352682380740445
dom,byt,related,word,word,0.499629195339453
kliatba,čarodejnica,related,word,word,0.454905821360734
mágia,čarodejník,related,word,word,0.387403398777911
čašník,čašníčka,related,word,word,0.572024545131824
detonátor,časovač,related,word,word,0.480778134349403
hmota,častica,related,word,word,0.462948168225357
niekedy,často,related,word,word,0.30459794510457
hodnota,cena,related,word,word,0.534977748819414
míla,centimeter,related,word,word,0.265240857086282
privilégium,česť,related,word,word,0.371594765368338
trasa,cesta,related,word,word,0.398980754459429
lístok,cestovný pas,related,word,word,
túžba,želanie,related,word,word,0.287313309602015
pera,líce,related,word,word,0.189887935676458
operovať,chirurgia,related,word,word,0.349834608682407
teplý,chladný,related,word,word,0.467898190942617
horúci,studený,related,word,word,0.551559430527922
dievča,chlapec,related,word,word,0.449575723737293
chorý,nezdravý,related,word,word,0.337568431152683
chyba,omyl,related,word,word,0.391886866205129
cesnak,cibuľa,related,word,word,0.470041345024518
biela,čierna,related,word,word,0.61047768053781
dym,cigara,related,word,word,0.339542220950736
tabak,cigareta,related,word,word,0.390927430908988
aktívny,činnosť,related,word,word,0.214553747179162
hrob,cintorín,related,word,word,0.416566549744551
zoo,cirkus,related,word,word,0.247174715896217
cisársky,cisár,related,word,word,0.652953612194702
delikátny,citlivý,related,word,word,0.375076398669398
kultúra,civilizácia,related,word,word,0.546789556253239
ponorka,čln,related,word,word,0.266857467070891
cukor,čokoláda,related,word,word,0.424564957602288
neskoro,čoskoro,related,word,word,0.304441801806735
prax,cvičenie,related,word,word,0.254804215244918
naivný,cynický,related,word,word,0.462339482716661
postupovať,pokračovať,related,word,word,0.376371705002316
blízko,ďaleko,related,word,word,0.478200811076169
kompliment,darček,related,word,word,0.352586721440346
charita,príspevok,related,word,word,0.304941972902065
vložiť,dať,related,word,word,0.465422191172395
ponúknuť,poskytnúť,related,word,word,0.565370645977824
november,december,related,word,word,0.700337678095338
koncepcia,definícia,related,word,word,0.447633794884909
kavaléria,delostrelectvo,related,word,word,0.371419312459229
sloboda,demokracia,related,word,word,0.482633172988276
protest,demonštrácia,related,word,word,0.456527447786979
stres,depresia,related,word,word,0.427240708760893
storočie,desaťročie,related,word,word,0.63549424350699
agent,detektív,related,word,word,0.366443056945208
mladosť,detstvo,related,word,word,0.308528867591774
anjel,diabol,related,word,word,0.391859383594186
cesta,diaľnica,related,word,word,0.477697419446156
prasklina,diera,related,word,word,0.445532414692497
bábätko,dieťa,related,word,word,0.619374243863755
chlapci,dievčatá,related,word,word,0.558003272432683
ping,ding,related,word,word,0.593900887361913
konverzácia,diskusia,related,word,word,0.508433534599571
kino,divadlo,related,word,word,0.409368715816692
jednotka,divízia,related,word,word,0.495423884884547
krátky,dlhý,related,word,word,0.488510724968988
veľkosť,dĺžka,related,word,word,0.459830601474174
senior,junior,related,word,word,0.507871780156015
vrchol,dno,related,word,word,0.327143407675648
dobrovoľník,dobrovoľne,related,word,word,0.755923269760462
naviac,dodatočný,related,word,word,0.23491690358191
zmluva,dohoda,related,word,word,0.592307532056188
stopa,dôkaz,related,word,word,0.220267883565503
ideálny,dokonalý,related,word,word,0.508189379504605
súbor,dokument,related,word,word,0.36549699994339
libra,dolár,related,word,word,0.384761673118307
cenný,dôležitý,related,word,word,0.482756882414653
pevne,silne,related,word,word,0.39731019857005
misa,tanier,related,word,word,0.190902712307446
dosť,dostatočný,related,word,word,0.398200916719263
pýcha,dôstojnosť,related,word,word,0.346988970006088
úcta,dôvera,related,word,word,0.403285116418305
vianoce,dovolenka,related,word,word,0.309079580881796
toaleta,umývadlo,related,word,word,0.458747223566314
alkohol,droga,related,word,word,0.400643566166061
kábel,drôt,related,word,word,0.428645650269856
duša,duch,related,word,word,0.358809226099325
