"ar_cue","ar_target","type","cue_type","target_type","ar_cosine"
"إنسان آلي","آلة","related","word","word",NA
"سر","أحجية","related","word","word",0.170276242318602
"يا صديق","أخ","related","word","word",NA
"يعرض","أداء","related","word","word",0.249249523334988
"أداة","أداة","related","word","word",1
"عين","أذن","related","word","word",0.25971339721144
"اثنين","أربعة","related","word","word",0.551975707795508
"فزع","أرعب","related","word","word",0.420869195137089
"فوكس","أرنب","related","word","word",0.167511351312518
"بني","أزرق","related","word","word",0.257104629489166
"بيشوب","أساسي","related","word","word",0.19561075037939
"شهر","أسبوع","related","word","word",0.756061070362789
"اليومي","أسبوعي","related","word","word",0.399263040014241
"التنين","أسد","related","word","word",0.314390637819359
"خرافة","أسطورة","related","word","word",0.489878738208092
"ارسنال","أسلحة","related","word","word",0.0697138859774114
"أبيض","أسود","related","word","word",0.693179427970895
"رهينة","أسير","related","word","word",0.208333497017899
"اطلاق النار","أطلق النار","related","word","word",NA
"حاليا","أعرف","related","word","word",0.201187340742265
"أدنى","أعلى","related","word","word",0.475883283954047
"أسفل","أعلى","related","word","word",0.470040114019051
"ألبوم","أغنية","related","word","word",0.502718441613204
"الحد الأدنى","أقصى","related","word","word",NA
"أحسنت","ألفا","related","word","word",0.186388211114677
"رسم","ألفت","related","word","word",0.194806785969023
"وفاء","أمانة","related","word","word",0.302556492965055
"أفريقيا","أمريكا","related","word","word",0.510120459466654
"أميرة","أمير","related","word","word",0.602433053691967
"عنيد","أنانية","related","word","word",0.399280276632386
"الذكر","أنثى","related","word","word",0.526930253783226
"يضيع","أنفق","related","word","word",0.311004701496904
"الموضة","أنيق","related","word","word",0.292292982427767
"المعنى","أهمية","related","word","word",0.380963642612921
"قطار","أوتوبيس","related","word","word",0.542920419976397
"أبدا","أي وقت مضى","related","word","word",NA
"شاويش","أيتها الملازم","related","word","word",NA
"خيال","إبداع","related","word","word",0.351742276470919
"اصبع اليد","إبهام","related","word","word",NA
"معالجة","إجراء","related","word","word",0.131205360062755
"الاخلاص","إخلاص","related","word","word",0.573582430274033
"إدارة","إداري","related","word","word",0.5428888880694
"الى الخلف","إرجاع","related","word","word",NA
"احضر","إرسال","related","word","word",0.238919512460166
"استبعد","إزالة","related","word","word",0.221619079722183
"قاطع","إزعاج","related","word","word",0.07618287450138
"خطة","إستراتيجية","related","word","word",0.613766505193252
"شكل","إشارة","related","word","word",0.176274842817706
"تلوث اشعاعى","إشعاع","related","word","word",NA
"جرح","إصابة","related","word","word",0.533268444190542
"إضافي","إضافي","related","word","word",1
"يضرب","إضراب","related","word","word",0.167527913709877
"جاهز","إعداد","related","word","word",0.376737083707631
"شنقا","إعدام","related","word","word",0.333846601657245
"اعصار","إعصار","related","word","word",0.676990592631256
"استقالة","إقالة","related","word","word",0.626809550887503
"الله","إلهي","related","word","word",0.482737835267698
"سلالة حاكمة","إمبراطورية","related","word","word",NA
"الإمبراطوري","إمبراطورية","related","word","word",0.63263882281665
"فرصة","إمكانية","related","word","word",0.436515259043013
"مصنع","إنتاج","related","word","word",0.428620591244639
"إنذار","إنذار","related","word","word",1
"رأي","إنطباع","related","word","word",0.292711341390735
"افتتاح","إنهاء","related","word","word",0.252724262921236
"آمل أن","إيمان","related","word","word",NA
"رشوة","ابتزاز","related","word","word",0.465143598649361
"بنت","ابن","related","word","word",0.42988303209486
"حفيد","ابن شقيق","related","word","word",NA
"مستعمرة","اتحاد","related","word","word",0.148713260993751
"عقد","اتفاق","related","word","word",0.570788076874278
"شكوى","اتهام","related","word","word",0.332848947419632
"معلق","احتفظ","related","word","word",0.210699342689599
"تجربة - قام بتجارب","اختبار","related","word","word",NA
"خطف","اختطف","related","word","word",0.614309096865374
"الموت","اختفاء","related","word","word",0.115837582892171
"خيار","اختيار","related","word","word",0.469875598580433
"ليل","اخر النهار","related","word","word",NA
"أدخل","اذهب","related","word","word",0.3726893093689
"فوضى","ارتباك","related","word","word",0.424305238226191
"وزن","ارتفاع","related","word","word",0.298295572889682
"قائد","اركب","related","word","word",0.235439090221986
"يستبدل","استبدل","related","word","word",0.709191663011726
"المالية","استثمار","related","word","word",0.352869532416437
"منعطف _ دور","استدارة","related","word","word",NA
"تحطيم","استراحة","related","word","word",0.162928558588399
"تطبيق","استعمال","related","word","word",0.373873399745413
"تقدم","استمر","related","word","word",0.23903993250838
"عدد السكان","اشخاص","related","word","word",NA
"أعمى","اطرش","related","word","word",0.230354315687508
"يعترف","اعترف","related","word","word",0.597337495097376
"أكثر تسطحا","اعجاب","related","word","word",NA
"صناعة","اعمال","related","word","word",0.348261041867745
"الخدمات","اعمال صيانة","related","word","word",NA
"خاتمة","افتراض","related","word","word",0.144195416524514
"اقرأ","اكتب","related","word","word",0.610151110774062
"المجموع","اكتمال","related","word","word",0.183124894548015
"سبتمبر","اكتوبر","related","word","word",0.623395557377145
"أم","الآب","related","word","word",0.0945599931417925
"الكبار","الأبوين","related","word","word",0.386366460133577
"يوم السبت","الأحد","related","word","word",NA
"هرمون","الأدرينالين","related","word","word",0.547520726107037
"عشيرة - قبيلة","الأسرة","related","word","word",NA
"أعلى","الأسفل","related","word","word",0.375010729840357
"كابل","الأسلاك","related","word","word",0.387883750498482
"أحمر","الأصفر","related","word","word",0.539403495229095
"رادار","الأقمار الصناعية","related","word","word",NA
