"tr_target","tr_cue","tr_fake_cue","tr_fake_target","en_cue","en_target"
"abartmak","azımsamak","crussamak","inançmak","underestimate","exaggerate"
"abi","kardeş","karani","poi","sister","brother"
"absürt","saçma","rışma","abseph","ridiculous","absurd"
"aç","yorgun","fikgun","gı","tired","hungry"
"acil durum","acil","acti","acil dsign","urgent","emergency"
"aciz","yeteneksizlik","yeteneksizaworld","acrs","inability","unable"
"açık sözlü","düzgün","zahgün","inan sözlü","decent","honest"
"açıkça","açıkça","inança","inança","clearly","obviously"
"acımasız","vahşi","kitşi","korkmasız","brutal","cruel"
"acınası","acınası","korknası","korknası","miserable","pathetic"
"adalet","intikam","intiburg","marlet","revenge","justice"
"adli","hırsız","pissız","devli","thief","criminal"
"adrenalin","hormon","makmon","adrenayecek","hormone","adrenaline"
"adres","numara","korkmara","adyüm","number","address"
"ağ","internet","interbury","äl","internet","web"
"ağaç","çalı","çamak","ağiş","bush","tree"
"ağır şekilde","ağır","ağnn","elekt şekilde","heavy","heavily"
"ağrı","çile","mahle","tekrı","suffering","pain"
"aile","klan","ökan","unle","clan","family"
"ajans","firma","ilama","krans","firm","agency"
"akşam","gece","şünce","aklif","night","evening"
"aksan","ses","rts","aklim","voice","accent"
"aksine","zıt","oft","önemsine","opposite","contrary"
"aktar","hareket","hareford","aknik","move","transfer"
"aktif hale getirmek","tetiklemek","tespermlemek","breaktif hale getirmek","trigger","activate"
"aktivite","aktif","aklat","aktirecekte","active","activity"
"aktör","yazar","yalün","akmis","author","actor"
"alan","alan","alde","zhan","area","zone"
"alarm","alarm","alipm","learm","alert","alarm"
"alaycı","toy","udy","ndeycı","naive","cynical"
"albay","genel","gekat","alpel","general","colonel"
"alev","ateş","athm","alix","fire","flame"
"alfa","bravo","colvo","alrik","bravo","alpha"
"alibi","motive","kristive","kılbi","motive","alibi"
"alıcı","satıcı","akıntıcı","şancı","seller","buyer"
"alımlı","çekici","çefranci","idamlı","attractive","charming"
"alın yazısı","kader","kayım","oturt yazısı","fate","destiny"
"alt kısım","üst","ont","alt klert","top","bottom"
"ameliyat","işletmek","işedilmek","ameliring","operate","surgery"
"amerika","afrika","sürprika","ilişrika","africa","america"
"analiz","otopsi","eteksi","anabar","autopsy","analysis"
"anayasa","kanun","kamaz","oluşyasa","law","constitution"
"anlamak","fark etmek","fark ebath","anlauren","realize","understand"
"anlaşma","sözleşme","uyanleşme","andersma","contract","agreement"
"anlaşmazlık","fikir ayrılığı","fikir ayrılnimhhhh","anlaşmazworth","conflict","dispute"
"anne","baba","basün","derne","daddy","mum"
"apartman","ev","ıl","inançman","house","apartment"
"aptal","toy","udy","aplie","naïve","stupid"
"aptallık","delilik","delisans","apağırlık","madness","stupidity"
"araba","araç","ariş","başba","vehicle","car"
"aralık","kasım","kayey","kârlık","november","december"
"araştırmacı","analist","dünlist","elekttırmacı","analyst","investigator"
"araştırmak","incelemek","inceleopold","unuttırmak","examine","investigate"
"arıza","başarı","başaolin","psiza","success","failure"
"arka","ön","tm","arsem","front","rear"
"arkadaş","iş arkadaşı","herscrkadaşı","arkarett","colleague","friend"
"arkadaş canlısı","kibar","kigiz","arkadaş canlnimhhhh","polite","friendly"
"arter","ven","xon","ardia","vein","artery"
"asistan","sekreter","çiftreter","amaçtan","secretary","assistant"
"aşı","antidote","antişecekte","luı","antidote","vaccine"
"aşk","nefret","hosret","nsk","hate","love"
"askeri","sivil","siçar","asdüstri","civil","military"
"aslan","ejderha","ejtrisha","asğiz","dragon","lion"
"assassin","paralı","paağırlı","asinersin","mercenary","assassin"
"at","eşek","beek","od","donkey","horse"
"ateş","öksürük","öksüokie","atmb","cough","fever"
"atlantik","pasifik","pasiburg","attirttik","pacific","atlantic"
"atmak","tuvalet","tuvaizin","ather","toilet","sink"
"atmosfer","çevre","önere","atmoskins","environment","atmosphere"
"avcı","av","eg","giycı","prey","predator"
"ayakkabı","bot","aft","unutkabı","boot","shoe"
"aylık maaş","emeklilik","onurlilik","aylık miders","pension","salary"
"ayna","refleks","fleleks","bilna","reflection","mirror"
"ayrıldı","sağ","koğ","ayuyandı","right","left"
"azaltmak","arttırmak","umurtırmak","augusmak","increase","reduce"
"baba","amca dayı","amca dricks","basün","uncle","dad"
"baba","anne","ihane","basün","mother","father"
"bağ","iletişim","iletional","koğ","contact","connection"
"bağış","hayır kurumu","hayır kurrength","bagiç","charity","donation"
"bağlamak","bağlamak","dostlamak","dostlamak","bind","tie"
"bahane","affetmek","afedilmek","basınçne","forgive","excuse"
"bakan","büyükelçi","büyükelrecek","bayıl","ambassador","minister"
"bakanlık","elçilik","elçiford","baağırlık","embassy","ministry"
"bakım","hizmet","hizşır","bamus","service","maintenance"
