"tr_cue","tr_target","type","cue_type","target_type","tr_cosine"
"azımsamak","abartmak","related","word","word",NA
"kardeş","abi","related","word","word",0.477470420000121
"saçma","absürt","related","word","word",0.522781089059453
"yorgun","aç","related","word","word",0.343875653473032
"acil","acil durum","related","word","word",NA
"yeteneksizlik","aciz","related","word","word",0.308034337051171
"düzgün","açık sözlü","related","word","word",NA
"açıkça","açıkça","related","word","word",1
"vahşi","acımasız","related","word","word",0.573626711545074
"acınası","acınası","related","word","word",1
"intikam","adalet","related","word","word",0.445210834004069
"hırsız","adli","related","word","word",0.116173700794821
"hormon","adrenalin","related","word","word",0.573133350512771
"numara","adres","related","word","word",0.418793630946794
"internet","ağ","related","word","word",0.426064910319592
"çalı","ağaç","related","word","word",0.43350592813519
"ağır","ağır şekilde","related","word","word",NA
"çile","ağrı","related","word","word",0.300035588779954
"klan","aile","related","word","word",0.342297531809225
"firma","ajans","related","word","word",0.559293306028662
"gece","akşam","related","word","word",0.788137298014488
"ses","aksan","related","word","word",0.269989047219009
"zıt","aksine","related","word","word",0.20565922869586
"hareket","aktar","related","word","word",0.127683030791512
"tetiklemek","aktif hale getirmek","related","word","word",NA
"aktif","aktivite","related","word","word",0.383504108642116
"yazar","aktör","related","word","word",0.460989016042855
"alan","alan","related","word","word",1
"alarm","alarm","related","word","word",1
"toy","alaycı","related","word","word",0.247802650466766
"genel","albay","related","word","word",0.153028898147715
"ateş","alev","related","word","word",0.523707485431887
"bravo","alfa","related","word","word",0.465307411960181
"motive","alibi","related","word","word",0.202808819270543
"satıcı","alıcı","related","word","word",0.583170584282718
"çekici","alımlı","related","word","word",0.474987851488169
"kader","alın yazısı","related","word","word",NA
"üst","alt kısım","related","word","word",NA
"işletmek","ameliyat","related","word","word",0.172796870079746
"afrika","amerika","related","word","word",0.585616394146841
"otopsi","analiz","related","word","word",0.414503938411598
"kanun","anayasa","related","word","word",0.567863339006068
"fark etmek","anlamak","related","word","word",NA
"sözleşme","anlaşma","related","word","word",0.728450610359324
"fikir ayrılığı","anlaşmazlık","related","word","word",NA
"baba","anne","related","word","word",0.893623051400609
"ev","apartman","related","word","word",0.597245683085878
"toy","aptal","related","word","word",0.346831807398026
"delilik","aptallık","related","word","word",0.65221489484504
"araç","araba","related","word","word",0.76538355945405
"kasım","aralık","related","word","word",0.572665723466319
"analist","araştırmacı","related","word","word",0.527337893183838
"incelemek","araştırmak","related","word","word",0.77148473964363
"başarı","arıza","related","word","word",0.180991784432388
"ön","arka","related","word","word",0.674474999522805
"iş arkadaşı","arkadaş","related","word","word",NA
"kibar","arkadaş canlısı","related","word","word",NA
"ven","arter","related","word","word",0.522096816854959
"sekreter","asistan","related","word","word",0.569328470337945
"antidote","aşı","related","word","word",0.347319144094481
"nefret","aşk","related","word","word",0.390999197150092
"sivil","askeri","related","word","word",0.564013058726126
"ejderha","aslan","related","word","word",0.462024330945905
"paralı","assassin","related","word","word",0.141074286152625
"eşek","at","related","word","word",0.36612397041443
"öksürük","ateş","related","word","word",0.242764523813772
"pasifik","atlantik","related","word","word",0.62780685678359
"tuvalet","atmak","related","word","word",0.169381010563512
"çevre","atmosfer","related","word","word",0.420026164508666
"av","avcı","related","word","word",0.656897754566027
"bot","ayakkabı","related","word","word",0.518303464247306
"emeklilik","aylık maaş","related","word","word",NA
"refleks","ayna","related","word","word",0.209790089271031
"sağ","ayrıldı","related","word","word",0.113972184225704
"arttırmak","azaltmak","related","word","word",0.717478047559502
"amca dayı","baba","related","word","word",NA
"anne","baba","related","word","word",0.893623051400609
"iletişim","bağ","related","word","word",0.433022236192125
"hayır kurumu","bağış","related","word","word",NA
"bağlamak","bağlamak","related","word","word",1
"affetmek","bahane","related","word","word",0.294590618443998
"büyükelçi","bakan","related","word","word",0.170202938902011
"elçilik","bakanlık","related","word","word",0.485261224492555
"hizmet","bakım","related","word","word",0.279040023440906
"korumak","bakım yapmak","related","word","word",NA
"köpek balığı","balık","related","word","word",NA
"avcılık","balık tutma","related","word","word",NA
"duş","banyo","related","word","word",0.642891754798521
"sığınak","barınak","related","word","word",0.689467559206668
"üstesinden gelmek","başarmak","related","word","word",NA
"basitçe","basit","related","word","word",0.568096739891283
