"word_combo","nl_cue","nl_target","type","cue_type","target_type","nl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"aanbiedenexkuparen","aanbieden","exkuparen","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aanbiedengeven","aanbieden","geven","related","word","word",0.414846024518116,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aanbiedenongeluk","aanbieden","ongeluk","unrelated","word","word",0.0258850351797139,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aandachtaantrekken","aandacht","aantrekken","related","word","word",0.27810672893777,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aandachtherfst","aandacht","herfst","unrelated","word","word",0.127519856895399,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aandachtslaptakening","aandacht","slaptakening","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aanhangerbiffel","aanhanger","biffel","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aanhangerbusje","aanhanger","busje","related","word","word",0.174477465625205,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aanhangerverwachten","aanhanger","verwachten","unrelated","word","word",0.124936636458272,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aankomenkomen","aankomen","komen","related","word","word",0.40720312734622,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aankomenonaangenaam","aankomen","onaangenaam","unrelated","word","word",0.137991443816936,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aankomenporiade","aankomen","poriade","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aankomstbido","aankomst","bido","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aankomstgorilla","aankomst","gorilla","unrelated","word","word",0.102741003534312,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
