"word_combo","ko_cue","ko_target","type","cue_type","target_type","ko_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"가끔드물게","가끔","드물게","related","word","word",0.265907278342495,NA,NA,NA,NA,NA
"가끔석어","가끔","석어","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가끔조각","가끔","조각","unrelated","word","word",0.0674980534075949,NA,NA,NA,NA,NA
"가난가터콥","가난","가터콥","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가난고통","가난","고통","related","word","word",NA,NA,NA,NA,NA,NA
"가난메세지","가난","메세지","unrelated","word","word",0,NA,NA,NA,NA,NA
"가난한부자","가난한","부자","related","word","word",0.460592583076489,NA,NA,NA,NA,NA
"가난한얻었턴","가난한","얻었턴","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가난한점검","가난한","점검","unrelated","word","word",0.102435399869242,NA,NA,NA,NA,NA
"가능성가망","가능성","가망","related","word","word",0.368232438108505,NA,NA,NA,NA,NA
"가능성걷다","가능성","걷다","unrelated","word","word",0.147416652939314,NA,NA,NA,NA,NA
"가능성별탕듯한","가능성","별탕듯한","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가동상의기능의","가동상의","기능의","related","word","word",NA,NA,NA,NA,NA,NA
"가동상의아름다운","가동상의","아름다운","unrelated","word","word",0,NA,NA,NA,NA,NA
"가동상의원소","가동상의","원소","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가들렸고","가들","렸고","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가들성능","가들","성능","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가등디는","가등","디는","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가등집중","가등","집중","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가르망하다델을","가르망하다","델을","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가르망하다아이러니 한","가르망하다","아이러니 한","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가리길러공격","가리길러","공격","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가리길러스박같은","가리길러","스박같은","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가리키다내비치다","가리키다","내비치다","related","word","word",NA,NA,NA,NA,NA,NA
"가리키다자비","가리키다","자비","unrelated","word","word",0,NA,NA,NA,NA,NA
"가리키다츠카","가리키다","츠카","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가불결없어한","가불결","없어한","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가불결투자하다","가불결","투자하다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가수빗이","가수","빗이","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가수상관 대리","가수","상관 대리","unrelated","word","word",0,NA,NA,NA,NA,NA
"가수음악가","가수","음악가","related","word","word",0.507509724949811,NA,NA,NA,NA,NA
"가스연료","가스","연료","related","word","word",0.431117748839036,NA,NA,NA,NA,NA
"가스지키다","가스","지키다","unrelated","word","word",0.103143179121097,NA,NA,NA,NA,NA
"가스페랄","가스","페랄","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가엔권한","가엔","권한","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가엔애설","가엔","애설","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가엔짐자승","가엔","짐자승","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가엔추운","가엔","추운","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가잖느행","가잖","느행","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가잖보드카","가잖","보드카","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가져오다그나건","가져오다","그나건","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가져오다보내다","가져오다","보내다","related","word","word",NA,NA,NA,NA,NA,NA
"가져오다합법적 인","가져오다","합법적 인","unrelated","word","word",0,NA,NA,NA,NA,NA
"가져해제맥주","가져해제","맥주","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가져해제에베차","가져해제","에베차","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가짜거짓","가짜","거짓","related","word","word",0.27904810965178,NA,NA,NA,NA,NA
"가짜결과","가짜","결과","unrelated","word","word",0.0191878097461107,NA,NA,NA,NA,NA
"가짜많하","가짜","많하","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가추물사업","가추물","사업","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가추물캔모","가추물","캔모","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가추형들리다","가추형","들리다","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"가추형러명","가추형","러명","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"가톨릭기독교","가톨릭","기독교","related","word","word",0.544913312522367,NA,NA,NA,NA,NA
"가톨릭뽐내물","가톨릭","뽐내물","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"가톨릭추천하다","가톨릭","추천하다","unrelated","word","word",0,-0.193803657627273,NA,NA,1,FALSE
"각지러프왔니","각지","러프왔니","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"각지카우보이","각지","카우보이","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간다한깨어된 것","간다한","깨어된 것","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간다한신비","간다한","신비","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간단한단순한","간단한","단순한","related","word","word",0.404496698046979,NA,NA,NA,NA,NA
"간단한망버","간단한","망버","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"간단한작가","간단한","작가","unrelated","word","word",0.105317126257968,NA,NA,NA,NA,NA
"간식보코","간식","보코","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"간식원기","간식","원기","unrelated","word","word",0,NA,NA,NA,NA,NA
"간식점심","간식","점심","related","word","word",0.491188634063238,NA,NA,NA,NA,NA
"간지림증은","간지림","증은","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간지림지갑","간지림","지갑","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"간지한스파버틸","간지한","스파버틸","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"간지한치즈","간지한","치즈","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"갇힐위고상민","갇힐위","고상민","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"갇힐위묘지","갇힐위","묘지","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"갈등논쟁","갈등","논쟁","related","word","word",0.434634858783093,NA,NA,NA,NA,NA
"갈등대령","갈등","대령","unrelated","word","word",0.0616040878594381,NA,NA,NA,NA,NA
"갈등올리하다","갈등","올리하다","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"갈색몰았사자","갈색","몰았사자","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"갈색푸른","갈색","푸른","related","word","word",0.4013159135415,0.235903147758144,NA,NA,1,FALSE
"갈색품질","갈색","품질","unrelated","word","word",0.147961812088998,NA,NA,NA,NA,NA
"갈수반부자","갈수반","부자","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"갈수반찮리","갈수반","찮리","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"감자리티","감자","리티","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"감자유죄한","감자","유죄한","unrelated","word","word",0,NA,NA,NA,NA,NA
"감자토마토","감자","토마토","related","word","word",0.436971506415517,NA,NA,NA,NA,NA
"감지기송신기","감지기","송신기","related","word","word",0.555763634796356,NA,NA,NA,NA,NA
"감지기의사","감지기","의사","unrelated","word","word",0.0770216331496332,NA,NA,NA,NA,NA
"감지기중신","감지기","중신","nonword","word","nonword",NA,NA,NA,NA,NA,NA
