"word_combo","el_cue","el_target","type","cue_type","target_type","el_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"anοχοςμίγαίνω","anοχος","μίγαίνω","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"anοχοςπρωτάθλημα","anοχος","πρωτάθλημα","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aνμαελεύθερος","aνμα","ελεύθερος","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aνμαράταρτο","aνμα","ράταρτο","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"chτρικόςκοιλάδα","chτρικός","κοιλάδα","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"chτρικόςλιγότάρι","chτρικός","λιγότάρι","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"cuχταμαρχονέζα","cuχτα","μαρχονέζα","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"cuχταστάση","cuχτα","στάση","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"dvdβίντεο","dvd","βίντεο","related","word","word",0.505184096904713,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"dvdότι","dvd","ότι","unrelated","word","word",0.131083366580897,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"dvdτιτίότητα","dvd","τιτίότητα","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"fiμαγυναίκα","fiμα","γυναίκα","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"fiμαέμπουςς","fiμα","έμπουςς","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"joιξηδομή","joιξη","δομή","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"joιξησπουκείος","joιξη","σπουκείος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"kiμυσίααβώνυμο","kiμυσία","αβώνυμο","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"kiμυσίαβοηθός","kiμυσία","βοηθός","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"kαλητήςένάνος","kαλητής","ένάνος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"kαλητήςπαπάς","kαλητής","παπάς","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"orρακαφές","orρα","καφές","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"orραφρικωνς","orρα","φρικωνς","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"oυάσιγκτoνbοστώνη","oυάσιγκτoν","bοστώνη","related","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"oυάσιγκτoνβιολογικός","oυάσιγκτoν","βιολογικός","unrelated","word","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"oυάσιγκτoντρομοιω","oυάσιγκτoν","τρομοιω","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"reχτυλοεπιστήμη","reχτυλο","επιστήμη","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"reχτυλοκαμισταση","reχτυλο","καμισταση","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"saνικόςέξεννος","saνικός","έξεννος","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"saνικόςπλατύς","saνικός","πλατύς","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ufoδολοφότες","ufo","δολοφότες","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ufoεξωγήινο","ufo","εξωγήινο","related","word","word",0.432122856644264,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"ufoνεροχύτης","ufo","νεροχύτης","unrelated","word","word",-0.000485815461544304,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"zeόνηεπαλιστικός","zeόνη","επαλιστικός","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
