"word_combo","ja_cue","ja_target","type","cue_type","target_type","ja_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"アーティファム―提案する","アーティファム―","提案する","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"アーティファム―禍估小","アーティファム―","禍估小","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"アウトスチン","アウト","スチン","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"アウトだいたい","アウト","だいたい","related","word","word",0.862612446817307,NA,NA,NA,NA,NA
"アウト決定","アウト","決定","unrelated","word","word",0.673108153648668,NA,NA,NA,NA,NA
"あきへはへ人工的な","あきへはへ","人工的な","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"あきへはへ埋囲","あきへはへ","埋囲","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"アクティブアクティビティ","アクティブ","アクティビティ","related","word","word",0,NA,NA,NA,NA,NA
"アクティブ上","アクティブ","上","unrelated","word","word",0.655580498634343,NA,NA,NA,NA,NA
"アクティブ禅揚","アクティブ","禅揚","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"アスピリンモルヒネ","アスピリン","モルヒネ","related","word","word",0.912324267547588,NA,NA,NA,NA,NA
"アスピリンレホ","アスピリン","レホ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"アスピリン中尉","アスピリン","中尉","unrelated","word","word",0.948454433850719,NA,NA,NA,NA,NA
"アゾ位置","アゾ","位置","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"アゾ妖軽りの","アゾ","妖軽りの","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"あだ名冊梯","あだ名","冊梯","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"あだ名売る","あだ名","売る","unrelated","word","word",0,NA,NA,NA,NA,NA
"あだ名姓","あだ名","姓","related","word","word",0.826594710574939,NA,NA,NA,NA,NA
"アドあおおーバル","アドあ","おおーバル","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"アドあプロフェッショナル","アドあ","プロフェッショナル","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"アヒ禁段","アヒ","禁段","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"アヒ首","アヒ","首","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"アフリカアメリカ","アフリカ","アメリカ","related","word","word",0.824735790457083,NA,NA,NA,NA,NA
"アフリカ十ク","アフリカ","十ク","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"アフリカ救う","アフリカ","救う","unrelated","word","word",0.758916398075898,NA,NA,NA,NA,NA
"アマチュアプロフェッショナル","アマチュア","プロフェッショナル","related","word","word",0.915647285483752,NA,NA,NA,NA,NA
"アマチュア作ローツ","アマチュア","作ローツ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"アマチュア加害者","アマチュア","加害者","unrelated","word","word",0.939493954288569,NA,NA,NA,NA,NA
"アメツムリ海岸","アメツムリ","海岸","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"アメツムリ無矢つるけ","アメツムリ","無矢つるけ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"アラ医常め","アラ","医常め","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
