"please_tell_us_your_gender","keep","url_special_code"
"male","exclude",220760792192155
"male","exclude",220760717751459
"male","exclude",220760960817375
"female","keep",220761164853319
"female","exclude",220760749956225
"female","keep",220760783880342
"female","keep",220761143771179
"male","exclude",220760864172210
"female","exclude",220760739319934
"male","exclude",220760830203047
"male","keep",220760947153110
"male","exclude",220760693943447
"male","keep",220761171976264
"male","exclude",220760992602354
"male","exclude",220761009052922
"male","keep",220760694187162
"male","keep",220760790226073
"male","exclude",220761073902623
"male","exclude",220761198107670
"female","keep",220761039581202
"female","keep",220761345304666
"male","exclude",220761227868196
"female","exclude",220760873355445
"male","keep",220761021621250
"male","keep",220760992602354
"male","keep",220761288093760
"male","keep",220761298035781
"male","keep",220761119224879
"male","exclude",220760943407316
"male","keep",220761186165841
"female","keep",220761310016584
"male","keep",220760396750015
"female","keep",220760705252510
"male","keep",220760954341594
"male","exclude",220761237228588
"male","keep",220761353472092
"male","exclude",220760996635892
"male","exclude",220761229464615
"female","exclude",220761003073783
"male","keep",220761337996373
"male","keep",220761047365654
"male","keep",220761186165841
"male","exclude",220761288127553
"male","keep",220760983344366
"female","keep",220761107342376
"female","exclude",220760794275997
"female","exclude",220760949839063
"male","keep",220760734822524
"male","exclude",220761014763773
"male","keep",220760689011861
"female","exclude",220406551918735
NA,"exclude",220760750186626
"female","keep",220760685788308
"male","keep",220761073902623
"female","keep",220760970811621
"female","keep",220761342800982
"male","exclude",220761175581774
"male","keep",220760761535624
"male","exclude",220760702517404
"male","exclude",220120692436041
"male","exclude",220760938095822
"male","keep",220761160986692
"other","exclude",NA
"male","keep",220760819095717
"female","keep",220761284109373
"male","keep",220760867694771
"male","keep",220760954996955
"male","exclude",220760954341594
"male","keep",220761284635711
"other","exclude",NA
"male","keep",220761039578129
"female","keep",NA
"male","exclude",220761257088049
"male","keep",220761126641713
"female","keep",220760966740194
"female","keep",220760703136925
"female","keep",220761284173886
"male","keep",220761343459415
"male","exclude",220760840162477
"female","keep",220760754925702
"female","keep",220760933046474
"notsay","keep",NA
"male","exclude",220493331923129
"male","keep",220761237368877
"male","exclude",220760879637687
"male","exclude",220761308100679
"female","keep",220760751437955
"male","keep",220760694113433
"male","keep",220761291690051
"male","keep",220761001478389
"male","exclude",220761329779793
"male","keep",220760706654368
"female","keep",NA
"male","exclude",220761222945825
"male","keep",220761002035446
"male","keep",220760983488751
"male","exclude",220761348588635
"female","exclude",220760306999493
"male","exclude",220761044149268
"male","keep",220761284635711
"male","keep",220761164828742
"male","exclude",220492255388857
"male","exclude",220761073902623
"male","exclude",220761062423579
"male","keep",220761175337037
"female","keep",220761160237122
"male","keep",220760965308641
"male","exclude",220760942536914
"male","exclude",220761073902623
"female","keep",220760880071864
