"please_tell_us_your_gender","keep","url_special_code"
"female","keep",220813846587485
"female","keep",220827738710161
"male","exclude",220763592363205
"male","exclude",220814384056461
"male","keep",220831122829324
"male","keep",220779441195042
"male","keep",220947421156377
"male","exclude",220768257075342
"male","keep",220862444078245
"female","keep",220765261282475
"male","keep",220777156342804
"female","keep",220771099666611
"male","keep",220823764251718
"female","keep",220776733604038
"male","keep",220831927600256
"female","keep",220776192169056
"male","keep",220766546707592
"male","keep",220831122829324
"female","exclude",220763749555363
"female","keep",220811253902546
"male","exclude",220120692436041
"male","keep",220769490718851
"other","exclude",NA
"male","keep",220844705921209
"female","keep",220762165272705
"male","exclude",220932623072472
"male","keep",220761399984136
"other","exclude",NA
"female","keep",NA
NA,"exclude",220405874180168
"male","keep",220775840259103
"female","keep",220951833232535
"male","keep",220769490718851
"female","keep",220834992561171
"male","keep",220763130193953
"female","keep",220789094097994
"notsay","keep",NA
"male","keep",220771376725208
"male","keep",220769918846142
"male","keep",220862444078245
"female","keep",NA
"male","keep",220768514616498
"male","keep",220809035359242
"female","keep",220768693304523
"female","keep",220857501844565
"female","exclude",220763641021617
"male","keep",220766687810720
"female","keep",220764941651093
