sl_cue,sl_target,type,cue_type,target_type,sl_cosine
žlica,vilica,related,word,word,0.652445210793932
hrbteničen,trebušen,related,word,word,
ugrabiti,ukrasti,related,word,word,0.535530489552298
nesmiseln,absurden,related,word,word,0.541318280407232
hormon,adrenalin,related,word,word,0.478400252618709
podjetje,agencija,related,word,word,0.349559487540335
sprožite,aktivirajte,related,word,word,0.638214282893901
opozorilo,alarm,related,word,word,0.338137031368364
motiv,alibi,related,word,word,0.453179360375212
nlp,vesoljec,related,word,word,
kot,ulica,related,word,word,0.144289784806119
bravo,alfa,related,word,word,0.387211390584603
afrika,amerika,related,word,word,0.626841294428117
obdukcija,analiza,related,word,word,0.489195420716354
hiša,stanovanje,related,word,word,0.391768870612245
kaznovati,aretirati,related,word,word,0.522337199261479
inženir,arhitekt,related,word,word,0.492275074434554
arzenal,orožarna,related,word,word,0.314723407802601
nevednost,prevzetnost,related,word,word,0.431440067326156
žila,arterija,related,word,word,0.609774308581606
konjenica,topništvo,related,word,word,0.38181977184983
pacifik,atlantik,related,word,word,0.535921404023877
okolje,atmosfera,related,word,word,0.3564121981966
vozilo,avto,related,word,word,0.542651998170409
vlak,avtobus,related,word,word,0.730418792658984
cesta,avtocesta,related,word,word,0.73636741736391
dedek,babica,related,word,word,0.582208767465376
orkester,bend,related,word,word,0.461149617629439
klub,bar,related,word,word,0.586648444243537
stadion,bejzbol,related,word,word,0.377867242016206
regiment,bataljon,related,word,word,0.554124186960146
superman,batman,related,word,word,0.480187369218856
arena,bojišče,related,word,word,0.35768970691573
norec,idiot,related,word,word,0.582936228268204
jeza,bes,related,word,word,0.538006233317948
kemija,biologija,related,word,word,0.542905590041909
kemijski,biološki,related,word,word,0.555792291123034
pošast,bitje,related,word,word,0.468143987044617
vojna,bitka,related,word,word,0.621735772851399
zaklad,bogastvo,related,word,word,0.419569952991689
boj,pretep,related,word,word,0.414641094429334
bolan,bolehen,related,word,word,0.595205813066588
trpljenje,bolečina,related,word,word,0.524175654319737
gripa,bolezen,related,word,word,0.54089675618209
svila,bombaž,related,word,word,0.412354559660867
biblija,knjiga,related,word,word,0.513753281573739
prvak,borec,related,word,word,0.456408856188791
washington,boston,related,word,word,0.535640889525136
bog,božanski,related,word,word,0.334958095756038
stari,model,related,word,word,0.24971257773365
las,brada,related,word,word,0.346199881002108
zaščititi,braniti,related,word,word,0.631170198052363
sestra,brat,related,word,word,0.482305081580895
sorodnik,bratranec,related,word,word,0.562982622522983
plemeniti,pogumen,related,word,word,0.392433714504553
tatu,brazgotina,related,word,word,0.23675515169888
neuporaben,ničvreden,related,word,word,0.494755531030455
sijaj,žareč,related,word,word,0.401826969929957
odeja,brisača,related,word,word,0.528988268134485
igla,brizgalka,related,word,word,0.464512746056245
praska,modrica,related,word,word,0.470653001011285
kaliber,metek,related,word,word,0.518717999116456
rit,zadnjica,related,word,word,0.521297554926642
zdravo,adijo,related,word,word,0.627551586380054
sladica,torta,related,word,word,0.54470649614679
očala,pokrovček,related,word,word,0.327137903364064
škof,kardinal,related,word,word,0.492122780849836
prekletstvo,čarovnica,related,word,word,0.454942938184581
magija,čarovnik,related,word,word,0.409421238464662
tla,preproga,related,word,word,0.328915664196235
članek,časopis,related,word,word,0.614553908237251
detonator,timer,related,word,word,0.352113199403573
privilegij,čast,related,word,word,0.416104390557283
česen,čebula,related,word,word,0.497082518396187
vrednost,cena,related,word,word,0.479744391705909
občudovati,ceniti,related,word,word,0.567194302172885
milja,centimeter,related,word,word,0.290676744203394
protistrup,cepivo,related,word,word,0.545434103467986
možgani,možganski,related,word,word,0.588508334306328
cesarski,cesar,related,word,word,0.537936306353473
tretji,četrti,related,word,word,0.568116689858387
polovica,četrtina,related,word,word,0.530785299994294
škorenj,čevelj,related,word,word,0.524290625767056
črpalka,cev,related,word,word,0.386896646158146
vino,šampanjec,related,word,word,0.602060252885902
ustnica,lice,related,word,word,0.36108497631065
kruh,sir,related,word,word,0.477775896912156
katolik,kristjan,related,word,word,0.612012859033181
dim,cigara,related,word,word,0.349276817517314
tobak,cigareta,related,word,word,0.372017331370527
naiven,ciničen,related,word,word,0.546435971426855
živalski vrt,cirkus,related,word,word,
kultura,civilizacija,related,word,word,0.533080322931081
tipičen,klasičen,related,word,word,0.474170604291526
oseba,človek,related,word,word,0.397486887838961
rum,konjak,related,word,word,0.406148949390279
sladkor,čokolada,related,word,word,0.490707400637074
podmornica,čoln,related,word,word,0.390256430756809
območje,cona,related,word,word,0.40077632059514
podjetje,korporacija,related,word,word,0.414377517006386
telo,truplo,related,word,word,0.425129136292303
paranoičen,nor,related,word,word,0.501301908181031
telegram,črka,related,word,word,0.0850403642377062
bela,črna,related,word,word,0.64948815762604
nenavaden,čuden,related,word,word,0.632684928789096
duševen,čustven,related,word,word,0.553477138119094
trgati,rezati,related,word,word,0.544739952563124
rastlina,cvet,related,word,word,0.387766904181419
ponudba,dati,related,word,word,0.168456057527328
blizu,daleč,related,word,word,0.48399876335903
lord,dama,related,word,word,0.213268789871959
kompliment,darilo,related,word,word,0.3725418043721
suh,debel,related,word,word,0.474148003414763
stoletje,desetletje,related,word,word,0.545329260811503
november,december,related,word,word,0.769109063358816
aktiven,aktivnost,related,word,word,0.440787636391261
fantje,dekleta,related,word,word,0.452124498573575
kmet,delavec,related,word,word,0.47270857732439
snov,delec,related,word,word,0.282313186985792
služba,delo,related,word,word,0.400296666114087
delujoč,funkcionalen,related,word,word,0.453748191510069
svoboda,demokracija,related,word,word,0.611268448534771
protest,demonstracija,related,word,word,0.456470855372946
gotovina,denar,related,word,word,0.427992758270372
žep,denarnica,related,word,word,0.386605091240291
stres,depresija,related,word,word,0.432727161945904
usoda,fortuna,related,word,word,0.268929269518908
agent,detektiv,related,word,word,0.483844161099942
trpeti,umreti,related,word,word,0.508081898697927
klenk,zven,related,word,word,
diploma,diplomant,related,word,word,0.759490502861837
producent,režiser,related,word,word,0.624764958776843
pogovor,diskusija,related,word,word,0.350185971670135
okraj,območje,related,word,word,0.283822527449594
enota,del,related,word,word,0.141585306527401
narediti,delati,related,word,word,0.495108522109838
posebej,dodatno,related,word,word,0.315428404723862
zgoditi se,dogajati se,related,word,word,
pojav,dogodek,related,word,word,0.4501995124988
dobiček,dohodek,related,word,word,0.50300523403967
dokazilo,dokaz,related,word,word,0.58570690424256
datoteka,dokument,related,word,word,0.413939434917941
funt,dolar,related,word,word,0.502314217771843
kratek,dolg,related,word,word,0.509171108104632
puščava,dolina,related,word,word,0.424423412725523
velikost,dolžina,related,word,word,0.5367982525554
odgovornost,dolžnost,related,word,word,0.534149725054937
dobrodelnost,donacija,related,word,word,0.459810397468219
ponos,dostojanstvo,related,word,word,0.47028800855364
dovolj,zadosten,related,word,word,0.482197625239778
diamant,dragulj,related,word,word,0.592761889203379
slikati,risati,related,word,word,0.683668548405544
nočna mora,sanje,related,word,word,
grm,drevo,related,word,word,0.40003989522088
podoben,drugačen,related,word,word,0.505064497116045
klan,družina,related,word,word,0.277857752086406
zvezen,država,related,word,word,0.228171746048943
gos,raca,related,word,word,0.384957687027812
menih,duhovnik,related,word,word,0.516472341441786
