"lt_target","lt_cue","lt_fake_cue","lt_fake_target","en_cue","en_target"
"abduct","pagrobti","paziuoti","abtept","kidnap","abduct"
"absolventas","diplomas","smurlomas","absoldraustas","diploma","graduate"
"absurdiškas","juokinga","juodrauga","absurstraikas","ridiculous","absurd"
"administracinis vadovas","vadyba","vadysius","treadministracinis vadovas","management","administrative"
"adrenalinas","hormonas","iliumonas","adrenalikreipk","hormone","adrenaline"
"adresas","skaičius","liančius","adreaguo","number","address"
"agentūra","firma","krema","banktūra","firm","agency"
"aistra","entuziazmas","entušauksmas","bausra","enthusiasm","passion"
"akcentas","balsas","chasas","akprastas","voice","accent"
"akivaizdu","aišku","sepku","akispaudu","clearly","obviously"
"akmuo","rokas","roniš","aktor","rock","stone"
"aktas","gestas","flitas","akmen","gesture","act"
"aktorius","autorius","autovaiz","aktovaiz","author","actor"
"aktyvuokite","trigeris","plaugeris","aktyvuokiteneriūkš","trigger","activate"
"alėja","kampas","kamrei","žiuja","corner","alley"
"alfa","bravo","spėvo","alper","bravo","alpha"
"alibi","motyvas","motykiui","gudbi","motive","alibi"
"alien","ufo","gūo","alusn","ufo","alien"
"alkanas","pavargęs","pavardžiu","alkabink","tired","hungry"
"alus","gerti","stati","alau","drink","beer"
"alyva","anglis","įsalis","maiva","coal","oil"
"amerika","afrika","centrika","dirbrika","africa","america"
"amžinai","amžinas","amžimiui","amžimiuo","eternal","forever"
"analizė","autopsija","auknisusija","sveilizė","autopsy","analysis"
"ant","bičių","bikos","ukt","bee","ant"
"antis","žąsys","žązai","ancho","goose","duck"
"antradienį","pirmadienis","pirmatarpsnis","antramountnį","monday","tuesday"
"apačioje","į viršų","į vihur","kompčioje","top","bottom"
"apartamentai","namai","našes","verkštamentai","house","apartment"
"apgailėtina","nelaimingas","nelaiįstaigas","apgaigriaustina","miserable","pathetic"
"apibrėžimas","koncepcija","elektcepcija","linksbrėžimas","concept","definition"
"apibūdinimas","profilis","profitzai","sluoksbūdinimas","profile","description"
"apie tai","out","iot","skle tai","out","about"
"apiplėšimas","vagystė","vasiautė","linksplėšimas","theft","robbery"
"apkabinti","bučinys","bučindžiui","apkatraukti","kiss","hug"
"apleisti","išvykti","išprasti","apskriti","leave","abandon"
"aplink","raundas","plandas","aptelk","round","around"
"apskaičiuoti","skaičiuoti","skaišventi","apskaikreipti","count","calculate"
"architektas","inžinierius","inžiniejungt","archipluoštas","engineer","architect"
"areštas","nubausti","nuteršti","kerstas","punish","arrest"
"arklys","asilas","lėklas","hanlys","donkey","horse"
"armija","legionas","leedvinas","džiamija","legion","army"
"arogancija","nežinojimas","nežinojikreipk","stenggancija","ignorance","arrogance"
"arterija","ven","xon","plokšterija","vein","artery"
"artillery","kavalerija","kaschindlerija","arsparklery","cavalry","artillery"
"asistentas","sekretorius","sekretosakėt","asigeistas","secretary","assistant"
"asmenybė","charakteris","paukšrakteris","asmenydžiau","character","personality"
"assassin","samdiniai","samdidžią","assaspuot","mercenary","assassin"
"ate","sveiki","siunki","poe","hello","bye"
"ateiti","atvykti","atlaužti","atsporti","arrive","come"
"atlanto vandenynas","ramiojo vandenyno","ramiojo vandengriebsiu","atgreipfruto vandenynas","pacific","atlantic"
"atleidimas","atsistatydinimas","atsistatydinimastais","atleididžiuo","resignation","dismissal"
"atlyginimas","pensionas","penkresnas","atlyginikreipk","pension","salary"
"atlygis","premija","užuomija","atlyvaut","bonus","reward"
"atmosfera","aplinka","aptauška","atskrenfera","environment","atmosphere"
"atnaujinkite","šviežias","šviekišt","atnaupastumkite","fresh","refresh"
"atsakymas","atsakymas","atsakydžiui","atsakydžiui","answer","reply"
"atsispirti","atsparumas","atmonstrumas","atsilenktti","resistance","resist"
