"lt_cue","lt_target","type","cue_type","target_type","lt_cosine"
"pagrobti","abduct","related","word","word",NA
"diplomas","absolventas","related","word","word",NA
"juokinga","absurdiškas","related","word","word",0.234598125690686
"vadyba","administracinis vadovas","related","word","word",NA
"hormonas","adrenalinas","related","word","word",NA
"skaičius","adresas","related","word","word",0.265014562605375
"firma","agentūra","related","word","word",0.374680113347258
"entuziazmas","aistra","related","word","word",0.29137778007639
"balsas","akcentas","related","word","word",0.347103211457326
"aišku","akivaizdu","related","word","word",0.145700567265433
"rokas","akmuo","related","word","word",0.249639900419465
"gestas","aktas","related","word","word",0.470380174428622
"autorius","aktorius","related","word","word",0.808251324628252
"trigeris","aktyvuokite","related","word","word",0.227020944350367
"kampas","alėja","related","word","word",0.191709903806414
"bravo","alfa","related","word","word",0.454822902944868
"motyvas","alibi","related","word","word",0.186626001919722
"ufo","alien","related","word","word",NA
"pavargęs","alkanas","related","word","word",0.465568171043947
"gerti","alus","related","word","word",0.164306740833226
"anglis","alyva","related","word","word",0.165532641511905
"afrika","amerika","related","word","word",0.59746894233004
"amžinas","amžinai","related","word","word",0.768802741640232
"autopsija","analizė","related","word","word",NA
"bičių","ant","related","word","word",0.0438504152445458
"žąsys","antis","related","word","word",0.142768935087989
"pirmadienis","antradienį","related","word","word",0.613639527710999
"į viršų","apačioje","related","word","word",NA
"namai","apartamentai","related","word","word",0.206365150559052
"nelaimingas","apgailėtina","related","word","word",0.271163358600292
"koncepcija","apibrėžimas","related","word","word",0.349433760649056
"profilis","apibūdinimas","related","word","word",0.307487265429483
"out","apie tai","related","word","word",NA
"vagystė","apiplėšimas","related","word","word",0.491201920691897
"bučinys","apkabinti","related","word","word",0.296870410210265
"išvykti","apleisti","related","word","word",0.290231503622295
"raundas","aplink","related","word","word",0.113139190484041
"skaičiuoti","apskaičiuoti","related","word","word",0.892165987918582
"inžinierius","architektas","related","word","word",0.391014241000878
"nubausti","areštas","related","word","word",0.282731778826147
"asilas","arklys","related","word","word",0.31648125473326
"legionas","armija","related","word","word",0.286498551462352
"nežinojimas","arogancija","related","word","word",NA
"ven","arterija","related","word","word",0.149589589930122
"kavalerija","artillery","related","word","word",NA
"sekretorius","asistentas","related","word","word",0.301816821594843
"charakteris","asmenybė","related","word","word",0.286974699444017
"samdiniai","assassin","related","word","word",NA
"sveiki","ate","related","word","word",0.266666976696703
"atvykti","ateiti","related","word","word",0.452377267265942
"ramiojo vandenyno","atlanto vandenynas","related","word","word",NA
"atsistatydinimas","atleidimas","related","word","word",0.502357584709056
"pensionas","atlyginimas","related","word","word",NA
"premija","atlygis","related","word","word",0.266477982602121
"aplinka","atmosfera","related","word","word",0.288140398641482
"šviežias","atnaujinkite","related","word","word",NA
"atsakymas","atsakymas","related","word","word",1
"atsparumas","atsispirti","related","word","word",NA
"atsiranda","atsitikti","related","word","word",0.362788265222134
"oda","audinys","related","word","word",0.169597986556601
"minios","auditorija","related","word","word",0.134105114862009
"vėjas","audra","related","word","word",0.276187758756263
"žemas","aukštas","related","word","word",0.395851682181375
"svoris","aukštis","related","word","word",0.313043705834827
"down","aukštyn","related","word","word",0.268228984875183
"traukinys","autobusas","related","word","word",0.422757038514413
"transporto priemonė","automobilis","related","word","word",NA
"skrudinta duona","bacon","related","word","word",NA
"ass","baigtas","related","word","word",0.141977784988716
"galas","baigti","related","word","word",0.179615451433017
"siaubas","baimė","related","word","word",0.332428734575704
"baisi","baisus","related","word","word",0.575896894949978
"spąstai","bait","related","word","word",NA
"dauguma","balsas","related","word","word",0.129653711553446
"orkestras","band","related","word","word",0.168897604709423
"bandyti","bandymas","related","word","word",0.532446639878543
"klausymas","bandymas","related","word","word",0.493984384562371
"klubas","bar","related","word","word",0.00983367825351176
"plaukų","barzda","related","word","word",0.253766453672319
"pulkas","batalionas","related","word","word",0.414972903904634
"supermenas","batman","related","word","word",NA
"arena","battlefield","related","word","word",NA
"įkrovos metu","batų","related","word","word",NA
"vagis","baudžiamajame nare","related","word","word",NA
"panika","baugina","related","word","word",0.19768950704247
"sofa","bed","related","word","word",0.267823691233068
"stadionas","beisbolas","related","word","word",0.375297846269597
