es_cue,es_target,type,cue_type,target_type,es_cosine
lenguado,abadejo,related,word,word,0.571221047475255
dejar,abandonar,related,word,word,0.541813387890484
espalda,abdomen,related,word,word,0.425147217784776
beso,abrazo,related,word,word,0.753043969772915
ridículo,absurdo,related,word,word,0.70364100441895
abuelo,abuela,related,word,word,0.745065084356621
incidente,accidente,related,word,word,0.597080919686046
voz,acento,related,word,word,0.458633040885444
rechazar,aceptar,related,word,word,0.70139065601756
cemento,acero,related,word,word,0.529773031344244
escoltar,acompañar,related,word,word,0.622841253140005
consejo,aconsejar,related,word,word,0.43977395616434
opinión,actitud,related,word,word,0.449027035266227
detonar,activar,related,word,word,0.491199055567771
activo,actividad,related,word,word,0.441750151807585
autor,actor,related,word,word,0.419040076793978
actual,actualizar,related,word,word,0.406994637884567
gesto,acción,related,word,word,0.225189743844396
queja,acusación,related,word,word,0.400701563360057
extra,adicional,related,word,word,0.673172032565411
hola,adiós,related,word,word,0.51856744119469
dios,divino,related,word,word,0.504826337474225
administración,gerencia,related,word,word,0.552113728118123
adolescencia,adolescente,related,word,word,0.669334466305984
hormona,adrenalina,related,word,word,0.578199336173516
oponente,adversario,related,word,word,0.751606516273033
terminal,aeropuerto,related,word,word,0.491826275453774
compañía,agencia,related,word,word,0.431989606879784
cómodo,agradable,related,word,word,0.454832751842429
admirar,apreciar,related,word,word,0.603337154671395
víctima,agresor,related,word,word,0.586907437337213
grieta,agujero,related,word,word,0.572946079419419
alerta,alarma,related,word,word,0.519231533190145
alguacil,alcalde,related,word,word,0.579361605871738
placer,alegría,related,word,word,0.457669541591437
bravo,alfa,related,word,word,0.537637079847038
suelo,alfombra,related,word,word,0.441396249268272
nada,algo,related,word,word,0.598620856522358
seda,algodón,related,word,word,0.558704055865493
otro,algún,related,word,word,0.473474985207642
aquí,allí,related,word,word,0.700283331383079
rodear,alrededor,related,word,word,0.420009545191125
majestad,alteza,related,word,word,0.821828459680753
peso,altura,related,word,word,0.462159779299109
espejismo,alucinación,related,word,word,0.390171654983634
dócil,dulce,related,word,word,0.400365902158463
atardecer,amanecer,related,word,word,0.762589640657012
amante,enamorado,related,word,word,0.399443624000999
rojo,amarillo,related,word,word,0.790445010328218
África,América,related,word,word,
colega,amigo,related,word,word,0.722339101421907
relación,amistad,related,word,word,0.580304386307248
amable,amistoso,related,word,word,0.553636596498474
odio,amor,related,word,word,0.392546489601178
estrecho,amplio,related,word,word,0.459217866912083
autopsia,análisis,related,word,word,0.565208688434991
correr,caminar,related,word,word,0.596086770182247
bestia,animal,related,word,word,0.565875034888182
apodo,apellido,related,word,word,0.484796006354918
permiso,aprobación,related,word,word,0.507718105182258
arbusto,árbol,related,word,word,0.657520739063351
barro,arena,related,word,word,0.586285643047906
pistola,arma,related,word,word,0.815342701106716
marina,naval,related,word,word,0.557189696151454
escudo,armadura,related,word,word,0.568204765643486
estantería,armario,related,word,word,0.562311376145133
equilibrio,armonía,related,word,word,0.514343608465967
ingeniero,arquitecto,related,word,word,0.582977563527654
castigar,arrestar,related,word,word,0.501471566998962
abajo,arriba,related,word,word,0.855572093602845
