"cs_target","cs_cue","type","target_type","cue_type","cs_cosine"
"zcela","absolutně","related","word","word",0.593528008634947
"amerika","afrika","related","word","word",0.623935567058892
"sbohem","ahoj","related","word","word",0.476781565720175
"hiv","aids","related","word","word",0.686343399288292
"nahý","akt","related","word","word",0.218021688211142
"aktivita","aktivní","related","word","word",0.428449205333353
"kufr","aktovka","related","word","word",0.43049205925736
"píseň","album","related","word","word",0.431163055513206
"lék","alkohol","related","word","word",0.376765957962417
"profesionální","amatér","related","word","word",0.399244790213959
"ministerstvo","ambasáda","related","word","word",0.409834711191103
"vyšetřovatel","analytik","related","word","word",0.553925924551864
"kapitalismus","anarchie","related","word","word",0.424172407868477
"psychologie","anatomie","related","word","word",0.593646479304363
"ďábel","anděl","related","word","word",0.606649921770674
"francouzština","angličtina","related","word","word",0.777796821678491
"neznámý","anonymní","related","word","word",0.288934971794715
"použití","aplikovat","related","word","word",0.327411796566847
"bojiště","aréna","related","word","word",0.299765268606892
"medailon","artefakt","related","word","word",0.465454716356939
"zbrojnice","arzenál","related","word","word",0.348907569273504
"morfium","aspirin","related","word","word",0.559791472988203
"pilot","astronaut","related","word","word",0.54724769168522
"jaderný","atomový","related","word","word",0.675496948517238
"prodej","aukce","related","word","word",0.401625954462217
"fotograf","autogram","related","word","word",0.362214903377987
"herec","autor","related","word","word",0.475744873633679
"ulice","avenue","related","word","word",0.481860035970652
"fantastický","báječné","related","word","word",0.503597021449076
"jahoda","banán","related","word","word",0.459301376917433
"investor","bankéř","related","word","word",0.556900735170336
"finanční","bankovní","related","word","word",0.614706317355656
"hraběnka","baron","related","word","word",0.329922364974642
"fotbal","basketball","related","word","word",0.741408881904117
"spisovatel","básník","related","word","word",0.670443607508098
"procházka","běh","related","word","word",0.362731546825616
"zvíře","bestie","related","word","word",0.471666350108446
"ocel","beton","related","word","word",0.499795201202668
"bezmocný","bezmocný","related","word","word",1
"bezpečnost","bezpečnostní","related","word","word",0.600545061439051
"zajistit","bezpečný","related","word","word",0.328050239900926
"nespravedlivý","bezpráví","related","word","word",0.468779181959147
"rezervovat","bible","related","word","word",0.136365668111552
"černá","bílý","related","word","word",0.511394128766219
"kardinál","biskup","related","word","word",0.657871984984259
"pozdravit","blahopřání","related","word","word",0.322630224227744
"písek","bláto","related","word","word",0.566514434031803
"idiot","blázen","related","word","word",0.644521544062878
"hrom","blesk","related","word","word",0.504281068369477
"prát se","boj","related","word","word",NA
"explozivní","bombardovat","related","word","word",0.240225620231124
"roztomilý","bonbón","related","word","word",0.227370434504381
"odměna","bonus","related","word","word",0.432272762249387
"boty","boot","related","word","word",0.249887889635395
"taška","box","related","word","word",0.209045616971415
"rajče","brambor","related","word","word",0.460795120021691
"alfa","bravo","related","word","word",0.488972505599539
"krutý","brutální","related","word","word",0.582836719645222
"víčko","brýle","related","word","word",0.357014609852601
"minulý","budoucnost","related","word","word",0.130588094059441
"božský","bůh","related","word","word",0.354647962780343
"vězení","buňka","related","word","word",0.116608612873257
"řím","caesar","related","word","word",0.547042065179242
"kompletní","celkový","related","word","word",0.410951117956122
"plastický","cement","related","word","word",0.271414678227741
"důležité","cenný","related","word","word",0.418146466541841
"hadice","čerpadlo","related","word","word",0.478960005919439
"obnovit","čerstvý","related","word","word",0.133361853211609
"had","červ","related","word","word",0.473948288897919
"červenec","červen","related","word","word",0.831492955733476
"žlutá","červené","related","word","word",0.475826139549142
"cibule","česnek","related","word","word",0.525674669468906
"řidič","cestující","related","word","word",0.380572704441725
"zmatek","chaos","related","word","word",0.731899745518215
"osobnost","charakter","related","word","word",0.5444327424667
"dar","charitativní","related","word","word",0.252578664910966
"paluba","chata","related","word","word",0.287402929487497
"biologie","chemie","related","word","word",0.660758289859647
"biologický","chemikálie","related","word","word",0.330758632690863
"doktor","chirurg","related","word","word",0.670955958223372
"dívky","chlapci","related","word","word",0.444928962340776
"sýr","chléb","related","word","word",0.566053952673659
"klášter","chrám","related","word","word",0.606510487285947
"hájit","chránit","related","word","word",0.550183989171631
"choroba","chřipka","related","word","word",0.603114302717188
"bída","chudoba","related","word","word",0.547590340496397
"bohatý","chudý","related","word","word",0.614645656333001
"čich","chuť","related","word","word",0.42053651868915
"lahodné","chutný","related","word","word",0.555573092601917
"služka","chůva","related","word","word",0.566515440193996
"chyba","chyba","related","word","word",1
"inteligentní","chytrý","related","word","word",0.591347244220371
"detektivní","činidlo","related","word","word",0.180547376289568
"přístroj","čip","related","word","word",0.506815114487611
"císař","císařský","related","word","word",0.533137887877245
"adresa","číslo","related","word","word",0.450381796071139
"servírka","číšník","related","word","word",0.592683747693571
"napsat","číst","related","word","word",0.506654588631233
"umýt","čistý","related","word","word",0.275683523699213
"válečný","civilní","related","word","word",0.369686904395021
"noviny","článek","related","word","word",0.405110242768856
"vůdce","člen","related","word","word",0.478306839789499
"že","co","related","word","word",0.39004173723513
"otvor","crack","related","word","word",0.0993058629877906
"psaní","čtení","related","word","word",0.614732623152492
"čokoláda","cukr","related","word","word",0.434207125810082
"mikroskop","dalekohled","related","word","word",0.536826246665541
"další","další","related","word","word",1
"informace","data","related","word","word",0.581358290804226
"publikum","dav","related","word","word",0.437959401177406
"injekce","dávka","related","word","word",0.492151964134671
"syn","dcera","related","word","word",0.656145660248561
"babička","dědeček","related","word","word",0.583553216025011
"zdědit","dědictví","related","word","word",0.509133231289234
"ručník","deka","related","word","word",0.371406529655473
"profesor","děkan","related","word","word",0.535103862316291
"citlivý","delikátní","related","word","word",0.411464735831387
"týdně","denně","related","word","word",0.711363701297187
"strašidelný","děsivý","related","word","word",0.773070590842356
"sníh","déšť","related","word","word",0.597718263658147
"dort","dezert","related","word","word",0.639949475458841
"klenot","diamant","related","word","word",0.599562339657365
"škaredý","digulování","related","word","word",NA
"garáž","dílna","related","word","word",0.441337202708875
"absolvovat","diplom","related","word","word",0.33707479748429
"dítě","dítě","related","word","word",1
"hodinky","dívej se","related","word","word",NA
"chlapec","dívka","related","word","word",0.525143084527085
"otisk prstu","dna","related","word","word",NA
"včera","dnes","related","word","word",0.613869865263403
"to jo","dobře","related","word","word",NA
"dobrovolně","dobrovolník","related","word","word",0.611870011522862
"špatný","dobrý","related","word","word",0.694482444696745
"pocit","dojem","related","word","word",0.527706156949734
"horní","dolní","related","word","word",0.728332500570989
"nahoru","dolů","related","word","word",0.804776678284207
"doprovázet","doprovod","related","word","word",0.60148200240832
"prakticky","doslova","related","word","word",0.53955698490447
"rodič","dospělý","related","word","word",0.450640805389828
"teenager","dospívající","related","word","word",0.467470076681682
"dostatečný","dost","related","word","word",0.440363930924276
"krásná","dosti","related","word","word",0.202153695163063
"nechat","dovolit","related","word","word",0.477620752509523
"levný","drahý","related","word","word",0.477643760264223
"lev","drak","related","word","word",0.474715973919018
"komedie","drama","related","word","word",0.449823422399842
"romantický","dramatický","related","word","word",0.574021382345758
"skandál","drby","related","word","word",0.357206599255658
"minuta","druhý","related","word","word",0.124406343956868
"držet","držet","related","word","word",1
"plat","důchod","related","word","word",0.506338272365078
"důkaz","důkaz","related","word","word",1
"byt","dům","related","word","word",0.680970953664166
"duch","duše","related","word","word",0.434180106908992
"emocionální","duševní","related","word","word",0.629153059614295
"věřit","důvěra","related","word","word",0.341435060241904
"způsobit","důvod","related","word","word",0.203907952554378
"čtyři","dva","related","word","word",0.682449496996077
"video","dvd","related","word","word",0.572341531630611
"trojnásobný","dvojnásobek","related","word","word",0.547355698790194
"říše","dynastie","related","word","word",0.499374950625506
"truck","džíp","related","word","word",0.386709176884233
"les","džungle","related","word","word",0.31950831143717
"test","experiment","related","word","word",0.556831600592227
"specialista","expert","related","word","word",0.687395857267322
"živel","faktor","related","word","word",0.307298978198284
"nepravdivé","falešný","related","word","word",0.291486713273229
"doba","fáze","related","word","word",0.396593770348819
"stát","federální","related","word","word",0.141964278066011
"náboženství","filozofie","related","word","word",0.48796159957196
"ultimátni","finále","related","word","word",NA
"investovat","finance","related","word","word",0.342358746442193
"financování","finančně","related","word","word",0.465779240182833
"agentura","firma","related","word","word",0.609675583406214
"podepsat","formulář","related","word","word",0.592059617529153
"mikrofon","fotoaparát","related","word","word",0.502403866008136
"kus","fragment","related","word","word",0.386117101846978
"signál","frekvence","related","word","word",0.453282603035554
"chirurgická operace","fungovat","related","word","word",NA
"matematika","fyzika","related","word","word",0.674721440730835
"výstava","galerie","related","word","word",0.499885893038328
"skupina","gang","related","word","word",0.36789665551577
"postel","gauč","related","word","word",0.654924981504796
"reaktor","generátor","related","word","word",0.653195040893955
"vědec","génius","related","word","word",0.461199069459078
"akt","gesto","related","word","word",0.392177824035625
"tenis","golf","related","word","word",0.667918886701144
"senátor","guvernér","related","word","word",0.637241111051646
"poker","hazardní hry","related","word","word",NA
"bavlna","hedvábí","related","word","word",0.490910342154148
"čepice","helma","related","word","word",0.467649457220498
"žízeň","hlad","related","word","word",0.672232514647867
"přízvuk","hlas","related","word","word",0.481313686548836
"město","hlavní město","related","word","word",NA
"želva","hlemýžď","related","word","word",0.336818933517427
"hlídka","hlídat","related","word","word",0.330338599045553
"zvuk","hluk","related","word","word",0.683547552831418
"částice","hmota","related","word","word",0.613475281493802
"výška","hmotnost","related","word","word",0.486437255152237
"modrý","hnědý","related","word","word",0.650398386683948
"vztek","hněv","related","word","word",0.727245731661678
"vejce","hnízdo","related","word","word",0.414398522087311
"sport","hobby","related","word","word",0.43379261107422
"cena","hodnota","related","word","word",0.629600477956382
"studený","horký","related","word","word",0.680459527842154
"adrenalin","hormon","related","word","word",0.539678561727302
"dno","horní","related","word","word",0.218927137387384
"restaurace","hospoda","related","word","word",0.474702624283803
"motel","hotel","related","word","word",0.709224526385309
"peníze","hotovost","related","word","word",0.578762707250539
"hra","hrát si","related","word","word",NA
"zachránce","hrdina","related","word","word",0.553588926317842
"krk","hrdlo","related","word","word",0.594592429471767
"důstojnost","hrdost","related","word","word",0.654597822109089
"vzrušený","hrdý","related","word","word",0.348925062539251
"zločin","hřích","related","word","word",0.617252055017782
"hřbitov","hrob","related","word","word",0.584596534870309
"hrozný","hrozný","related","word","word",1
"strach","hrůza","related","word","word",0.397914315757263
"tornádo","hurikán","related","word","word",0.591871695869896
"kachna","husa","related","word","word",0.554037115124322
"převod","hýbat se","related","word","word",NA
"teorie","idea","related","word","word",0.392617208179262
"perfektní","ideál","related","word","word",0.355592693621645
"právní","ilegální","related","word","word",0.275499466022127
"halucinace","iluze","related","word","word",0.445740234156625
"úžasný","impozantní","related","word","word",0.448744708656787
"nehoda","incident","related","word","word",0.35326918110557
"komisař","inspektor","related","word","word",0.624582514756116
"inspirace","inspirovat","related","word","word",0.531034063515616
"intuice","instinkt","related","word","word",0.534538293308971
"web","internet","related","word","word",0.657374169646199
"záchvat","invaze","related","word","word",0.150228921506496
"architekt","inženýr","related","word","word",0.597706038110826
"ironický","ironie","related","word","word",0.530431468330278
"ovoce","jablko","related","word","word",0.546601167202833
"podzim","jaro","related","word","word",0.624184826079755
"očividně","jasně","related","word","word",0.277474044750827
"hudba","jazz","related","word","word",0.492920781271838
"zabít","jed","related","word","word",0.214172206977626
"tři","jeden","related","word","word",0.239119468180178
"jednoduchý","jednoduše","related","word","word",0.41125874244543
"divize","jednotka","related","word","word",0.490802187862846
"stříkačka","jehla","related","word","word",0.531917089836814
"událost","jev","related","word","word",0.38572349789421
"jídlo","jídlo","related","word","word",1
"ještě pořád","již","related","word","word",NA
"západní","jižní","related","word","word",0.714555148628944
"severní","jižní","related","word","word",0.800740450503434
"masáž","jóga","related","word","word",0.431776685699879
"autorita","jurisdikce","related","word","word",0.359516042987742
"drát","kabel","related","word","word",0.668636769904348
"plán","kalendář","related","word","word",0.213091724303818
"volby","kampaň","related","word","word",0.415355427216785
"zprávy","kanál","related","word","word",0.250159182792379
"prezident","kancléř","related","word","word",0.501726012008463
"volič","kandidát","related","word","word",0.524147798198829
"schopnost","kapacita","related","word","word",0.3082184415493
"peněženka","kapsa","related","word","word",0.525936159097609
"sonda","kapsle","related","word","word",0.375653759054688
"pověst","kariéra","related","word","word",0.495056051577471
"festival","karneval","related","word","word",0.614359615430286
"horečka","kašel","related","word","word",0.484713201908088
"křesťan","katolík","related","word","word",0.63106237362457
"dělostřelectvo","kavalerie","related","word","word",0.51229499554798
"majonéza","kečup","related","word","word",0.554499318141581
"strom","keř","related","word","word",0.605098558071705
"gram","kilo","related","word","word",0.533604585507656
"metr","kilometr","related","word","word",0.632546868037037
"divadlo","kino","related","word","word",0.609560853867364
"rodina","klan","related","word","word",0.351930031945539
"kytara","klavír","related","word","word",0.55451040251011
"čarodějnice","kletba","related","word","word",0.497356655959895
"zámek","klíč","related","word","word",0.486858225817253
"uklidnit","klid","related","word","word",0.360718444250313
"bar","klub","related","word","word",0.614254494752072
"muzeum","knihovna","related","word","word",0.38320938813028
"lis","knoflík","related","word","word",0.206384603469606
"heslo","kód","related","word","word",0.546774344774057
"heroin","kokain","related","word","word",0.807423374472623
"přítel","kolega","related","word","word",0.58128459351183
"kolem","kolo","related","word","word",0.226882819318302
"federace","kolonie","related","word","word",0.51166641859177
"směs","kombinace","related","word","word",0.481413175830924
"prohlášení","komentář","related","word","word",0.475925609732764
"obchodník","komerční","related","word","word",0.315179208240436
"příjemný","komfortní","related","word","word",0.407897988188585
"výbor","komise","related","word","word",0.622636650781788
"mapa","kompas","related","word","word",0.409567298840025
"dárek","kompliment","related","word","word",0.457944766629934
"dokončit","konec","related","word","word",0.197207333688154
"nakonec","konečně","related","word","word",0.46977235796655
"setkání","konference","related","word","word",0.400184156847029
"spor","konflikt","related","word","word",0.623070359183415
"stavět","konstrukce","related","word","word",0.407617349086381
"spojení","kontakt","related","word","word",0.5231623732128
"záření","kontaminace","related","word","word",0.417942011148054
"diskuse","konverzace","related","word","word",0.594946809188785
"liberální","konzervativní","related","word","word",0.691327847137156
"pohřbít","kopat","related","word","word",0.397422998610505
"hora","kopec","related","word","word",0.44123293103038
"dravec","kořist","related","word","word",0.439595686097724
"trůn","koruna","related","word","word",0.426484197888457
"bunda","košile","related","word","word",0.595748448173499
"lebka","kost","related","word","word",0.481034269276776
"kaple","kostel","related","word","word",0.476155819498541
"plachta","kotva","related","word","word",0.557669331733347
"prodat","koupit","related","word","word",0.634122382830842
"doutník","kouř","related","word","word",0.320764940965364
"kouzelník","kouzlo","related","word","word",0.433351994486499
"krása","kouzlo","related","word","word",0.244503618328774
"loupež","krádež","related","word","word",0.718793608242915
"král","královna","related","word","word",0.693554306806578
"království","královský","related","word","word",0.421561615292948
"dlouho","krátký","related","word","word",0.232513320201959
"prase","kráva","related","word","word",0.507715715674148
"půjčka","kredit","related","word","word",0.358225033631747
"omáčka","krém","related","word","word",0.327640591218834
"moč","krev","related","word","word",0.60660398198894
"politický","kritický","related","word","word",0.57069263377837
"jíst","krmit","related","word","word",0.455721794399894
"trojúhelník","kruh","related","word","word",0.463493201242389
"šéfkuchař","kuchařka","related","word","word",0.583874331596922
"civilizace","kultura","related","word","word",0.535796858897412
"krocan","kuře","related","word","word",0.502995881091177
"tkáň","kůže","related","word","word",0.411063455372054
"špagety","lasagna","related","word","word",0.529528117576719
"kancelář","lavice","related","word","word",0.229494875579319
"játra","ledvina","related","word","word",0.652843314680136
"armáda","legie","related","word","word",0.465455609889245
"psychologický","lékařský","related","word","word",0.612519329950041
"kladivo","lepit","related","word","word",0.147365472370802
"gay","lesbička","related","word","word",0.518892297203841
"jasný","lesk","related","word","word",0.147278793884142
"zima","léto","related","word","word",0.445375712227717
"lhář","lhát","related","word","word",0.422881945659378
"dolar","libra","related","word","word",0.414282080240207
"zapůsobit","lichotit","related","word","word",0.430966174929698
"tým","liga","related","word","word",0.324266355999394
"soda","limonáda","related","word","word",0.603453078305554
"králičí","liška","related","word","word",0.361263313170665
"cestovní pas","lístek","related","word","word",NA
"prosinec","listopad","related","word","word",0.673011017312443
"věřící","loajální","related","word","word",0.280242587675004
"rybolov","lov","related","word","word",0.516503149196723
"vidlička","lžíce","related","word","word",0.55820650288609
"kartel","mafie","related","word","word",0.460951590718556
"elektrický","magnetický","related","word","word",0.591446677154219
"výsost","majestát","related","word","word",0.313449131409913
"malý","málo","related","word","word",0.245081746414644
"kreslit","malovat","related","word","word",0.756488182468865
"šéf","manažer","related","word","word",0.597899186545268
"manželka","manžel","related","word","word",0.578742468182536
"závod","maratón","related","word","word",0.534120720158761
"venuše","mars","related","word","word",0.459737447557531
"otec","matka","related","word","word",0.666073277159155
"nůž","meč","related","word","word",0.656517533254562
"vlk","medvěd","related","word","word",0.618339087609306
"jemný","měkký","related","word","word",0.551258762685839
"slunce","měsíc","related","word","word",0.436244581446916
"týden","měsíc","related","word","word",0.762671529102918
"sluneční","měsíční","related","word","word",0.358415752434685
"technika","metoda","related","word","word",0.594689243229978
