cs_cue,cs_target,type,cue_type,target_type,cs_cosine
absolutně,zcela,related,word,word,0.593528008634948
afrika,amerika,related,word,word,0.623935567058892
ahoj,na shledanou,related,word,word,
aids,hiv,related,word,word,0.686343399288292
akt,nahý,related,word,word,0.218021688211142
aktivní,aktivita,related,word,word,0.428449205333352
aktovka,kufr,related,word,word,0.43049205925736
album,píseň,related,word,word,0.431163055513206
alkohol,lék,related,word,word,0.376765957962417
amatér,profesionální,related,word,word,0.399244790213959
ambasáda,ministerstvo,related,word,word,0.409834711191103
analytik,vyšetřovatel,related,word,word,0.553925924551864
anarchie,kapitalismus,related,word,word,0.424172407868477
anatomie,psychologie,related,word,word,0.593646479304363
anděl,ďábel,related,word,word,0.606649921770674
angličtina,francouzština,related,word,word,0.777796821678491
anonymní,neznámý,related,word,word,0.288934971794715
aplikovat,použití,related,word,word,0.327411796566847
aréna,bojiště,related,word,word,0.299765268606892
artefakt,medailon,related,word,word,0.465454716356939
arzenál,zbrojnice,related,word,word,0.348907569273504
aspirin,morfium,related,word,word,0.559791472988203
astronaut,pilot,related,word,word,0.54724769168522
atomový,jaderný,related,word,word,0.675496948517238
aukce,prodej,related,word,word,0.401625954462217
autogram,fotograf,related,word,word,0.362214903377987
autor,herec,related,word,word,0.475744873633679
třída,ulice,related,word,word,0.270876093858109
báječné,fantastický,related,word,word,0.503597021449076
banán,jahoda,related,word,word,0.459301376917433
bankéř,investor,related,word,word,0.556900735170336
bankovní,finanční,related,word,word,0.614706317355656
baron,hraběnka,related,word,word,0.329922364974642
basketbal,fotbal,related,word,word,0.787487752873423
básník,spisovatel,related,word,word,0.670443607508098
běh,procházka,related,word,word,0.362731546825616
bestie,zvíře,related,word,word,0.471666350108446
beton,ocel,related,word,word,0.499795201202668
bezradný,bezmocný,related,word,word,0.536434481037578
zabezpečení,bezpečnost,related,word,word,0.552079682244466
bezpečný,zajistit,related,word,word,0.328050239900926
bezpráví,nespravedlivý,related,word,word,0.468779181959148
bible,kniha,related,word,word,0.479530425781602
bílý,černá,related,word,word,0.511394128766219
biskup,kardinál,related,word,word,0.657871984984259
blahopřát,pozdravit,related,word,word,0.390899341400268
bláto,písek,related,word,word,0.566514434031803
blázen,idiot,related,word,word,0.644521544062878
blesk,hrom,related,word,word,0.504281068369477
boj,prát se,related,word,word,
bombardovat,explozivní,related,word,word,0.240225620231124
sladký,roztomilý,related,word,word,0.621016103938133
bonus,odměna,related,word,word,0.432272762249387
holínka,bota,related,word,word,0.470168132123114
krabice,taška,related,word,word,0.459432768914182
brambor,rajče,related,word,word,0.460795120021691
bravo,alfa,related,word,word,0.488972505599539
brutální,krutý,related,word,word,0.582836719645222
brýle,víčko,related,word,word,0.357014609852601
budoucnost,minulost,related,word,word,0.606336729537248
bůh,božský,related,word,word,0.354647962780343
buňka,vězení,related,word,word,0.116608612873257
César,řím,related,word,word,
celkový,úplný,related,word,word,0.416497119105418
cement,plast,related,word,word,0.462005459561411
cenný,důležité,related,word,word,0.418146466541841
čerpadlo,hadice,related,word,word,0.478960005919439
čerstvý,obnovit,related,word,word,0.133361853211609
červ,had,related,word,word,0.473948288897919
červen,červenec,related,word,word,0.831492955733476
červené,žlutá,related,word,word,0.475826139549142
česnek,cibule,related,word,word,0.525674669468906
cestující,řidič,related,word,word,0.380572704441725
chaos,zmatek,related,word,word,0.731899745518215
charakter,osobnost,related,word,word,0.544432742466701
charita,dar,related,word,word,0.282112992502148
chata,paluba,related,word,word,0.287402929487497
chemie,biologie,related,word,word,0.660758289859647
chemický,biologický,related,word,word,0.652283962997795
chirurg,doktor,related,word,word,0.670955958223372
chlapci,dívky,related,word,word,0.444928962340775
chléb,sýr,related,word,word,0.566053952673659
chrám,klášter,related,word,word,0.606510487285948
chránit,bránit,related,word,word,0.661719305153263
chřipka,choroba,related,word,word,0.603114302717188
chudoba,bída,related,word,word,0.547590340496397
chudý,bohatý,related,word,word,0.614645656333001
chuť,čich,related,word,word,0.42053651868915
chutný,lahodné,related,word,word,0.555573092601917
chůva,služka,related,word,word,0.566515440193996
omyl,chyba,related,word,word,0.522282714333123
chytrý,inteligentní,related,word,word,0.591347244220371
agent,detektiv,related,word,word,0.52313960273812
čip,přístroj,related,word,word,0.506815114487611
říšský,císař,related,word,word,0.359437536095808
číslo,adresa,related,word,word,0.450381796071139
číšník,servírka,related,word,word,0.592683747693571
číst,psát,related,word,word,0.724766262230957
čistý,umýt,related,word,word,0.275683523699213
civilní,válečný,related,word,word,0.369686904395021
článek,noviny,related,word,word,0.405110242768856
člen,vůdce,related,word,word,0.478306839789499
co,to,related,word,word,0.47051056212406
prasklina,díra,related,word,word,0.567324495901996
čtení,psaní,related,word,word,0.614732623152492
cukr,čokoláda,related,word,word,0.434207125810082
dalekohled,mikroskop,related,word,word,0.536826246665541
doplňkový,dodatečný,related,word,word,0.495195844504665
data,informace,related,word,word,0.581358290804226
dav,publikum,related,word,word,0.437959401177406
dávka,injekce,related,word,word,0.492151964134672
dcera,syn,related,word,word,0.656145660248561
dědeček,babička,related,word,word,0.583553216025011
dědictví,zdědit,related,word,word,0.509133231289234
deka,ručník,related,word,word,0.371406529655473
děkan,profesor,related,word,word,0.535103862316291
ožehavý,citlivý,related,word,word,0.428537891201342
denně,týdně,related,word,word,0.711363701297187
děsivý,strašidelný,related,word,word,0.773070590842356
déšť,sníh,related,word,word,0.597718263658146
dezert,dort,related,word,word,0.639949475458841
diamant,šperk,related,word,word,0.567463553906676
nechutný,škaredý,related,word,word,0.494656287728082
dílna,garáž,related,word,word,0.441337202708875
diplom,absolvovat,related,word,word,0.33707479748429
mimino,dítě,related,word,word,0.669154955109797
podívat se,sledovat,related,word,word,
dívka,chlapec,related,word,word,0.525143084527085
dna,otisk prstu,related,word,word,
dnes,včera,related,word,word,0.613869865263403
dobře,jo,related,word,word,0.330005047736535
dobrovolník,dobrovolně,related,word,word,0.611870011522862
dobrý,špatný,related,word,word,0.694482444696745
dojem,pocit,related,word,word,0.527706156949734
dolní,horní,related,word,word,0.728332500570989
dolů,nahoru,related,word,word,0.804776678284207
eskortovat,doprovázet,related,word,word,0.459967786479268
doslova,prakticky,related,word,word,0.53955698490447
dospělý,rodič,related,word,word,0.450640805389828
náctiletý,dospívající,related,word,word,0.438166186184963
dost,dostatečný,related,word,word,0.440363930924276
krásná,nádherná,related,word,word,0.84586435973143
dovolit,nechat,related,word,word,0.477620752509523
drahý,levný,related,word,word,0.477643760264223
drak,lev,related,word,word,0.474715973919018
drama,komedie,related,word,word,0.449823422399842
dramatický,romantický,related,word,word,0.574021382345758
drby,skandál,related,word,word,0.357206599255658
sekunda,minuta,related,word,word,0.688795650754747
držet,zachovat,related,word,word,0.425630468283837
důchod,plat,related,word,word,0.506338272365078
svědectví,důkaz,related,word,word,0.392144685274775
dům,byt,related,word,word,0.680970953664166
duše,duch,related,word,word,0.434180106908991
duševní,emoční,related,word,word,0.646464090072057
důvěřovat,věřit,related,word,word,0.779060307589103
důvod,příčina,related,word,word,0.394914240859361
dva,čtyři,related,word,word,0.682449496996077
dvd,video,related,word,word,0.572341531630611
dvojnásobek,trojnásobný,related,word,word,0.547355698790194
dynastie,říše,related,word,word,0.499374950625507
džíp,náklaďák,related,word,word,0.661428514882946
prales,les,related,word,word,0.514700929742189
experiment,test,related,word,word,0.556831600592227
expert,specialista,related,word,word,0.687395857267322
faktor,prvek,related,word,word,0.503440307410524
falešný,nepravdivé,related,word,word,0.291486713273229
fáze,doba,related,word,word,0.396593770348819
federální,stát,related,word,word,0.14196427806601
filozofie,náboženství,related,word,word,0.48796159957196
konečný,ultimátní,related,word,word,0.334976733852586
finance,investovat,related,word,word,0.342358746442193
finančně,financování,related,word,word,0.465779240182833
firma,agentura,related,word,word,0.609675583406214
