"el_cue","el_target","el_fake_target","el_fake_cue","en_cue","en_target"
"dvd","βίντεο","βίντόκ","nέd","dvd","video"
"ninja","σαμουράι","σαμοεμάι","smija","ninja","samurai"
"ufo","εξωγήινο","εξωγκόνο","nοo","ufo","alien"
"άβολος","δυσάρεστος","δυσάτέστος","keολος","uncomfortable","unpleasant"
"άγγελος","διάβολος","διάβολαμ","άγουλος","angel","devil"
"αγγλικά","γαλλική γλώσσα","γαλλικακγλώσσα","αγγλυτά","english","french"
"αγελάδα","χοίρος","χοφλος","αγελήςα","cow","pig"
"αγια γραφη","βιβλίο","βιυρίο","τσια γραφη","bible","book"
"άγκυρα","πανι πλοιου","πανιχίλοιου","ξυκυρα","anchor","sail"
"άγνοια","αλαζονεία","ιραζονεία","ύπνοια","ignorance","arrogance"
"αγόγγια","κορίτσια","κορίτσαμ","αγχόγια","boys","girls"
"αγορά","πουλώ","πολιώ","αγαλά","buy","sell"
"αγρότης","εργάτης","ερλύτης","περότης","farmer","worker"
"άδεια","εγκαταλείπω","εγκαταφέίπω","οξεια","leave","abandon"
"άδεια","έγκριση","έγπειση","οξεια","permission","approval"
"αδειάζω","γεμάτος","γεμάνις","αδιράζω","empty","full"
"αδελφή","αδελφός","αδελασς","αδελαϊ","sister","brother"
"αδικία","άδικος","faικος","αδικερ","injustice","unfair"
"αδυναμία","ανίκανος","αντήανος","αδυνηρία","inability","unable"
"αδύνατο","ανετα","ανίλα","αδώτατο","impossible","easy"
"αέρας","οξυγόνο","οξανόνο","οθρας","air","oxygen"
"αέριο","καύσιμα","καύστία","erριο","gas","fuel"
"άθλιος","αξιολύπητο","αξιουλπητο","naλιος","miserable","pathetic"
"άθροισμα","ποσό","πομέ","άθροάτμα","sum","amount"
"αθώος","ένοχος","ένάνος","αθεις","innocent","guilty"
"αίμα","ούρο","όλρο","οφμα","blood","urine"
"αισθητήρας","πομπός","πομπάξ","κυσθητήρας","sensor","transmitter"
"αισιόδοξος","ρεαλιστικός","επαλιστικός","αισιόδωρος","optimistic","realistic"
"αιώνας","δεκαετία","δεέμετία","στώνας","century","decade"
"αιώνιος","για πάντα","γιωνπάντα","αιόμιος","eternal","forever"
"ακολουθηστε","κυνηγητό","κυνημπτό","ακολουοαστε","follow","chase"
"ακούω","ακούω","ακωνω","ακσχω","listen","hear"
"ακριβός","φτηνός","φτμπός","ακρισπς","expensive","cheap"
"ακρόαση","δοκιμή","δοκιτά","ακοήαση","hearing","trial"
"ακτίνα κύκλου","περίμετρος","περίνγτρος","ακτίναζέύκλου","radius","perimeter"
"αλεπού","κουνέλι","κουνάςι","αλλίού","fox","rabbit"
"αληθησ","πραγματικός","προχματικός","αληθhu","TRUE","real"
"αλκοόλ","φάρμακο","φάυλακο","αλκοβή","alcohol","drug"
"αλλαγή","βελτίωση","βεγείωση","αλλαπε","change","improvement"
"αλλού-κάπου αλλού","κάπου","τσπου","αλλούκάποίναλλού","elsewhere","somewhere"
"άλμπουμ","τραγούδι","τραγούσο","νόμπουμ","album","song"
"αλυσίδα","σκοινί","σκκανί","αλωτίδα","chain","rope"
"αμαρτία","έγκλημα","τίκλημα","αμαρκέα","sin","crime"
"αμφιβολία","ύποπτος","ύποπίας","αμφιζαλία","doubt","suspect"
"αναγνωρίζω","γνώριζα","γνάσιζα","αναγχαρίζω","recognize","knew"
"αναγνωση","γραφή","γρομή","αναγταση","reading","writing"
"ανάγνωση","γράφω","γρύγω","ανοηνωση","read","write"
"αναζήτηση","εύρημα","σόρημα","αναζέρηση","search","find"
"αναλυτής","ανακριτής","ανακρινές","αναλμαής","analyst","investigator"
"αναρρίχηση","άλμα","θήμα","αναρρίώτση","climb","jump"
