"he_cue","he_target","he_fake_target","he_fake_cue","en_cue","en_target"
"digusting","מְכוֹעָר","מְכוֹעםו","digusbook","digusting","ugly"
"dvd","וִידֵאוֹ","נגידֵאוֹ","ררd","dvd","video"
"sherlock","ווטסון","ווסרון","sherkoit","sherlock","watson"
"א ב  א","- אמא"," ודא","בfב  א","daddy","mum"
"א דו ם","צהוב","שלוב","כףדו ם","red","yellow"
"א דו ן","גברת","יירת","tcדו ן","lord","lady"
"א זה ר ה","הוֹדָעָה","הוֹדָעhq","עהזה ר ה","warning","message"
"א זו ר","אֵזוֹר","אֵזוףא","סוזו ר","area","zone"
"א זו ר י","מְקוֹמִי","מְקוֹמjr","סוזו ר י","regional","local"
"א זר ח י","צבאי","יטאי","א זר חjt","civil","military"
"א ח ר יו ת","חוֹבָה","חוֹבזמ","סףח ר יו ת","responsibility","duty"
"א חו ת","אָח","זןח","twחו ת","sister","brother"
"א טו מ י","גַרעִינִי","גַרעִיצקי","zsטו מ י","atomic","nuclear"
"א יד א ל י","מושלם","מוסום","א יד א לסז","ideal","perfect"
"א ירו נ י ה","אִירוֹנִי","oaירוֹנִי","lnירו נ י ה","irony","ironic"
"א כ ז ר י","אַכְזָרִי","פהכְזָרִי","כףכ ז ר י","brutal","cruel"
"א לב ו ם","שִׁיר","ucׁיר","צץלב ו ם","album","song"
"א לו ף","לוֹחֶם","לוֹחpj","א לוiq","champion","fighter"
"א למ נ ה","אִשָׁה","txשָׁה","נםלמ נ ה","widow","woman"
"א מ א","אַבָּא","אַבָuy","otמ א","mother","father"
"א מב ו ל נס","מַסוֹק","nzסוֹק","יםמב ו ל נס","ambulance","helicopter"
"א נ טו מ י ה","פְּסִיכוֹלוֹגִיָה","צםּסִיכוֹלוֹגִיָה","א נ טו מ יtr","anatomy","psychology"
"א נ רכ י ה","קָפִּיטָלִיזם","bsפִּיטָלִיזם","וםנ רכ י ה","anarchy","capitalism"
"א נד רט ה","פסל","נכל","cfנד רט ה","monument","statue"
"א סטרו נ או ט","טַיָס","ןקיָס","שךסטרו נ או ט","astronaut","pilot"
"א ספ  יר ין","מוֹרפִין","מוֹרנקין","שףספ  יר ין","aspirin","morphine"
"א פ ר","אָבָק","בםבָק","א חמר","ash","dust"
"א פ ר יק ה","אמריקה","עיריקה","רםפ ר יק ה","africa","america"
"א צ יל י","אַמִיץ","כףמִיץ","עףצ יל י","noble","brave"
"א צב  ע","אֲגוּדָל","אֲגוּדםד","א צבןיע","finger","thumb"
"א צט דיו ן","בייסבול","בירכבול","כץצט דיו ן","stadium","baseball"
"א ק ד ח","נֶשֶׁק","כךשֶׁק","fpק ד ח","pistol","weapon"
"א ר מו ן","טִירָה","djירָה","א ר מוgy","palace","castle"
"א רו ח ת ע ר ב","ארוחת בוקר","ארוחלבבוקר","צטרו ח ת ע ר ב","dinner","breakfast"
"א ש ","לֶהָבָה","פןהָבָה","א xo","fire","flame"
"א ש  ל י ה","הֲזָיָה","פהזָיָה","fmש  ל י ה","illusion","hallucination"
"א ש ו ר","לְאַשֵׁר","ןקאַשֵׁר","ףלש ו ר","confirmation","confirm"
"א ש פ  ה","אַשׁפָּה","wuשׁפָּה","א ש פ fr","trash","garbage"
"א ש ר אי","לְהַלווֹת","ףלהַלווֹת","rpש ר אי","credit","loan"
"אבולוציה","מוּטָצִיָה","מוושָצִיָה","אבולשחיה","evolution","mutation"
"אביב","סתָיו","סתההו","רטיב","spring","autumn"
"אבקת שריפה","דִינָמִיט","qsינָמִיט","אבקתקעריפה","gunpowder","dynamite"
"אדם","אִישִׁי","syישִׁי","דכם","person","individual"
"או י ב","יָרִיב","sbרִיב","או יqu","enemy","opponent"
"או כ לו ס י ה","אֲנָשִׁים","דםנָשִׁים","אוהר לו ס י ה","population","people"
"או מל ל","מעורר רחמים","מעורר ארמים","או ממסל","miserable","pathetic"
"או פ ט ימ י","מְצִיאוּתִי","jtצִיאוּתִי","או פ ט יעקי","optimistic","realistic"
"או צ ר","עוֹשֶׁר","עוגמֶׁר","או צac","treasure","wealth"
"או רג זמ ה","זִקפָּה","fdקפָּה","או רג זמoh","orgasm","erection"
"אוווז","ברווז","ברשפז","אומאז","goose","duck"
"אוויר","חַמצָן","חַמצfa","אוינר","air","oxygen"
"אולי","כנראה","כניצה","הקלי","maybe","probably"
"אומנות","סִפְרוּת","ghפְרוּת","הנמנות","art","literature"
"אומץ","נחישות","יטישות","אובח","courage","determination"
"אופי","אִישִׁיוּת","אִישִׁיומט","הנפי","character","personality"
"אופנתי","אֵלֶגַנטִי","אֵלֶגַנטqc","אוארתי","fashionable","elegant"
"אחד","שְׁלוֹשָׁה","שְׁלוֹשָהף","חיד","one","three"
"אחי","א brמָנִיָה","א brinנִיָה","והי","dude","bro"
"אי סדר","בִּלבּוּל","כץּלבּוּל","איתןדר","chaos","confusion"
"אי צדק","לֹא הוֹגֶן","ןקא הוֹגֶן","איכסדק","injustice","unfair"
"איזון","הַרמוֹנִיָה","ttרמוֹנִיָה","איימן","balance","harmony"
"אירוסין","חֲתוּנָה","חֲתוּנsu","אירועון","engagement","wedding"
"איש","בן אנוש","md אנוש","ונש","man","human"
"איש קשר","חיבור","והבור","איש פטר","contact","connection"
"אישי","אִינטִימִי","אִינטִימhn","איחו","personal","intimate"
"אלוהים","אלוהי","אלפקי","אלעמים","god","divine"
"אלף","מֵאָה","אץאָה","ניף","thousand","hundred"
"אמון","לְהֶאֱמִין","לְהֶאֱוגין","געון","trust","believe"
"אמן","צייר","להיר","כין","artist","painter"
"אמר","לאמר","לארנ","כיר","say","tell"
"אנגלית","צָרְפָתִית","ffרְפָתִית","אניכית","english","french"
"אסור","לֶאֱסוֹר","לֶגקסוֹר","שלור","forbidden","prohibit"
"אסיר תודה","להודות","להיטות","אסירלטודה","grateful","thank"
"ארון קבורה","הַלוָיָה","הַלוָיsu","ארוןקסבורה","coffin","funeral"
"ארץ","לטוס, זבוב","לטוסבסזבוב","ייץ","land","fly"
"ב  ב ירו ר","מובן מאליו","מוקל מאליו","sn ב ירו ר","clearly","obviously"
"ב  ד","מִמחָטָה","מִמחָטvx","ב jt","cloth","handkerchief"
"ב  ד יק ה","בְּדִיקָה","ttּדִיקָה","פם ד יק ה","examination","inspection"
"ב  ח יר ה","אוֹפְּצִיָה","אוקזְּצִיָה","hb ח יר ה","choice","option"
"ב  חו פ ש  יו ת","חינם","חיתת","ב  חו פ ש  ינמת","freely","free"
"ב  ט חו ן","בְּטִיחוּת","בְּטִיחוקו","xo ט חו ן","security","safety"
"ב  ט ן","חזה","לגה","ב  טrv","stomach","chest"
"ב  טו ן","פְּלָדָה","gtּלָדָה","iq טו ן","concrete","steel"
"ב  י ת","דִירָה","דִירסק","zv י ת","house","apartment"
"ב  יו ן","חַבָּלָה","עץבָּלָה","ב  יערן","espionage","sabotage"
"ב  יש ו ף","קַרדִינָל","דקרדִינָל","ב  יש חיף","bishop","cardinal"
"ב  כ יר","זוּטָר","זוּטag","ב  כהתר","senior","junior"
"ב  לת י חו ק י","משפטי","משכני","ב  לת י חו קdd","illegal","legal"
"ב  מ קו ם א ח ר","אי שם","אילרם","ץר מ קו ם א ח ר","elsewhere","somewhere"
"ב  נ י ה","לִבנוֹת","dmבנוֹת","ב  נ יmk","construction","build"
"ב  נק א י","המשקיעים","המפריעים","nf נק א י","banker","investor"
"ב  נק או ת","כַּספִּי","xbּספִּי","ב  נק אודב","banking","financial"
"ב  ע יט ה","לירות","נטרות","םר ע יט ה","shot","shoot"
"ב  ע ל","אשה","פצה","נם ע ל","husband","wife"
"ב  ר יא","נוֹרמָלִי","נוֹרמָשגי","ב  רףלא","healthy","normal"
"ב  ר יאו ת","חינוך","מכנוך","ב  ר יאוru","health","education"
"ב  ר ק","רַעַם","הךעַם","kr ר ק","lightning","thunder"
"ב  רו ן","רוֹזֶנֶת","רוֹזֶנגק","lp רו ן","baron","countess"
"ב  רז ל","מַתֶכֶת","xyתֶכֶת","פן רז ל","iron","metal"
"ב  ת","בֵּן","qsּן","ב dl","daughter","son"
"ב  תו ק ף","בְּתוֹקֶף","lfּתוֹקֶף","fb תו ק ף","firmly","strongly"
"ב ו ב  ה","צַעֲצוּעַ","wuעֲצוּעַ","rbו ב  ה","doll","toy"
"ב ו ץ","חוֹל","חוםע","יןו ץ","mud","sand"
"ב ו רו ת","יְהִירוּת","יְזמירוּת","דףו רו ת","ignorance","arrogance"
"באופן טבעי","בדרך כלל","בדנה כלל","באופיכטבעי","naturally","generally"
"בדרך כלל","בְּדֶרֶך כְּלַל","קןּדֶרֶך כְּלַל","נארך כלל","normally","usually"
"בהחלט","לַחֲלוּטִין","auחֲלוּטִין","בהגנט","absolutely","completely"
"בזבוז","לְבַלוֹת","צףבַלוֹת","בזוכז","waste","spend"
"בחוץ","בְּתוֹך","בְּתסבך","בחרט","outside","inside"
"בחיים","מֵת","oiת","שויים","alive","dead"
"בחר","בחר","וכר","וכר","choose","select"
"בטוח","לבטח","לביו","בטכם","safe","secure"
"בטון","פלסטיק","פלסטור","גמון","cement","plastic"
"בטעות","בְּמֵזִיד","בְּמֵזרגד","בטנית","accidentally","intentionally"
"בינלאומי","עוֹלָם","עופשָם","בישבאומי","international","world"
"בית המקדש","מִנזָר","krנזָר","בית המינש","temple","monastery"
"בית חולים","מרפאה","מרוסה","בית נגלים","hospital","clinic"
"בית יתומים","מִנזָר","krנזָר","ביזליתומים","orphanage","convent"
"בית משפט","לִשְׁפּוֹט","לִשְׁפּוgt","בירסמשפט","court","judge"
"בית קולנוע","תיאטרון","תינדרון","ביקרקולנוע","cinema","theater"
"בלתי אפשרי","קַל","נםל","בלתיטופשרי","impossible","easy"
"בלתי שגרתי","מוּזָר","מוקףָר","בלתילךגרתי","unusual","strange"
"בנים","בנות","יאות","וצים","boys","girls"
"בננה","תּוּת","מןוּת","בנדו","banana","strawberry"
"בסדר","כֵּן","כֵךת","בסוט","okay","yeah"
"בסיס","מַטֶה","שןטֶה","ואיס","base","headquarters"
"בעילום שם","לא ידוע","לאסתדוע","בעדרום שם","anonymous","unknown"
"בעל ערך","חָשׁוּב","חָשׁשרב","בעמלערך","valuable","important"
"בעצם","בֶּאֱמֶת","בֶּאֱמתץ","בערפ","actually","really"
"בפשטות","פָּשׁוּט","עץּשׁוּט","בפודות","simply","simple"
"בראו","אלפא","אלרץ","בריך","bravo","alpha"
"בשר חזיר","בָּשָׂר","ךבּשָׂר","בשטןחזיר","pork","meat"
"בת ערובה","אָסִיר","fsסִיר","בתרארובה","hostage","prisoner"
"ג  ז","מוּסִיקָה","מוּסִיגסה","ג je","jazz","music"
"ג  יפ ","מַשָׂאִית","מַשָׂאהצת","ג  יםא","jeep","truck"
"ג או ן","מַדְעָן","odדְעָן","ufאו ן","genius","scientist"
"ג או ן","רוֹמֵמוּת","רוגזֵמוּת","ufאו ן","majesty","highness"
"ג ב יע ","קפה","תנה","gpב יע ","cup","coffee"
"ג בע ה","הַר","ףאר","ג בעqc","hill","mountain"
"ג דו ד","גְדוּד","גְדוצש","מדדו ד","regiment","battalion"
"ג דו ל","עָצוּם","עָצוbr","ג דוzi","big","huge"
"ג ו נג ל","יַעַר","דםעַר","ג ו נגex","jungle","forest"
"ג ז","לתדלק","ברדלק","בךז","gas","fuel"
"ג זע ן","קוֹמוּנִיסט","קופגוּנִיסט","ג זעםו","racist","communist"
"ג נ ב","פְּלִילִי","nsּלִילִי","ג ששב","thief","criminal"
"ג נ ב ה","שׁוֹד","kfוֹד","lyנ ב ה","theft","robbery"
"ג ן ח יו ת","קרקס","קרספ","ג ן ח יוםל","zoo","circus"
"ג ן ע ד ן","גֵיהִנוֹם","זכיהִנוֹם","מןן ע ד ן","paradise","hell"
"ג נ ר טו ר","כור","ורר","ךשנ ר טו ר","generator","reactor"
"ג רו ר","ואן","כון","ג רוof","trailer","van"
"ג ש  ם","שֶׁלֶג","qcׁלֶג","icש  ם","rain","snow"
"גאה","נִרגָשׁ","ptרגָשׁ","טפה","proud","excited"
"גאווה","כָּבוֹד","phּבוֹד","בזווה","pride","dignity"
"גו לף","טֶנִיס","bmנִיס","גוטןף","golf","tennis"
"גו ף","גוּפָה","גוּפmo","גוmu","body","corpse"
"גו ר ל","גוֹרָל","גוֹרסג","גוגן ל","fate","destiny"
"גודל","אורך","הנרך","גורח","size","length"
"גורם","אֵלֵמֶנט","ffלֵמֶנט","גוננ","factor","element"
"גיבור","מוֹשִׁיעַ","מוֹשאייעַ","גיעהר","hero","savior"
"גידול סרטני","מחלת הסרטן","מחלת הנהטן","גידופלסרטני","tumor","cancer"
"גלריה","תערוכה","תערומן","גליהה","gallery","exhibition"
"גרון","צוואר","תמואר","אבון","throat","neck"
"ד א ג ה","דאגה","דאטו","ףאא ג ה","concern","worry"
"ד ג ל","סֵמֶל","סֵןכל","wrג ל","flag","symbol"
"ד ג ם","אב טיפוס","אברחיפוס","צףג ם","model","prototype"
"ד יק ן","פּרוֹפֶסוֹר","פּרוֹפֶסהנר","ד יקהפ","dean","professor"
"ד ם","שֶׁתֶן","גףׁתֶן","xoם","blood","urine"
"ד מיו ן","יְצִירָתִיוּת","מםצִירָתִיוּת","iאמיו ן","imagination","creativity"
"ד ר מ ה","קוֹמֶדִיָה","קוהוֶדִיָה","ד ר האה","drama","comedy"
"ד ר מ ט י","רוֹמַנטִי","רוגוַנטִי","nfר מ ט י","dramatic","romantic"
"ד ר קו ן","אַריֵה","אַריab","lhר קו ן","dragon","lion"
"ד רו ם","צָפוֹן","wuפוֹן","ד רוvo","south","north"
