"sk_target","sk_cue","sk_fake_cue","sk_fake_target","en_cue","en_target"
"absolvent","diplom","publom","absoljach","diploma","graduate"
"absurdný","absurdné","ablentné","aboporný","ridiculous","absurd"
"administratívny","zvládanie","flirdanie","čerstvýministratívny","management","administrative"
"adrenalín","hormón","horors","adrenapchám","hormone","adrenaline"
"adresa","číslo","prulo","adrezerv","number","address"
"agentúra","firma","hlima","zvyktúra","firm","agency"
"aktivovať","spúšť","spvať","aktivotried","trigger","activate"
"alarm","upozorniť","uposkloniť","alrem","alert","alarm"
"alfa","bravo","forvo","alvíš","bravo","alpha"
"alibi","motív","mokaš","prebi","motive","alibi"
"america","afrika","opusrika","techrica","africa","america"
"analýza","pitva","idiva","scholýza","autopsy","analysis"
"architekt","inžinier","inžistúp","archilong","engineer","architect"
"armáda","legie","leňom","arškanda","legion","army"
"arogancia","nevedomosť","nevedochvíľ","zvlágancia","ignorance","arrogance"
"aróry","arzenál","arzehľad","widry","arsenal","armory"
"artérie","žilka","šovka","artékých","vein","artery"
"asistent","tajomník","taslušník","asisvedz","secretary","assistant"
"atlantický","pacifický","paciyorkský","atlanyorkský","pacific","atlantic"
"atmosféra","prostredie","prohvezdie","atmozvnutra","environment","atmosphere"
"auto","vozidlo","voxwello","aušie","vehicle","car"
"autobus","vlak","vlči","automont","train","bus"
"babička","dedko","bunko","bazmeška","grandfather","grandmother"
"bacon","utiecť","utieog","bamar","toast","bacon"
"balenie","obálka","trolka","balevant","envelope","package"
"bar","klub","klie","lór","club","bar"
"baseball","štadión","roztdión","basesiek","stadium","baseball"
"báseň","text","teoi","báňaš","text","poem"
"bavlna","silk","siip","baprizna","silk","cotton"
"bezcenný","zbytočný","srantočný","bezslušný","useless","worthless"
"bezmocný","bezmocný","bezstupný","bezstupný","helpless","powerless"
"bezpečnosť","zabezpečenie","zatriasťpečenie","bezpečskej","security","safety"
"biológia","chémia","pismia","opuslógia","chemistry","biology"
"biologický","chemický","zdramický","strážlogický","chemical","biological"
"bitka","vojna","ktona","ubyka","war","battle"
"blázon","paranoidný","paranoštrukčný","bláplo","paranoid","crazy"
"bohatstvo","poklad","poskyt","bohatších","treasure","wealth"
"bohatý","chudobný","chustupný","bohawkin","poor","rich"
"boj","bojovať","bojoonov","rej","combat","fight"
"bojisko","aréna","jálna","bokvápko","arena","battlefield"
"bojovník","vojak","voons","boúradník","soldier","warrior"
"bojovník","majster","ciester","boúradník","champion","fighter"
"bolesť","utrpenie","vzbupenie","bowler","suffering","pain"
"boston","washington","wasbrixton","hunton","washington","boston"
"božský","boha","boter","valský","god","divine"
"brada","vlasy","nazsy","cenda","hair","beard"
"brána","portál","blatál","gálna","portal","gate"
"brat","sestra","sesčal","brdú","sister","brother"
"bratranec","relatívny","relawlessny","utheranec","relative","cousin"
"brnení","štít","štpä","zmiznení","shield","armor"
"bro","frajer","frakíz","dáo","dude","bro"
"brušný","spinálny","chránálny","surdný","spinal","abdominal"
"budovanie","veža","velej","budovaských","tower","building"
"bunda","košeľa","košedých","hluda","shirt","jacket"
"búrka","superman","susandman","radka","superman","batman"
"búrka","vetrovať","otrarovať","radka","wind","storm"
"byt","dom","orm","itt","house","apartment"
"čarodejnica","kliatba","skratba","čaroovplyvnica","curse","witch"
"čarodejník","mágia","máľal","čarovlastník","magic","wizard"
"čašníčka","čašník","krvník","vklaníčka","waiter","waitress"
"časovač","detonátor","detonáplasť","časoames","detonator","timer"
"častica","záležitosť","záležiniach","vrectica","matter","particle"
"často","niekedy","zvánkedy","plato","sometimes","often"
"cena","hodnota","upranota","nárna","value","price"
"centimeter","míľ","ľuľ","šľachtimeter","mile","centimeter"
"česť","privilégium","privilémstil","čeža","privilege","honor"
"cesta","trasa","linsa","alita","route","path"
"cestovný pas","lístok","bortok","cestovnýánoch","ticket","passport"
"chcieť","túžba","hreba","chcink","desire","wish"
"chek","pera","mokra","chre","lip","cheek"
"chirurgia","ovládať","ovláčia","uprarurgia","operate","surgery"
"chladný","teplý","vyklý","ukradný","warm","cool"
"chladný","horúci","hostarci","ukradný","hot","cold"
"chlapec","dievča","techča","chlaise","girl","boy"
"chorý","chorý","pokrý","pokrý","ill","sick"
"chyba","chyba","rovba","rovba","error","mistake"
"cibuľa","cesnak","cesroš","cichytľa","garlic","onion"
"čierna","biely","ploly","svedna","white","black"
"cigar","dym","hém","cibuľ","smoke","cigar"
"cigareta","tabak","taráš","cigaplachta","tobacco","cigarette"
"činnosť","aktívny","akciámny","nórnosť","active","activity"
