de_cue,de_target,type,cue_type,target_type,de_cosine
abendessen,frühstück,related,word,word,0.712240680802583
abfall,ausgeben,related,word,word,0.175651579912036
absolut,vollständig,related,word,word,0.277507285163315
spielen,spiel,related,word,word,0.538985258825051
abzeichen,uniform,related,word,word,0.439182858098547
auslöser,aktivieren,related,word,word,0.35636250139039
affe,gorilla,related,word,word,0.42420252754594
afrika,amerika,related,word,word,0.536275584494561
agent,detektiv,related,word,word,0.313857273652972
ähnlich,unterschiedlich,related,word,word,0.426768237554697
aids,hiv,related,word,word,0.610352009881257
aktentasche,koffer,related,word,word,0.572059466440892
aktiv,aktivität,related,word,word,0.422360408093878
ermöglichen,bieten,related,word,word,0.350696995342693
warnen,alarm,related,word,word,0.18728773998157
alptraum,traum,related,word,word,0.649940143959901
album,lied,related,word,word,0.396063123724642
alkohol,droge,related,word,word,0.430315151535774
allee,straße,related,word,word,0.38689807050276
allein,einsam,related,word,word,0.446088001172775
general,oberst,related,word,word,0.54961004737949
alt,jung,related,word,word,0.572020080828906
lebend,tot,related,word,word,0.3486353003219
amateur,fachmann,related,word,word,0.418597125585942
analytiker,ermittler,related,word,word,0.422454990806974
anarchie,kapitalismus,related,word,word,0.357093700429398
anatomie,psychologie,related,word,word,0.506357248441867
anderswo,irgendwo,related,word,word,0.358717845192761
anforderung,anfrage,related,word,word,0.518247468637355
angebot,geben,related,word,word,0.122566843326615
anhänger,lastwagen,related,word,word,0.295036083716551
anker,segel,related,word,word,0.492563385917775
ankommen,kommen,related,word,word,0.436802762226122
ankunft,abfahrt,related,word,word,0.476275493851752
anliegen,sorge,related,word,word,0.3221935792079
anonym,unbekannt,related,word,word,0.376294130654226
anruf,telefon,related,word,word,0.415247675497405
ansicht,perspektive,related,word,word,0.35059400383213
anständig,ehrlich,related,word,word,0.526302590995378
antworten,antwort,related,word,word,0.766618205404105
anwalt,staatsanwalt,related,word,word,0.56885628388328
anwenden,verwenden,related,word,word,0.603050527448871
zählen,berechnen,related,word,word,0.256082178822779
nummer,adresse,related,word,word,0.55811973383147
apfel,obst,related,word,word,0.456118671521826
job,arbeit,related,word,word,0.439505107295863
operieren,chirurgie,related,word,word,0.465850855785212
arena,schlachtfeld,related,word,word,0.367969113479404
ärger,problem,related,word,word,0.269310545072215
arm,reich,related,word,word,0.129645612264519
armut,elend,related,word,word,0.516445656230482
arsch,hintern,related,word,word,0.781644719734059
arsenal,waffenkammer,related,word,word,0.414250220868657
artefakt,medaillon,related,word,word,0.413680602201043
artikel,zeitung,related,word,word,0.511551956327534
asche,staub,related,word,word,0.50466363235082
aspirin,morphium,related,word,word,0.541033854262961
astronaut,pilot,related,word,word,0.52846990288557
atomar,nuklear,related,word,word,0.528218622155841
attraktiv,charmant,related,word,word,0.592737717781473
aufgabe,mission,related,word,word,0.520294351868008
aufmerksamkeit,anziehen,related,word,word,0.148447048944393
aufregend,interessant,related,word,word,0.630211040849981
auge,ohr,related,word,word,0.456897168794048
aus,über,related,word,word,0.183929653924647
ausfahrt,eingang,related,word,word,0.396333351250003
ausgezeichnet,großartig,related,word,word,0.590684826812973
ausrüstung,ausstatten,related,word,word,0.341374340655477
