"it_target","it_cue","it_fake_cue","it_fake_target","en_cue","en_target"
"abbandono","partire","identire","abescludono","leave","abandon"
"abbraccio","bacio","basas","absconcio","kiss","hug"
"accadere","verificarsi","verifirewoodsi","acesplodere","occur","happen"
"accento","voce","tarce","acstrato","voice","accent"
"accettare","rifiutare","riaspettare","acsquartare","refuse","accept"
"acciaio","calcestruzzo","calceplantzo","actorsio","concrete","steel"
"accompagnare","scorta","spieta","accompaostruire","escort","accompany"
"accordo","contrarre","conignore","acprendo","contract","agreement"
"accusa","rimostranza","rimogliezza","acpressa","complaint","accusation"
"acquirente","venditore","estraditore","aclewarrente","seller","buyer"
"addio","ciao","cirà","advan","hello","bye"
"addominale","spinale","ibernale","struendominale","spinal","abdominal"
"adolescente","adolescente","adoleclairte","adolebrockte","teenage","teenager"
"adrenalina","ormone","buiamone","guangnalina","hormone","adrenaline"
"aeroporto","terminale","ischeminale","aerosciento","terminal","airport"
"affamato","stanco","buonco","afschermato","tired","hungry"
"affascinante","attraente","atiniette","affarewellnante","attractive","charming"
"affitto","assumere","asgliermere","afbronto","hire","rent"
"agenzia","ditta","zopta","steczia","firm","agency"
"aggiuntivo","extra","exdie","agscrittivo","extra","additional"
"alba","tramonto","traeletto","comba","sunset","dawn"
"albero","cespuglio","cespuster","sturbero","bush","tree"
"alfa","bravo","catvo","almer","bravo","alpha"
"alibi","motivo","spettivo","ipobi","motive","alibi"
"alieno","ufo","ebo","placno","ufo","alien"
"allarme","mettere in guardia","mettere in gukewell","alsciame","alert","alarm"
"allucinazione","illusione","illutreenne","istruirlucinazione","illusion","hallucination"
"altezza","maestà","maeceo","alphonza","majesty","highness"
"altezza","peso","stoso","alphonza","weight","height"
"alto","basso","sunso","alber","low","high"
"amante","padrona","paosanna","miarte","mistress","lover"
"america","africa","atleca","esaurica","africa","america"
"amichevole","educato","aspicato","sfrutchevole","polite","friendly"
"amicizia","relazione","relastrelne","scarcizia","relationship","friendship"
"amico","collega","stralega","isoco","colleague","friend"
"ammaccare","graffio","grafpre","amstroncare","scratch","bruise"
"amministrativo","gestione","gebourne","istruirministrativo","management","administrative"
"amore","odiare","speare","tatre","hate","love"
"analisi","autopsia","auspassia","squilisi","autopsy","analysis"
"anatra","oca","eia","anadie","goose","duck"
"ancora","già","foà","ancoglie","already","still"
"andare","accedere","estorcedere","annienre","enter","go"
"animale","bestia","betier","spazmale","beast","animal"
"antipatico","scomodo","guiamodo","antipaticotswolds","uncomfortable","unpleasant"
"appartamento","casa","ziosa","apschiettamento","house","apartment"
"apprezzare","ammirare","amesplorare","apglianzare","admire","appreciate"
"approvazione","autorizzazione","mightietorizzazione","approvacheyenne","permission","approval"
"aragosta","tonno","giuno","aragoland","tuna","lobster"
"arancia","verde","sfode","atrocia","green","orange"
"architetto","ingegnere","ingerhardre","archiswickto","engineer","architect"
"argento","d'oro","d'col","arsfatto","golden","silver"
"argomento","oggetto","ogbronto","argosciarto","object","subject"
"arma","pistola","pignarla","clama","pistol","weapon"
"armatura","scudo","deodo","arstruttura","shield","armor"
"armeria.","arsenale","gliessenale","armehlua","arsenal","armory"
"armonia","equilibrio","sforlibrio","armoster","balance","harmony"
"arrabbiato","geloso","knightsbridgeloso","arrabstrutto","jealous","angry"
"arresto","punire","puscorre","arregres","punish","arrest"
"arroganza","ignoranza","streranza","arrostrozza","ignorance","arrogance"
"arteria","vena","siana","arteschi","vein","artery"
"artificiale","naturale","scritturale","artifirewoodle","natural","artificial"
"artiglieria","cavalleria","caglierleria","artiesploria","cavalry","artillery"
"asciugamano","lenzuolo","sbalzuolo","strangamano","blanket","towel"
"ascoltare","ascoltare","straptare","straptare","listen","hear"
"aspettare","aspettare","scrittare","scrittare","wait","expect"
"assassino","mercenario","stiaccenario","asgliersino","mercenary","assassin"
"assassino","uccisore","ucsgressore","asgliersino","killer","murderer"
"assenza","presenza","predrizza","asdrizza","presence","absence"
"assist","aiuto","prito","aschorst","help","assist"
"assistente","segretario","sesquartario","assiapriate","secretary","assistant"
