"et_target","et_cue","type","target_type","cue_type","et_cosine"
"ameerika","aafrika","related","word","word",0.433398025242463
"rikkus","aare","related","word","word",0.228649900756437
"väga","äärmiselt","related","word","word",0.634131809331842
"sünnipäev","aastapäev","related","word","word",0.679046333609881
"tuuma-","aatomi-","related","word","word",NA
"abielu","abielulahutus","related","word","word",0.694657845587857
"naise","abikaasa","related","word","word",0.508782954100529
"võimetu","abitu","related","word","word",0.432228477879567
"täiesti","absoluutselt","related","word","word",0.40862749523676
"prokurör","advokaat","related","word","word",0.510324835684505
"harva","aeg-ajalt","related","word","word",NA
"kiire","aeglane","related","word","word",0.550543615305077
"kiiresti","aeglaselt","related","word","word",0.518236023547485
"detektiiv","agent","related","word","word",0.397571373886342
"köie","ahela","related","word","word",0.30023953270522
"pliid","ahi","related","word","word",0.384644765065874
"gorilla","ahv","related","word","word",0.464552847295057
"hiv","aids","related","word","word",0.431737684297012
"abistama","aitama","related","word","word",0.569508106096391
"poliitikas","ajakirjandus","related","word","word",0.40580930829976
"tserebraalne","aju","related","word","word",NA
"uks","aken","related","word","word",0.563983537838203
"ootamatult","äkki","related","word","word",0.158450001143456
"tegevus","aktiivne","related","word","word",0.22731654313677
"tsoon","ala","related","word","word",0.368626080595833
"liialdama","alahinnata","related","word","word",0.28747377064164
"tagasihoidlik","alandlik","related","word","word",0.505049177767175
"alasti","alasti","related","word","word",1
"pidevalt","alati","related","word","word",0.441302684401226
"laul","album","related","word","word",0.409868085155631
"narkootikum","alkoholi","related","word","word",0.48424969458656
"üles","alla","related","word","word",0.445408167809261
"närima","alla neelama","related","word","word",NA
"informant","allikas","related","word","word",0.294865365366983
"paat","allveelaev","related","word","word",0.409279568986458
"väljapressima","altkäemaksu andma","related","word","word",NA
"peakorter","alus","related","word","word",0.184684146509799
"professionaalne","amatöör","related","word","word",0.360379840308353
"putuka","ämblik","related","word","word",0.420925842981398
"ametlik","ametlikult","related","word","word",0.651752907714768
"uurija","analüütik","related","word","word",0.341232901501081
"kapitalism","anarhia","related","word","word",0.397971203067612
"psühholoogia","anatoomia","related","word","word",0.402881043277053
"vabandama","andestama","related","word","word",0.534519570782451
"halastav","andestus","related","word","word",0.363305939585063
"teave","andmed","related","word","word",0.416941844571541
"saatja","andur","related","word","word",0.442769003274531
"purjetama","ankurdama","related","word","word",NA
"süstimine","annus","related","word","word",0.413665646270212
"teadmata","anonüümne","related","word","word",0.136233381121987
"vaktsiin","antidoot","related","word","word",0.369548146479619
"peatama","ära hoidma","related","word","word",NA
"kohtuprotsess","ärakuulamine","related","word","word",0.477453680337759
"lahinguvälja","areen","related","word","word",0.300260463444264
"vihane","armukade","related","word","word",0.541580670099519
"armastaja","armuke","related","word","word",0.315900933677354
"armoor","arsenal","related","word","word",NA
"medaljon","artefakt","related","word","word",0.254497982341578
"ajaleht","artikkel","related","word","word",0.433546101139903
"teatama","aruanne","related","word","word",0.206325897068437
"suhtumine","arvamus","related","word","word",0.463994307985587
"arvutama","arvestama","related","word","word",0.493732593189688
"asendama","asendama","related","word","word",1
"morfiin","aspiriin","related","word","word",0.520720947101009
"tagumik","ass","related","word","word",0.327559393585581
"piloot","astronaut","related","word","word",0.415238553659214
"võluv","atraktiivne","related","word","word",0.506846186185247
"usaldus","austus","related","word","word",0.574626311297525
"fotograaf","autogramm","related","word","word",0.352134544076082
"analüüs","autopsia","related","word","word",0.356338122195048
"näitleja","autor","related","word","word",0.373536613915478
"sulge","avama","related","word","word",0.419511539658693
"sulgemine","avamine","related","word","word",0.652082779528348
"tänav","avenüü","related","word","word",0.470529834606626
"maasikas","banaan","related","word","word",0.492850934812026
"teras","betoon","related","word","word",0.46734514836552
"auhind","boonus","related","word","word",0.285727670980955
"toode","bränd","related","word","word",0.335272390414247
"alfa","bravo","related","word","word",0.509617356354918
"rooma","caesar","related","word","word",0.454380291427788
"professor","dekaan","related","word","word",0.37143026884768
"taimer","detonaator","related","word","word",0.515930752610294
"kole","digustiv","related","word","word",NA
"voodi","diivan","related","word","word",0.537628073019841
"lõpetama","diplom","related","word","word",0.252515245101141
"sõrmejälg","dna","related","word","word",0.471696088907456
"lõvi","draakon","related","word","word",0.453621644799153
"komöödia","draama","related","word","word",0.495067864658973
"romantiline","dramaatiline","related","word","word",0.496915836934603
"impeerium","dünastia","related","word","word",0.379328872400992
"vannituba","dušš","related","word","word",0.495764811508919
"videot","dvd","related","word","word",0.341084223966577
"metsa","džungel","related","word","word",0.328796303187247
"vastutustundetu","ebamõistlik","related","word","word",0.453008664200597
"ebameeldiv","ebamugav","related","word","word",0.560821258388607
"ebaõiglane","ebaõiglus","related","word","word",0.745486660368397
"kummaline","ebatavaline","related","word","word",0.561890645362093
"jätkuma","edasi liikuma","related","word","word",NA
"mittevastavus","edu","related","word","word",NA
"areng","edusamme","related","word","word",0.271516410740745
"rahastamine","eelarve","related","word","word",0.325189012795804
"hobune","eesel","related","word","word",0.417280812948871
"kavatsus","eesmärk","related","word","word",0.442053385723673
"tagumine","eesmine","related","word","word",0.610691410827849
"ehitama","ehitus","related","word","word",0.492140932917865
"monitor","ekraan","related","word","word",0.474943733038567
"spetsialist","ekspert","related","word","word",0.485848561123204
"ellu jääma","elama","related","word","word",NA
"inimesed","elanikkond","related","word","word",0.269798128427848
"surnud","elus","related","word","word",0.371279264137073
"isa","ema","related","word","word",0.836932207691094
"hääletama","enamus","related","word","word",0.186937645113984
"mõrvama","enesetapp","related","word","word",0.299016150094875
"kirglikkus","entusiasmi","related","word","word",0.405467758412083
"tähelepanuväärne","erandlik","related","word","word",0.39207960450614
"ainulaadne","eriline","related","word","word",0.465685577666063
"viimati","esimene","related","word","word",0.166132774879286
"juhtuma","esinema","related","word","word",0.204997253436195
"viitama","esitama","related","word","word",0.480388230403156
"kaasas olema","eskort","related","word","word",NA
"teisipäev","esmaspäev","related","word","word",0.697383301767259
"planeerimine","ettevalmistamine","related","word","word",0.625688177361805
"korporatsioon","ettevõte","related","word","word",0.466464554971502
"mutatsioon","evolutsioon","related","word","word",0.521349665819214
"periood","faas","related","word","word",0.363827077917817
