"et_cue","et_target","et_fake_target","et_fake_cue","en_cue","en_target"
"aafrika","ameerika","juukrika","chucrika","africa","america"
"aare","rikkus","kerkus","resre","treasure","wealth"
"äärmiselt","väga","morga","äärmitiiv","extremely","very"
"aastapäev","sünnipäev","sünnikalt","aastavaim","anniversary","birthday"
"aatomi-","tuuma-","enema","ahelmi","atomic","nuclear"
"abielulahutus","abielu","abinan","abivõibollahutus","divorce","marriage"
"abikaasa","naise","jense","abitähtsa","husband","wife"
"abitu","võimetu","seadmetu","vestu","helpless","powerless"
"absoluutselt","täiesti","brienti","absostiilselt","absolutely","completely"
"advokaat","prokurör","prokutiin","advolius","lawyer","prosecutor"
"aeg-ajalt","harva","kõlva","aegajare","occasionally","rarely"
"aeglane","kiire","harre","liiklane","slow","fast"
"aeglaselt","kiiresti","kiiflirti","aeglamise","slowly","quickly"
"agent","detektiiv","detekmärk","weent","agent","detective"
"ahela","köie","omie","dekla","chain","rope"
"ahi","pliid","plüad","kki","oven","stove"
"ahv","gorilla","gosaksla","fov","monkey","gorilla"
"aids","hiv","aav","aiye","aids","hiv"
"aitama","abistama","frantama","tusetama","help","assist"
"ajakirjandus","poliitikas","poliititeedi","ajalooksjandus","journalism","politics"
"aju","tserebraalne","tsereblusõnne","rku","brain","cerebral"
"aken","uks","drs","maen","window","door"
"äkki","ootamatult","ootamasioon","hacki","suddenly","unexpectedly"
"aktiivne","tegevus","tegemaid","akväärne","active","activity"
"ala","tsoon","tsaun","jua","area","zone"
"alahinnata","liialdama","poissdama","enesehinnata","underestimate","exaggerate"
"alandlik","tagasihoidlik","tagasimisekslik","ühendlik","humble","modest"
"alasti","alasti","tausti","isanti","nude","naked"
"alati","pidevalt","pidepääs","midti","always","constantly"
"album","laul","woul","alnoi","album","song"
"alkoholi","narkootikum","narkootiteedi","alkoholikopteriga","alcohol","drug"
"alla","üles","akes","alkud","down","up"
"alla neelama","närima","ameerima","alla neeldiseid","swallow","chew"
"allikas","informant","inforsier","alligent","source","informant"
"allveelaev","paat","paiu","allveevärk","submarine","boat"
"altkäemaksu andma","väljapressima","väljamaicalsima","altkäemaksu anpõrkeks","bribe","blackmail"
"alus","peakorter","peakorrast","rcus","base","headquarters"
"amatöör","professionaalne","professiopetentne","amatics","amateur","professional"
"ämblik","putuka","puraiska","ohvlik","spider","insect"
"ametlikult","ametlik","alanlik","laullikult","officially","official"
"analüütik","uurija","järgja","analüükese","analyst","investigator"
"anarhia","kapitalism","kapitateele","anarlek","anarchy","capitalism"
"anatoomia","psühholoogia","eemalholoogia","anatoovest","anatomy","psychology"
"andestama","vabandama","vateerudama","anhooratama","forgive","excuse"
"andestus","halastav","hahoiatav","anquintus","forgiveness","mercy"
"andmed","teave","lieve","androi","data","information"
"andur","saatja","koorja","anlev","sensor","transmitter"
"ankurdama","purjetama","eemaljetama","ansihtidama","anchor","sail"
"annus","süstimine","eemaltimine","andaa","dose","injection"
"anonüümne","teadmata","kahtmata","anomuunne","anonymous","unknown"
"antidoot","vaktsiin","kaabsiin","antisaad","antidote","vaccine"
"ära hoidma","peatama","mõistama","ärataksdma","prevent","stop"
"ärakuulamine","kohtuprotsess","kohtuprothardt","ärakuulaminemuistsel","hearing","trial"
"areen","lahinguvälja","lahingumiseksja","tween","arena","battlefield"
"armukade","vihane","visioone","arovaalkade","jealous","angry"
"armuke","armastaja","arkärvataja","arvärske","mistress","lover"
"arsenal","armoor","arsiir","arseriiv","arsenal","armory"
"artefakt","medaljon","medalrymp","arterish","artifact","medallion"
"artikkel","ajaleht","ajabeks","arfrankel","article","newspaper"
"aruanne","teatama","mõistama","teadanne","report","inform"
"arvamus","suhtumine","mõisttumine","arvareid","opinion","attitude"
"arvestama","arvutama","areelistama","arrowaytama","count","calculate"
"asendama","asendama","juhtdama","hoiadama","replace","substitute"
"aspiriin","morfiin","morrish","aspimaat","aspirin","morphine"
"ass","tagumik","taguteem","mps","ass","butt"
"astronaut","piloot","pilain","astrorool","astronaut","pilot"
"atraktiivne","võluv","võvie","atraksuaalne","attractive","charming"
"austus","usaldus","plaadus","taltus","respect","confidence"
"autogramm","fotograaf","foligramm","autaarabi","autograph","photographer"
"autopsia","analüüs","anaveks","aupaissia","autopsy","analysis"
"autor","näitleja","ringleja","aupak","author","actor"
"avama","sulge","lehge","hooma","open","close"
"avamine","sulgemine","kaitsgemine","trummine","opening","closure"
"avenüü","tänav","tädeo","avemac","avenue","street"
"banaan","maasikas","nilisikas","basard","banana","strawberry"
"betoon","teras","teful","betent","concrete","steel"
"boonus","auhind","auvitš","jusnus","bonus","reward"
"bränd","toode","lande","bread","brand","product"
"bravo","alfa","alkuu","lepvo","bravo","alpha"
"caesar","rooma","tesma","caesnt","caesar","rome"
"dekaan","professor","profesdent","delace","dean","professor"
"detonaator","taimer","tailid","detonaamisel","detonator","timer"
"digustiv","kole","koris","diguslukk","digusting","ugly"
"diivan","voodi","pakdi","diisis","sofa","bed"
"diplom","lõpetama","lõtäiustama","dipkah","diploma","graduate"
"dna","sõrmejälg","sõrmepiat","kva","dna","fingerprint"
"draakon","lõvi","lõmad","draaryt","dragon","lion"
"draama","komöödia","komöömäng","laagma","drama","comedy"
"dramaatiline","romantiline","romantilinemuistsel","dramaatilinemuistsel","dramatic","romantic"
"dünastia","impeerium","impeenelt","dünasruum","dynasty","empire"
"dušš","vannituba","ookeanituba","duµi","shower","bathroom"
"dvd","videot","vinyst","hqd","dvd","video"
"džungel","metsa","päisa","slurgel","jungle","forest"
"ebamõistlik","vastutustundetu","vastutustundetulikrõps","ebamääralik","unreasonable","irresponsible"
"ebamugav","ebameeldiv","ebakinddiv","ebamuhust","uncomfortable","unpleasant"
"ebaõiglus","ebaõiglane","ebarootslane","ebanuhtlus","injustice","unfair"
"ebatavaline","kummaline","mõistmaline","ebatavalinemuistsel","unusual","strange"
"edasi liikuma","jätkuma","uurikuma","edasi liiksikott","proceed","continue"
"edu","mittevastavus","mittemudjintavus","thu","success","failure"
"edusamme","areng","tõeng","togramme","progress","development"
"eelarve","rahastamine","rahastaminemuistsel","võitarve","budget","funding"
"eesel","hobune","hokeelne","casel","donkey","horse"
"eesmärk","kavatsus","kameelsus","andmärk","purpose","intention"
"eesmine","tagumine","taguminemuistsel","ploomine","front","rear"
"ehitus","ehitama","järgtama","riktus","construction","build"
"ekraan","monitor","monimitz","eksant","screen","monitor"
