"lv_target","lv_cue","lv_fake_cue","lv_fake_target","en_cue","en_target"
"absolvents","diploms","diptris","absolpongu","diploma","graduate"
"absurds","smieklīgs","smiekdzam","abtruēs","ridiculous","absurd"
"acīmredzami","skaidri","merkūri","egoisredzami","clearly","obviously"
"administratīvs","vadība","vadībaterfīldas","administrabraukt","management","administrative"
"adrenalīns","hormons","linmons","adrenafordu","hormone","adrenaline"
"adrese","numurs","nusīns","adredzēs","number","address"
"aģentūra","stingrs","stinmms","kaistūra","firm","agency"
"agri","vēlu","ciālu","krari","late","early"
"aizbēgt","bēgt","bēdī","aizdeet","flee","escape"
"aizdevums","kredīts","vandīts","aizdešauj","credit","loan"
"aizdomīgs","šaubīties","šaubīstam","aizdoliek","doubt","suspect"
"aizliegt","aizliegts","aizlitâte","aizsmelt","forbidden","prohibit"
"aizmugurē","priekšā","priemaā","todžamugurē","front","rear"
"aizstāvēt","aizsargāt","aizsarlaiž","aizstādzas","protect","defend"
"aizturēšana","sodīt","sojās","aizturēšanabadzîgiem","punish","arrest"
"aizvainot","apvainojums","apvainoziedz","aizvairies","insult","offend"
"aizvērt","atvērt","atkārs","aizcelt","open","close"
"aizvietotājs","aizvietot","aizskaitot","aizvietoreļļu","replace","substitute"
"akcents","balss","barīs","akdists","voice","accent"
"akmens","akmens","akjošs","akjošs","rock","stone"
"aknas","nieres","īpares","akcio","kidney","liver"
"aktieris","autors","augođâ","aktiekoùo","author","actor"
"aktivizēt","sprūds","spčads","aktivirieus","trigger","activate"
"aleja","stūris","oriris","diija","corner","alley"
"alfa","bravo","psivo","aldei","bravo","alpha"
"alga","pensija","skursija","sešga","pension","salary"
"alibi","motīvs","modors","magbi","motive","alibi"
"alus","dzert","dzimt","alpo","drink","beer"
"amats","statuss","starast","amrls","status","position"
"amerika","āfrika","āfrikaļaspūlkve","prinrika","africa","america"
"āmurs","nūja","pinja","dŗurs","stick","hammer"
"analīze","autopsija","audziessija","kruslīze","autopsy","analysis"
"apakšējā daļa","tops","tođi","apakšējā dnijviss","top","bottom"
"apavi","boot","boin","apdīn","boot","shoe"
"apelsīns","zaļš","zagī","apelglāb","green","orange"
"apgabals","novads","noliis","apgaspēj","county","district"
"apglabāt","izrakt","iznemt","apglatijs","dig","bury"
"apjukums","haoss","haļus","apjurist","chaos","confusion"
"apkārt","raunds","raieds","apziet","round","around"
"aplaupīt","nozagt","notats","aplauvelk","steal","rob"
"apņēmība","drosme","klāsme","apņēmībaterfīldas","courage","determination"
"apraksts","profils","prolojs","aprīļdie","profile","description"
"aprēķināt","skaitīt","frantīt","aprēķirurgs","count","calculate"
"apstiprinājums","atļauja","atslēpja","aplencāmrinājums","permission","approval"
"apstiprināt","apstiprinājums","aplencāmrinājums","apdraudrināt","confirmation","confirm"
"apsūdzība","sūdzība","sūtietba","apsūdzībaterfīldas","complaint","accusation"
"ārējs","iekšējs","iekbāns","spējs","internal","external"
"arhitekts","inženieris","inževįsturis","arhiviāns","engineer","architect"
"ārkārtas","steidzams","smaldzams","ārslēptas","urgent","emergency"
"armija","arsenāls","arseliem","džesmija","arsenal","armory"
"armija","leģions","leleins","džesmija","legion","army"
"ārstēšana","terapija","striptīzmeiterapija","ārstēšanabadzîgiem","therapy","treatment"
"ārsts","ķirurgs","ķikāršs","ārins","surgeon","doctor"
"artērija","vein","veli","pēcpatērija","vein","artery"
"artilērija","kavalērija","sirdstriekavalērija","lzstāstilērija","cavalry","artillery"
"ārzemnieks","ufo","ļto","ārzemdziet","ufo","alien"
"atbildēt","atbildēt","atdraudēt","atdraudēt","answer","reply"
"atbilstība","turnīrs","turcils","atbilstībaterfīldas","tournament","match"
"atcerēties","aizmirst","aizģisks","atcerēbrauc","forget","remember"
"atdzist","silts","sinos","atpukst","warm","cool"
"atgriešanās","atpakaļ","atpalien","atkuļdošanās","back","return"
"atjaunot","svaigs","eraigs","atîstenot","fresh","refresh"
"atkritumi","atkritumi","atbilsttumi","atbilsttumi","trash","garbage"
"atlaišana","atkāpšanās no amata","atkāpšanās no abildņiem","atlaišanabadzîgiem","resignation","dismissal"
"atlantijas okeāns","klusais okeāns","klusais stulbs","atlantijas shaushu","pacific","atlantic"
"atlasīt","izvēlēties","izvēlēbrauc","atladzas","choose","select"
"atlīdzība","bonuss","borigs","atlīdzībaterfīldas","bonus","reward"
"atmosfēra","vide","vivas","atmosfēratiņkrēsls","environment","atmosphere"
"atnākt","ierasties","ierasbrau","atnaas","arrive","come"
"atrašanās vieta","vieta","grata","atrašanās vipēmviņš","place","location"
"atrast","meklēt","mekrai","atleet","search","find"
"ātri","lēnām","lēsit","zauri","slowly","quickly"
"ātrs","lēns","lēkm","purs","slow","fast"
"ātrums","attālums","attādiem","ātrdar","distance","speed"
"attaisnojums","piedot","piesau","attaisnoziedz","forgive","excuse"
"atteikties","atvaļinājums","atvaļināvēžiem","atslēpties","leave","abandon"
"attieksme","atzinums","atzižiem","atklātsme","opinion","attitude"
"attīstība","progress","progloms","attīstībaterfīldas","progress","development"
"atzīties","atzīt","atsāc","atzīdzam","admit","confess"
"audi","āda","ņēa","tradi","skin","tissue"
"auditorija","pūlis","pūder","pūlkveditorija","crowd","audience"
"augļi","ābele","furle","vokļi","apple","fruit"
"augšējais","zemāks","zepīrs","augšēstam","lower","upper"
"augstprātība","vienaldzība","augstaldzība","vieglprātība","ignorance","arrogance"
"augsts","zems","zenī","aulįts","low","high"
"augstums","majestātiskums","majestātissniedz","augstley","majesty","highness"
"augstums","svars","erars","augstley","weight","height"
"aukstums","karsts","gersts","aukļauts","hot","cold"
"auss","acs","nūs","auer","eye","ear"
"austrumi","rietumi","slēptumi","ausglaimi","west","east"
"autobuss","vilciens","vilcējvā","autospēt","train","bus"
"automašīna","transportlīdzeklis","citplaportlīdzeklis","automašīnabadzîgiem","vehicle","car"
"bagātība","dārgums","milgums","bagātībaterfīldas","treasure","wealth"
"bagāts","nabadzīgs","nabanāias","bavērs","poor","rich"
"baidīt","skandāls","skansēns","baisam","scare","frighten"
"bailes","šausmas","dvesmas","stules","horror","fear"
"ballīte","uzņemšana","uzņemšanabadzîgiem","manhate","reception","party"
"balsojums","vairums","vailiks","balsoņiem","majority","vote"
"balva","iejūgt","iemūįl","virva","nobel","prize"
"bārda","mati","pieti","kanda","hair","beard"
"bārs","klubs","klals","bāma","club","bar"
"bataljons","pulks","puķus","batallūdz","regiment","battalion"
"bēglis","bēglis","viklis","plulis","refugee","fugitive"
"beisbols","stadija","dzirdija","bežābols","stadium","baseball"
"bekons","grauzdiņš","grauztiks","beļīgs","toast","bacon"
"bēres","zārks","zākts","bēsim","coffin","funeral"
"bērnība","jaunatne","jaunatnedraudzŗjas","krisnība","youth","childhood"
"bērns","bērns","bētus","bētus","baby","child"
"bez maksas","brīvi","meivi","bez mamēņu","freely","free"
"bezatbildīgs","nepamatots","nepamakinro","bezatbilbraukt","unreasonable","irresponsible"
"bezspēcīgs","bezpalīdzīgs","bezpalīgumku","bezspēsiet","helpless","powerless"
"bieži","dažreiz","hiēreiz","gudži","sometimes","often"
"biezs","tievs","tiaks","bitās","thin","thick"
"bioloģija","ķīmija","dzirmija","transloģija","chemistry","biology"
"bioloģisks","ķīmija","dzirmija","biolosargs","chemical","biological"
"birojs","galds","gaābs","bimuts","desk","office"
"bīstams","riskants","rissiets","bīsstās","risky","dangerous"
"bizness","nozare","nozaremontstrād","bizdēls","industry","business"
"bloķēt","atslēga","atkrūšga","filķēt","key","lock"
"boss","vadītājs","vadīgiem","boxe","manager","boss"
"bostons","vašingtona","vašingtonabadzîgiem","vājtons","washington","boston"
"brāl","dude","klīde","brnâ","dude","bro"
"brāļadēls","mazdēls","mazkaas","brāļaļūst","grandson","nephew"
"brālēns","relatīvs","relaniek","lablēns","relative","cousin"
