"lv_cue","lv_target","type","cue_type","target_type","lv_cosine"
"diploms","absolvents","related","word","word",NA
"smieklīgs","absurds","related","word","word",0.526969558374384
"skaidri","acīmredzami","related","word","word",0.232476873964858
"vadība","administratīvs","related","word","word",NA
"hormons","adrenalīns","related","word","word",NA
"numurs","adrese","related","word","word",0.517570183514318
"stingrs","aģentūra","related","word","word",0.348151473739698
"vēlu","agri","related","word","word",0.3956940264963
"bēgt","aizbēgt","related","word","word",0.752914804197762
"kredīts","aizdevums","related","word","word",0.466992627673005
"šaubīties","aizdomīgs","related","word","word",0.194250190499226
"aizliegts","aizliegt","related","word","word",0.870230926836475
"priekšā","aizmugurē","related","word","word",0.34201595482927
"aizsargāt","aizstāvēt","related","word","word",0.656766667877871
"sodīt","aizturēšana","related","word","word",0.169172778027734
"apvainojums","aizvainot","related","word","word",0.521987619018594
"atvērt","aizvērt","related","word","word",0.644264389895369
"aizvietot","aizvietotājs","related","word","word",0.782806846113863
"balss","akcents","related","word","word",0.276647589520151
"akmens","akmens","related","word","word",1
"nieres","aknas","related","word","word",NA
"autors","aktieris","related","word","word",0.564581814615886
"sprūds","aktivizēt","related","word","word",NA
"stūris","aleja","related","word","word",NA
"bravo","alfa","related","word","word",0.69961040056662
"pensija","alga","related","word","word",0.178393527776356
"motīvs","alibi","related","word","word",0.515891050062663
"dzert","alus","related","word","word",0.301692597860341
"statuss","amats","related","word","word",0.417940287474688
"āfrika","amerika","related","word","word",0.684928816899972
"nūja","āmurs","related","word","word",0.309757864111514
"autopsija","analīze","related","word","word",NA
"tops","apakšējā daļa","related","word","word",NA
"boot","apavi","related","word","word",NA
"zaļš","apelsīns","related","word","word",NA
"novads","apgabals","related","word","word",NA
"izrakt","apglabāt","related","word","word",0.350667501154429
"haoss","apjukums","related","word","word",NA
"raunds","apkārt","related","word","word",0.086213679839511
"nozagt","aplaupīt","related","word","word",0.456502583116662
"drosme","apņēmība","related","word","word",0.557421477309953
"profils","apraksts","related","word","word",NA
"skaitīt","aprēķināt","related","word","word",NA
"atļauja","apstiprinājums","related","word","word",0.287314805575145
"apstiprinājums","apstiprināt","related","word","word",0.762176988330366
"sūdzība","apsūdzība","related","word","word",0.890807913018479
"iekšējs","ārējs","related","word","word",NA
"inženieris","arhitekts","related","word","word",0.553244569547708
"steidzams","ārkārtas","related","word","word",0.232668599451601
"arsenāls","armija","related","word","word",0.273267579765379
"leģions","armija","related","word","word",NA
"terapija","ārstēšana","related","word","word",0.481651116672096
"ķirurgs","ārsts","related","word","word",0.4194987225031
"vein","artērija","related","word","word",NA
"kavalērija","artilērija","related","word","word",NA
"ufo","ārzemnieks","related","word","word",NA
"atbildēt","atbildēt","related","word","word",1
"turnīrs","atbilstība","related","word","word",0.258911964997424
"aizmirst","atcerēties","related","word","word",0.355830068819615
"silts","atdzist","related","word","word",NA
"atpakaļ","atgriešanās","related","word","word",0.325629825097061
"svaigs","atjaunot","related","word","word",0.153545152085803
"atkritumi","atkritumi","related","word","word",1
"atkāpšanās no amata","atlaišana","related","word","word",NA
"klusais okeāns","atlantijas okeāns","related","word","word",NA
"izvēlēties","atlasīt","related","word","word",NA
"bonuss","atlīdzība","related","word","word",0.346940327294094
"vide","atmosfēra","related","word","word",0.387464315617122
"ierasties","atnākt","related","word","word",0.417029375551932
"vieta","atrašanās vieta","related","word","word",NA
"meklēt","atrast","related","word","word",0.290715769898689
"lēnām","ātri","related","word","word",0.217776378553124
"lēns","ātrs","related","word","word",0.58240950088529
"attālums","ātrums","related","word","word",0.603908411571177
"piedot","attaisnojums","related","word","word",0.180714657454556
"atvaļinājums","atteikties","related","word","word",0.230622598436511
"atzinums","attieksme","related","word","word",NA
"progress","attīstība","related","word","word",0.449025028999375
"atzīt","atzīties","related","word","word",0.606503050398922
"āda","audi","related","word","word",0.273672098969719
"pūlis","auditorija","related","word","word",NA
"ābele","augļi","related","word","word",NA
"zemāks","augšējais","related","word","word",NA
"vienaldzība","augstprātība","related","word","word",NA
"zems","augsts","related","word","word",0.369971479281725
"majestātiskums","augstums","related","word","word",NA
"svars","augstums","related","word","word",0.395228869908642
"karsts","aukstums","related","word","word",0.516866908932866
"acs","auss","related","word","word",0.447396384852242
"rietumi","austrumi","related","word","word",0.639014161089951
"vilciens","autobuss","related","word","word",0.561787802742604
"transportlīdzeklis","automašīna","related","word","word",NA
"dārgums","bagātība","related","word","word",0.391445382874488
"nabadzīgs","bagāts","related","word","word",0.454898923923763
"skandāls","baidīt","related","word","word",0.167966922861147
"šausmas","bailes","related","word","word",0.384415315788591
"uzņemšana","ballīte","related","word","word",0.392027423444325
"vairums","balsojums","related","word","word",NA
"iejūgt","balva","related","word","word",NA
"mati","bārda","related","word","word",0.19823806455893
"klubs","bārs","related","word","word",0.437601564113805
"pulks","bataljons","related","word","word",0.483101734927235
"bēglis","bēglis","related","word","word",1
"stadija","beisbols","related","word","word",0.383148610262895
"grauzdiņš","bekons","related","word","word",NA
"zārks","bēres","related","word","word",0.293152622918113
"jaunatne","bērnība","related","word","word",NA
"bērns","bērns","related","word","word",1
"brīvi","bez maksas","related","word","word",NA
"nepamatots","bezatbildīgs","related","word","word",NA
"bezpalīdzīgs","bezspēcīgs","related","word","word",NA
"dažreiz","bieži","related","word","word",0.419793140293411
"tievs","biezs","related","word","word",0.309783396520648
"ķīmija","bioloģija","related","word","word",NA
"ķīmija","bioloģisks","related","word","word",NA
"galds","birojs","related","word","word",0.326981123652213
"riskants","bīstams","related","word","word",0.439696978068783
"nozare","bizness","related","word","word",NA
"atslēga","bloķēt","related","word","word",0.36718183170043
"vadītājs","boss","related","word","word",0.398506279398691
"vašingtona","bostons","related","word","word",NA
"dude","brāl","related","word","word",NA
"mazdēls","brāļadēls","related","word","word",0.752157228104945
"relatīvs","brālēns","related","word","word",NA
"māsa","brālis","related","word","word",0.421654869908152
"disks","braukt","related","word","word",0.154538253506248
"risks","briesmas","related","word","word",0.236895179599132
"šausmīgs","briesmīgs","related","word","word",0.731145065393126
"ziemsvētki","brīvdiena","related","word","word",NA
"brīvprātīgais","brīvprātīgi","related","word","word",0.652630558017021
"vakariņas","brokastis","related","word","word",0.535455452123613
"vairogs","bruņas","related","word","word",0.294349338569151
"gliemeža","bruņurupucis","related","word","word",NA
"enkurs","bura","related","word","word",0.332924156059747
"pievilcīgs","burvīgs","related","word","word",0.629622620841446
"būvniecība","būvēt","related","word","word",0.262061623746716
"sveiki","bye","related","word","word",NA
"plaisa","caurums","related","word","word",0.345542714171021
"pleca","ceļgals","related","word","word",NA
"maršruts","ceļš","related","word","word",0.410240337249481
"portfelis","čemodāns","related","word","word",0.57467855985944
"konkurence","čempionāts","related","word","word",0.313708620883823
"vērtība","cena","related","word","word",0.355744491479101
"jūdze","centimetrs","related","word","word",NA
"ķivere","cepure","related","word","word",0.685757528204181
"rituāls","ceremonija","related","word","word",0.380542966959682
"divi","četri","related","word","word",0.487992463770344
"pusi","ceturksnis","related","word","word",NA
"trešais","ceturtais","related","word","word",0.807343093235525
"nometne","ciems","related","word","word",0.295642882966761
"lepnums","cieņa","related","word","word",0.311878959961348
"pelnījuši","cienīgs","related","word","word",0.169197489619966
"nabadzība","ciešanas","related","word","word",0.220577055966034
"šūna","cietums","related","word","word",0.203903049831748
"tabaka","cigarete","related","word","word",0.476818935619188
"dūmi","cigārs","related","word","word",NA
"populācija","cilvēki","related","word","word",0.239921162501867
"cilvēks","cilvēks","related","word","word",1
"cīnīties","cīņa","related","word","word",0.39593463306125
"karš","cīņa","related","word","word",0.297837538874701
"naivs","cinisks","related","word","word",NA
"čempions","cīnītājs","related","word","word",0.510872200588597
"zooloģiskais dārzs","cirks","related","word","word",NA
"kultūra","civilizācija","related","word","word",0.533507150862377
"paranoiķis","crazy","related","word","word",NA
"govs","cūka","related","word","word",0.549554786183709
"tārps","čūska","related","word","word",0.351153070850235
"karote","dakšiņa","related","word","word",NA
"lieta","daļiņa","related","word","word",0.168866478547887
"kungs","dāma","related","word","word",0.316033243883905
"aktīvs","darbība","related","word","word",NA
"darbs","darbs","related","word","word",1
"dimants","dārgakmens","related","word","word",0.422980784391284
"veidot","darīt","related","word","word",0.146435314058383
"līdzjūtīgs","dāsns","related","word","word",NA
"programmatūra","dators","related","word","word",NA
"kompliments","dāvana","related","word","word",0.396834560065618
"saulriets","dawn","related","word","word",NA
"debess","debesu","related","word","word",0.845726260500058
"novembris","decembris","related","word","word",0.892369826056482
"koncepcija","definīcija","related","word","word",NA
"muti","deguns","related","word","word",0.279172904407757
