observation,duration_demographics,time_run_demographics,time_render_demographics,time_show_demographics,time_end_demographics,time_commit_demographics,timestamp_demographics,time_switch_demographics,please_tell_us_your_gender,which_year_were_you_born,please_tell_us_your_education_level,native_language,duration_consent,time_run_consent,time_render_consent,time_show_consent,time_end_consent,time_commit_consent,timestamp_consent,time_switch_consent,url_lab,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,keep,n_trials,correct
00208,14436.119,21241.2999999523,21230.786,21247.381,35683.5,35683.7999999523,2022-08-11T03:02:13.303Z,35712.709,female,2001,high school,English,17970.5159999046,3245.59999990463,3231.294,3264.584,21235.0999999046,21240.7999999523,2022-08-11T03:01:58.860Z,21247.381,1531,20.2.4,https://psa007.psysciacc.org/en4/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-US,en-US,Australia/Sydney,-600,1280,720,1280,569,1280,569,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.907730673316708
07bfd,28160.6780000358,270344.300000012,270341.224,270391.222,298551.900000036,298576.600000024,2022-08-12T06:11:38.783Z,298573.952,female,1999,high school,English,263606.833000036,6661.20000004768,6644.737,6728.067,270334.900000036,270343.600000024,2022-08-12T06:11:10.550Z,270391.222,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-US,en-GB,Australia/Brisbane,-600,1440,900,1440,716,1440,764,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.933915211970075
08aa6,20886.5880000954,37660.3000001907,37641.437,37657.812,58544.4000000954,58544.6000003815,2022-08-11T02:12:35.244Z,58545.327,female,2000,college,English,34447.1720001907,3193.60000038147,2923.034,3206.628,37653.8000001907,37660,2022-08-11T02:12:14.359Z,37657.812,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36",Win32,en-US,en-US,Australia/Sydney,-600,1920,1080,1920,889,1920,937,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.960099750623441
0a6f3,43326.1290000119,91620.099999994,91616.005,91632.671,134958.800000012,134959.800000012,2022-08-10T07:12:37.875Z,134959.112,female,1998,college,english,88027.214,3560.40000000596,3544.954,3578.286,91605.5,91619.5,2022-08-10T07:11:54.536Z,91632.671,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Sydney,-600,1440,900,1307,667,1307,715,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.903990024937656
0b6f8,59739,37399,37422,37464,97203,97203,2022-08-10T07:11:59.281Z,97226,female,2001,high school,english,32489,4886,4894,4907,37383,37399,2022-08-10T07:10:59.479Z,37464,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15",MacIntel,en-AU,en-AU,Australia/Sydney,-600,1440,900,1440,723,1440,771,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,exclude,608,0.485197368421053
0be48,27908,28530,28557,28602,56510,56510,2022-08-12T06:06:41.691Z,56535,female,2000,college,sinhala,23628,4926,4935,4999,28563,28529,2022-08-12T06:06:13.711Z,28602,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15",MacIntel,en-AU,en-AU,Australia/Melbourne,-600,1440,900,1154,672,1154,720,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.91645885286783
0e79a,33782.237,24620.8000000119,24609.13,24659.263,58441.5,58442.1000000089,2022-08-11T02:11:19.575Z,58449.341,female,2002,college,English,20527.470000003,4035.60000000894,3920.331,4070.73,24598.200000003,24620.3000000119,2022-08-11T02:10:45.755Z,24659.263,1531,20.2.4,https://psa007.psysciacc.org/en3/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Melbourne,-600,1440,900,1440,689,1440,737,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.968827930174564
104bb,29647.6010000006,60523.7000000002,60503.348,60519.999,90167.6000000006,90168.6000000006,2022-08-10T07:12:15.094Z,90187.076,male,1999,high school,English,57848.2029999998,2625.10000000056,2635.781,2669.097,60517.2999999998,60523.2000000002,2022-08-10T07:11:45.449Z,60519.999,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",Win32,en-US,en-US,Australia/Sydney,-600,1280,720,1280,577,1280,577,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.985037406483791
14807,35263,49457,49491,49512,84775,84776,2022-08-11T02:12:08.010Z,84790,female,2001,high school,english,42250,7141,7165,7308,49415,49456,2022-08-11T02:11:32.690Z,49512,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15",MacIntel,en-AU,en-AU,Australia/Melbourne,-600,1440,900,1180,690,1180,738,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.958852867830424
18f70,49562,13949,13972,13993,63555,63556,2022-08-10T07:14:20.390Z,63568,female,2002,high school,Chaldean,10427,3493,3505,3517,13932,13949,2022-08-10T07:13:30.785Z,13993,1531,20.2.4,https://psa007.psysciacc.org/en3/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",MacIntel,en-AU,en-AU,Australia/Sydney,-600,1440,900,1307,739,1307,787,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,exclude,404,0.326732673267327
19d3d,57752.5870000119,143840,143831.923,143848.713,201601.300000012,201606.100000024,2022-08-12T06:10:46.587Z,201604.111,female,1999,high school,English,136049.769000012,7594.19999998808,6752.999,7786.031,143835.800000012,143839.5,2022-08-12T06:09:48.821Z,143848.713,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47",Win32,en-US,en-US,Australia/Sydney,-600,1366,768,1366,609,1366,657,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,500,0.964
1ecf0,68788.8890000001,11601.7,11600.245,11616.911,80405.8,80407,2022-08-11T02:12:39.622Z,80414.271,female,2001,college,English,7775.777,3801.69999999995,3783.891,3817.223,11593,11601.2,2022-08-11T02:11:30.817Z,11616.911,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Melbourne,-600,1440,900,1440,772,1440,820,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.899002493765586
1fdb4,39648.3979999523,28891.7999999523,28878.221,28894.902,68543.2999999523,68543.6000000238,2022-08-11T02:12:32.217Z,68551.158,female,2001,college,English,25799.4409999523,3061.39999997616,3052.481,3085.859,28885.2999999523,28891.6000000238,2022-08-11T02:11:52.565Z,28894.902,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36",Win32,en-US,en-US,Australia/Sydney,-600,1920,1080,1757,848,1757,896,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.855361596009975
23463,33064.555999857,94012.3999998569,93992.678,94009.344,127073.899999857,127074.199999809,2022-08-10T07:13:48.520Z,127094.529,female,2002,high school,English,89139.988999857,4860.19999980927,4822.579,4855.911,93995.8999998569,94011.7999999523,2022-08-10T07:13:15.459Z,94009.344,1531,20.2.4,https://psa007.psysciacc.org/en3/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Sydney,-600,1440,900,1440,666,1440,714,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,exclude,294,0.608843537414966
25e54,10670.456,45153.2999999523,45139.362,45156.044,55826.5,55826.6999999285,2022-08-12T06:07:32.042Z,55839.901,female,2000,high school,Tagalog,42463.8779999285,2658.69999992847,2670.642,2687.322,45151.1999999285,45153.0999999046,2022-08-12T06:07:21.368Z,45156.044,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en,en-GB,Australia/Sydney,-600,1920,1080,1920,927,1920,975,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,exclude,775,0.780645161290323
2c1ae,23777,15424,15435,15453,39230,39231,2022-08-10T07:10:54.820Z,39253,female,2001,high school,Nepalese,13569,1851,1862,1870,15431,15423,2022-08-10T07:10:31.014Z,15453,1531,20.2.4,https://psa007.psysciacc.org/en4/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15",MacIntel,en-AU,en-AU,Australia/Sydney,-600,1440,900,1439,660,1439,708,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.927680798004987
31ce1,21833.361000006,11330.5,11315.373,11332.039,33165.400000006,33165.599999994,2022-08-10T07:11:34.227Z,33168.553,male,2000,high school,English,8555.38499999404,2740.5,2749.049,2765.715,11321.099999994,11330,2022-08-10T07:11:12.391Z,11332.039,1531,20.2.4,https://psa007.psysciacc.org/en3/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Sydney,-600,1440,900,1049,692,1049,740,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.876558603491272
32b7c,34534.752,37590.7000000477,37571.012,37604.248,72139,72139.6000000238,2022-08-10T07:11:54.451Z,72149.404,female,2001,high school,English,33324.2970000715,4180.89999997616,4159.022,4259.003,37583.3000000715,37589.8999999762,2022-08-10T07:11:19.901Z,37604.248,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Australia/Sydney,-600,1280,720,1280,600,1280,648,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.889027431421446
32f52,27890.374,112862.299999952,112842.499,112929.626,140820,140845.299999952,2022-08-12T06:11:55.851Z,140873.795,male,2000,college,English,109470.084999952,3267.39999985695,3252.89,3386.215,112856.299999952,112860.799999952,2022-08-12T06:11:27.866Z,112929.626,1531,20.2.4,https://psa007.psysciacc.org/en4/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",Win32,en-US,en-GB,Australia/Sydney,-600,1368,912,684,719,684,767,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,530,0.947169811320755
3342c,47858.8800000179,23898.2000000179,23881.154,23897.82,71756.7000000179,71757.1000000238,2022-08-10T07:11:28.308Z,71765.072,female,1998,college,Italian,16476.027000006,7396.80000001192,7397.707,7414.373,23890.400000006,23897.7000000179,2022-08-10T07:10:40.447Z,23897.82,1531,20.2.4,https://psa007.psysciacc.org/en2/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en,en-GB,Australia/Sydney,-600,1792,1120,1005,819,1005,867,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.963840399002494
34698,39265.831,156490.700000001,156467.823,156501.169,195767,195767.9,2022-08-10T08:08:36.474Z,195766.781,female,2000,college,English,145114.879,11327.2000000011,11323.175,11356.521,156471.4,156489.600000001,2022-08-10T08:07:57.196Z,156501.169,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Sydney,-600,1280,800,1280,577,1280,625,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.918952618453865
4179e,30924.8959999985,19120.5,19114.127,19164.004,50088.8999999985,50123.599999994,2022-08-11T02:18:10.927Z,50120.216,female,2001,high school,english,14724.2149999985,4304.59999999404,4285.713,4385.685,19109.8999999985,19119.5,2022-08-11T02:17:39.923Z,19164.004,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-US,en-US,Australia/Sydney,-600,1280,720,1280,566,1280,566,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.920199501246883
4380e,31552.043000003,41886.099999994,41880.163,41896.657,73448.700000003,73449.5,2022-08-10T08:06:23.090Z,73451.941,female,2000,college,English,37509.806000006,4299.59999999404,4320.533,4370.594,41880.400000006,41884.900000006,2022-08-10T08:05:51.525Z,41896.657,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47",Win32,en-US,en-US,Australia/Sydney,-600,1409,939,1409,784,1409,832,1.94249999523163,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.930174563591022
43d03,94021,52148,52170,52188,146209,146209,2022-08-10T07:12:41.853Z,146239,male,2000,doctorate,English,47286,4770,4778,4785,52064,52148,2022-08-10T07:11:07.792Z,52188,1531,20.2.4,https://psa007.psysciacc.org/en1/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",MacIntel,en-au,en-AU,Australia/Sydney,-600,1440,900,1423,690,1423,738,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.874064837905237
44510,51896.8570003815,71668.3999996185,71658.719,71674.743,123571.600000381,123572.300000191,2022-08-10T07:13:16.213Z,123584.218,male,1993,college,English,68290.3740001907,3333.19999980927,2972.567,3371.926,71662.3000001907,71667.6999998093,2022-08-10T07:12:24.308Z,71674.743,1531,20.2.4,https://psa007.psysciacc.org/en4/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Australia/Sydney,-600,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.907730673316708
45f52,27183.635,17698.6000000001,17698.098,17704.665,44888.3,44888.8,2022-08-12T06:06:30.175Z,44888.921,male,2001,college,English,14685.9680000001,2985.10000000009,2980.353,3008.132,17694.1000000001,17697.9000000001,2022-08-12T06:06:02.984Z,17704.665,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47",Win32,en-US,en-US,Australia/Sydney,-600,1536,864,1536,698,1536,746,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,602,0.915282392026578
4b710,39878.5589999994,26909.2999999998,26900.953,26914.841,66793.3999999994,66793.5999999996,2022-08-09T08:54:20.568Z,66795.486,male,2000,high school,Korean,26691.7509999996,198.799999999814,200.461,214.349,26906.0999999996,26908.8999999994,2022-08-09T08:53:40.683Z,26914.841,1531,20.2.4,https://psa007.psysciacc.org/en/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Australia/Sydney,-600,1920,1080,947,805,947,853,1,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.972568578553616
55402,24720.2950000954,35761,35742.685,35763.605,60483.9000000954,60484.1000000238,2022-08-11T02:11:18.653Z,60486.896,male,2001,high school,English,28839.0430000715,6894.5,6884.916,6918.257,35757.3000000715,35760.7000000477,2022-08-11T02:10:53.926Z,35763.605,1531,20.2.4,https://psa007.psysciacc.org/en3/?lab=1531,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Australia/Sydney,-600,1500,1000,1500,880,1500,928,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.91645885286783
56a31,25965.318999997,23253.1999999881,23244.815,23261.481,49226.799999997,49227.099999994,2022-08-10T08:06:41.846Z,49227.691,female,2001,college,English,4114.75299999106,7126.69999998808,19078.315,19111.647,23226.3999999911,23252.599999994,2022-08-10T08:06:15.871Z,23261.481,1531,20.2.4,https://psa007.psysciacc.org/en3/?lab=1531,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Australia/Sydney,-600,1440,900,1440,741,1440,789,2,production,f5b4a49f956347addd546a832a3327688c2c0fef,keep,802,0.948877805486284
