"target_word","avgRT_unrelated","avgRT_related","avgZ_RT_unrelated","avgZ_RT_related","samplesize_unrelated","samplesize_related","seRT_unrelated","seRT_related","seZ_RT_unrelated","seZ_RT_related","avgRT_prime","avgZ_prime"
"abandon",541.846999996963,NA,-0.582732583443138,NA,3,NA,68.1927670370047,NA,0.139439495272363,NA,NA,NA
"abdominal",843.690400003851,690,0.779930814254641,-0.673524837432446,5,1,68.1447424100547,NA,0.24193010566247,NA,153.690400003851,1.45345565168709
"abduct",749.259999856935,NA,0.326862309930547,NA,2,NA,226.740000143065,NA,0.796818874849106,NA,NA,NA
"ability",527.264909076942,593.336750002214,-0.470171339569055,-0.353904593541164,66,4,15.9154318886931,50.6630497440524,0.0579028445761224,0.276315006080865,-66.0718409252717,-0.116266746027891
"about",440.237000000547,NA,-0.415172642538741,NA,1,NA,NA,NA,NA,NA,NA,NA
"absence",574.13864998015,575.354750000727,-0.321894981083556,-0.390463841038108,60,4,23.2038978269804,20.5354598248652,0.0794674852460285,0.0465862860011961,-1.21610002057696,0.068568859954552
"absurd",710.689499929998,482.180000008957,-0.0081132969805649,-0.599455690396321,4,2,79.4544602940141,131.819999991043,0.326541282167902,0.698833463071126,228.509499921041,0.591342393415756
"accept",521.442666674634,494.463163928331,-0.452268084773327,-0.588516128248772,3,61,113.907020351559,14.4556686713782,0.568486082223427,0.0529266908862262,26.9795027463033,0.136248043475446
"accident",620.461333333398,445.866666653155,-0.0563305332929878,-0.724410956375029,3,6,49.6616769932333,33.6251300897586,0.290384913134872,0.144805089554644,174.594666680243,0.668080423082042
"accompany",494.317999995546,601.807500002978,-0.75527291766862,-0.272947571522712,1,2,NA,94.8585000089515,NA,0.435485663348538,-107.489500007432,-0.482325346145907
"accusation",NA,575.936499967181,NA,-0.218400899658173,NA,6,NA,35.0400920747396,NA,0.143806568157862,NA,NA
"act",555.557999999961,413.198999976157,-0.623620320745896,-0.979772679852706,1,2,NA,11.76600002381,NA,0.155088132424671,142.359000023804,0.356152359106809
"activate",580,530.343599999696,-0.942764270748197,-0.665286748118583,1,5,NA,37.3655983365256,NA,0.096855490845868,49.656400000304,-0.277477522629614
"activity",508.232333339285,496.264696967936,-0.554564806193815,-0.623768504289734,3,66,26.6814913094239,14.9979318992923,0.18834728092516,0.0486123272309182,11.9676363713488,0.0692036980959188
"actor",591.627000023844,438.132000000049,0.00714607105187553,-0.964462093693212,1,4,NA,62.755313910418,NA,0.373343983535525,153.495000023795,0.971608164745087
"additional",796.111999976158,622.314000000013,0.381139603344477,-0.397132740853502,1,1,NA,NA,NA,NA,173.797999976145,0.778272344197979
"administrative",648.91538707292,695.606000005966,0.00163500027242925,0.158938311853185,62,1,22.5243427147882,NA,0.074957637235332,NA,-46.6906129330465,-0.157303311580755
"adrenaline",522.952999994042,636.633416636614,-0.649085417312867,-0.15269469280404,1,12,NA,27.5980862142568,NA,0.102687290802194,-113.680416642572,-0.496390724508827
"advise",NA,599.985374992954,NA,-0.287157129479736,NA,8,NA,58.3011055418588,NA,0.19809706966003,NA,NA
"agency",575.314571433701,588.261500003893,-0.241124350219629,-0.388241327687331,7,8,31.961196152619,57.7803512047002,0.163679687397268,0.189633053856886,-12.9469285701927,0.147116977467701
"agreement",589.868333342291,580.418999996968,-0.237062555422398,-0.539272730671258,3,1,16.4417604958885,NA,0.148726559201826,NA,9.44933334532311,0.30221017524886
"airport",NA,495.858000000298,NA,-0.928777733850146,NA,1,NA,NA,NA,NA,NA,NA
"alarm",449.085499997018,465.50199998822,-0.904549709342477,-0.825151515717934,2,2,10.085499997018,53.4980000120125,0.0208809140602689,0.204988945676583,-16.4164999912024,-0.0793981936245431
"alibi",NA,501.914000000106,NA,-0.883783519827605,NA,1,NA,NA,NA,NA,NA,NA
"alien",553.469865676398,662.270999999833,-0.36882966429633,1.30968859661334,67,1,18.3356865060414,NA,0.0698229696309564,NA,-108.801134323435,-1.67851826090967
"alley",617.859750001458,828.19900000596,-0.440097530514857,0.609226635652159,4,1,127.699134850529,NA,0.248197181668921,NA,-210.339250004502,-1.04932416616702
"alpha",629.342000023811,NA,0.147497494213939,NA,1,NA,NA,NA,NA,NA,NA,NA
"amazing",NA,476.614749929911,NA,-0.597649658667825,NA,4,NA,21.0327386615341,NA,0.116040831727608,NA,NA
