"eu_target","eu_cue","type","target_type","cue_type","eu_cosine"
"aurkako","-en aurrean","related","word","word",NA
"-en berri eman","-en berri eman","related","word","word",NA
"barruko","-tik kanpo","related","word","word",NA
"nola","abaildu","related","word","word",NA
"esker on","abegi","related","word","word",NA
"ekintzailea","aberats okitu","related","word","word",NA
"musikari","abeslari","related","word","word",0.556260535093458
"akusatzaile","abokatu","related","word","word",NA
"sentikortasun","aburu","related","word","word",NA
"txilibitu","adarra","related","word","word",0.20788360607006
"begiko","adeitsu","related","word","word",0.213655382318959
"espezialista","aditu","related","word","word",0.268498317476715
"gobernu","administrazio","related","word","word",0.3342583647224
"ye you","ados","related","word","word",NA
"gosari","afari","related","word","word",0.624189492773419
"amerika","afrika","related","word","word",0.622513345453182
"detektibe","agente","related","word","word",0.424212123187658
"seguruenik","agian","related","word","word",0.211594708527044
"manu","agindu","related","word","word",0.12747519675149
"agintza","agur","related","word","word",NA
"zuzkitu","ahalbidetu","related","word","word",NA
"oroitu","ahaztu","related","word","word",0.319437599813787
"neba","ahizpa","related","word","word",0.436643965631469
"sudur","aho","related","word","word",0.397768692576649
"gomendatu","aholku","related","word","word",0.321558167336124
"azentu","ahots","related","word","word",0.213367914117213
"deabru","aingeru","related","word","word",0.40305030939476
"nabigatu","aingura","related","word","word",0.260503068882405
"aintza","aintza","related","word","word",1
"oxigeno","aire","related","word","word",0.395317731093122
"mumen","aitatxo","related","word","word",NA
"amona","aitona","related","word","word",0.651424823301505
"jati","aitortu","related","word","word",NA
"ehortzi","aitzurtu","related","word","word",0.228904924315174
"seme","alaba","related","word","word",0.376172677436224
"erotu","alajeid","related","word","word",NA
"emakume","alargun","related","word","word",0.216226993668008
"abesti","album","related","word","word",0.31420674556144
"eskatu","aldarrikatu","related","word","word",0.321782516285684
"ihes","alde egin","related","word","word",NA
"irin","ale","related","word","word",0.18758153138772
"droga","alkohol","related","word","word",0.394581812683524
"jaka","alkondara","related","word","word",0.273033567802013
"akuratu","alokatu","related","word","word",NA
"aberastasun","altxor","related","word","word",0.296353269782284
"aita","ama","related","word","word",0.408332572522408
"bukatu","amai","related","word","word",0.462872931128032
"ametsa","amesgaizto","related","word","word",0.514163159635304
"nahaste","anabasa","related","word","word",0.285798102648816
"kapitalismo","anarkia","related","word","word",0.268023476832547
"psikologia","anatomia","related","word","word",0.489326462858086
"helikoptero","anbulantzia","related","word","word",0.373035323139678
"mait zaldi","andre","related","word","word",NA
"izugarria","anker","related","word","word",0.123560314103546
"txerto","antidoto","related","word","word",0.308370169421168
"antolatu","antolatu","related","word","word",1
"ahate","antzara","related","word","word",0.228148585221583
"desberdin","antzeko","related","word","word",0.231795565916676
"linac","apal","related","word","word",NA
"artudinal","apezpiku","related","word","word",NA
"greziera","apikoz","related","word","word",NA
"emakumezko","ar","related","word","word",0.079257891921427
"aurkitu","araketa","related","word","word",NA
"sorgina","arao","related","word","word",NA
"protokolo","arau","related","word","word",0.390315002452749
"arazo","arazo","related","word","word",1
"xanpaina","ardo","related","word","word",0.370653618650012
"aurkari","arerio","related","word","word",0.221686163477607
"ezbairik gabe","argi eta garbi","related","word","word",NA
"izpiritu","arima","related","word","word",0.397731896702715
"armategi","armategi","related","word","word",NA
"intsektu","armiarma","related","word","word",0.393720281216883
"ubelune","arraia egin","related","word","word",NA
"porrot","arrakasta","related","word","word",0.283507618164882
"salakuntza","arrangura","related","word","word",NA
"komunista","arrazista","related","word","word",0.511044823084303
"eragin","arrazoi","related","word","word",0.114666761396639
"eragin","arreta","related","word","word",0.121947292912266
"arrisku","arrisku","related","word","word",1
"arriskutsu","arriskugarri","related","word","word",NA
"harri","arroka","related","word","word",0.227553515964501
"literatura","arte","related","word","word",0.153570420176202
"domina","artiflact","related","word","word",NA
"egunkari","artikulu","related","word","word",0.408902498794726
"margolari","artista","related","word","word",0.300325714243055
"bitxi","asalde","related","word","word",NA
"hiltzaile","asasino","related","word","word",NA
"demokrazia","askatasuna","related","word","word",0.36539024216435
"han","asko","related","word","word",0.113645688269159
"jomuga","asmo","related","word","word",0.169888491866337
"morfina","aspirina","related","word","word",0.571549381484103
"astearte","astelehen","related","word","word",0.716356200404297
"ipurdi","asto","related","word","word",0.169036710413275
"zaldi","asto","related","word","word",0.237699481593816
"pilotu","astronauta","related","word","word",0.139928472615838
"biziki","astun","related","word","word",0.0924123910436298
"kezka","asuntu","related","word","word",NA
"burdin langa","atari","related","word","word",NA
"babestu","aterpe","related","word","word",0.167660533730036
"furgoneta","atoi","related","word","word",0.362401292213074
"nuklear","atomiko","related","word","word",0.515889512863072
"lo","atsedena","related","word","word",0.34274746347974
"polit","atsegin","related","word","word",0.141429524712367
"paranormal","aturan","related","word","word",NA
"erabilpen","atxiki","related","word","word",0.17655791742591
"goiztiar","atzeratu","related","word","word",0.1379117327297
"ahalbide","aukera","related","word","word",NA
"gerta daitekeen","aukera","related","word","word",NA
