"hu_target","hu_cue","type","target_type","cue_type","hu_cosine"
"ajtó","ablak","related","word","word",0.690399156917064
"információ","adat","related","word","word",0.617065466551895
"kormány","adminisztráció","related","word","word",0.397800972769549
"adomány","adomány","related","word","word",1
"amerika","afrika","related","word","word",0.571058770013399
"ideges","aggódó","related","word","word",0.430876103625961
"agyi-","agy","related","word","word",NA
"hiv","aids","related","word","word",0.612777138904875
"arcátlanság","ajak","related","word","word",0.207399032115314
"parfüm","ajakrúzs","related","word","word",0.446548284574408
"adni","ajánlat","related","word","word",0.183291885758215
"kihívás","akadály","related","word","word",0.399868304578504
"bőrönd","aktatáska","related","word","word",0.589016528934399
"tevékenység","aktív","related","word","word",0.375640867199103
"túloz","alábecsül","related","word","word",0.422436952350942
"magas","alacsony","related","word","word",0.734708977160453
"szerény","alázatos","related","word","word",0.523269959263483
"dal","album","related","word","word",0.496116716338685
"ragadozó","áldozat","related","word","word",0.23733376793869
"támadó","áldozat","related","word","word",0.388260528167507
"használat","alkalmaz","related","word","word",0.354374319536522
"drog","alkohol","related","word","word",0.62647805372469
"pozíció","állapot","related","word","word",0.354437529706899
"cirkusz","állatkert","related","word","word",0.421983651688992
"ül","állvány","related","word","word",0.200832337908872
"gyümölcs","alma","related","word","word",0.587760915650915
"felső","alsó","related","word","word",0.75268408814835
"szakmai","amatőr","related","word","word",0.22273018985631
"kapitalizmus","anarchia","related","word","word",0.410122260211778
"pszichológia","anatómia","related","word","word",0.57769184234138
"francia","angol","related","word","word",0.680517794814591
"ördög","angyal","related","word","word",0.516891953568646
"apa","anya","related","word","word",0.89542154129417
"mama","apu","related","word","word",0.554140384758109
"magazin","aranyifjú","related","word","word",0.189889220767054
"ezüst","aranysárga","related","word","word",0.54534860410288
"csatatér","aréna","related","word","word",0.391600288492621
"sötét","árnyék","related","word","word",0.354547732194971
"bűnös","ártatlan","related","word","word",0.5729840967671
"kolostor","árvaház","related","word","word",0.469263253606308
"eladás","árverés","related","word","word",0.531920624992179
"fegyvertár","arzenál","related","word","word",0.378670787491012
"eltemet","ás","related","word","word",0.307892661458963
"morfin","aszpirin","related","word","word",0.474439148543163
"hivatal","asztal","related","word","word",0.137605091712522
"szék","asztal","related","word","word",0.596410354112679
"boszorkány","átok","related","word","word",0.489745857457207
"nukleáris","atom","related","word","word",0.519849051327911
"fotós","autogram","related","word","word",0.299109312232477
"gyermek","baba","related","word","word",0.592128176991432
"játék","baba","related","word","word",0.220150776400668
"probléma","baj","related","word","word",0.62075967693583
"szépség","báj","related","word","word",0.555969478910793
"harcos","bajnok","related","word","word",0.442676630723147
"eper","banán","related","word","word",0.49640753575816
"csoport","banda","related","word","word",0.455403735238563
"befektető","bankár","related","word","word",0.506954335095856
"pénzügyi","banki","related","word","word",0.582765775501296
"kék","barna","related","word","word",0.630820364963818
"grófnő","báró","related","word","word",0.507095664008849
"meghatározás","bátorság","related","word","word",0.301556817939869
"központ","bázis","related","word","word",0.283939126999574
"vezetéknév","becenév","related","word","word",0.523758351559107
"ésszerű","becsületes","related","word","word",0.364069566810575
"hatás","befolyás","related","word","word",0.48719692912529
"bevallani","beismerni","related","word","word",0.765472438915892
"gyík","béka","related","word","word",0.469860649215223
"atlanti","békés","related","word","word",0.115450055927694
"megy","belép","related","word","word",0.268029316691915
"külső","belső","related","word","word",0.635198127251968
"aláírás","bélyeg","related","word","word",0.444416941113387
"érzés","benyomás","related","word","word",0.395491683378257
"bérlés","bérel","related","word","word",0.452817621018237
"földesúr","bérlő","related","word","word",0.362908953046925
"szentbeszéd","beszéd","related","word","word",0.668276532830704
"beszél","beszélgetés","related","word","word",0.304730247372166
"vita","beszélgetés","related","word","word",0.528531346718388
"beteg","beteg","related","word","word",1
