hu_cue,hu_target,type,cue_type,target_type,hu_cosine
ablak,ajtó,related,word,word,0.690399156917064
adat,információ,related,word,word,0.617065466551895
adminisztráció,kormány,related,word,word,0.397800972769549
jótékonyság,adomány,related,word,word,0.614873620990307
afrika,amerika,related,word,word,0.571058770013399
aggódó,ideges,related,word,word,0.430876103625961
agy,agyi-,related,word,word,
aids,hiv,related,word,word,0.612777138904875
ajak,arc,related,word,word,0.348925791839579
ajakrúzs,parfüm,related,word,word,0.446548284574408
ajánlat,adni,related,word,word,0.183291885758215
akadály,kihívás,related,word,word,0.399868304578504
aktatáska,bőrönd,related,word,word,0.589016528934399
aktív,tevékenység,related,word,word,0.375640867199103
alábecsül,túloz,related,word,word,0.422436952350942
alacsony,magas,related,word,word,0.734708977160453
alázatos,szerény,related,word,word,0.523269959263483
album,dal,related,word,word,0.496116716338685
zsákmány,ragadozó,related,word,word,0.485008881808265
áldozat,támadó,related,word,word,0.388260528167507
alkalmaz,használat,related,word,word,0.354374319536522
alkohol,drog,related,word,word,0.626478053724691
állapot,pozíció,related,word,word,0.354437529706899
állatkert,cirkusz,related,word,word,0.421983651688992
áll,ül,related,word,word,0.315418746040599
alma,gyümölcs,related,word,word,0.587760915650916
alsó,felső,related,word,word,0.75268408814835
amatőr,szakmai,related,word,word,0.22273018985631
anarchia,kapitalizmus,related,word,word,0.410122260211778
anatómia,pszichológia,related,word,word,0.57769184234138
angol,francia,related,word,word,0.680517794814591
angyal,ördög,related,word,word,0.516891953568646
anya,apa,related,word,word,0.89542154129417
apu,mama,related,word,word,0.554140384758109
selyemfiú,magazin,related,word,word,0.10984695055136
aranysárga,ezüst,related,word,word,0.54534860410288
aréna,csatatér,related,word,word,0.391600288492621
árnyék,sötét,related,word,word,0.354547732194971
ártatlan,bűnös,related,word,word,0.5729840967671
árvaház,kolostor,related,word,word,0.469263253606308
árverés,eladás,related,word,word,0.531920624992179
arzenál,fegyvertár,related,word,word,0.378670787491012
ás,eltemet,related,word,word,0.307892661458963
aszpirin,morfin,related,word,word,0.474439148543163
asztal,hivatal,related,word,word,0.137605091712522
asztal,szék,related,word,word,0.596410354112679
átok,boszorkány,related,word,word,0.489745857457207
atom,nukleáris,related,word,word,0.519849051327911
autogram,fotós,related,word,word,0.299109312232477
baba,gyermek,related,word,word,0.592128176991432
baba,játék,related,word,word,0.220150776400668
baj,probléma,related,word,word,0.62075967693583
báj,szépség,related,word,word,0.555969478910793
bajnok,harcos,related,word,word,0.442676630723147
banán,eper,related,word,word,0.49640753575816
banda,csoport,related,word,word,0.455403735238563
bankár,befektető,related,word,word,0.506954335095856
banki,pénzügyi,related,word,word,0.582765775501296
barna,kék,related,word,word,0.630820364963818
báró,grófnő,related,word,word,0.507095664008849
bátorság,meghatározás,related,word,word,0.301556817939869
bázis,központ,related,word,word,0.283939126999574
becenév,vezetéknév,related,word,word,0.523758351559108
becsületes,ésszerű,related,word,word,0.364069566810575
befolyás,hatás,related,word,word,0.48719692912529
beismerni,bevallani,related,word,word,0.765472438915892
béka,gyík,related,word,word,0.469860649215223
békés,atlanti,related,word,word,0.115450055927694
belép,megy,related,word,word,0.268029316691916
belső,külső,related,word,word,0.635198127251968
bélyeg,aláírás,related,word,word,0.444416941113387
benyomás,érzés,related,word,word,0.395491683378257
bérel,bérlés,related,word,word,0.452817621018237
bérlő,földesúr,related,word,word,0.362908953046925
beszéd,szentbeszéd,related,word,word,0.668276532830704
beszélgetés,beszél,related,word,word,0.304730247372166
beszélgetés,vita,related,word,word,0.528531346718388
rossz,beteg,related,word,word,0.283891339428895
beteg,ügyfél,related,word,word,0.249844631314257
betét,tedd,related,word,word,0.127109202954507
betöltés,szállítmány,related,word,word,0.239958828352732
biblia,könyv,related,word,word,0.518471912609224
bíróság,bíró,related,word,word,0.660564333514351
bizalom,hinni,related,word,word,0.267517644955016
bizonyíték,tanújel,related,word,word,0.36469449416909
elhárítás,biztonság,related,word,word,0.341756170860438
veszélytelen,biztonságos,related,word,word,0.453248333727717
bók,ajándék,related,word,word,0.360216251995995
bokor,fa,related,word,word,0.505176730814393
bolond,idióta,related,word,word,0.661937711908905
bolygó,pálya,related,word,word,0.310353350537551
bomba,robbanó,related,word,word,0.574537821380393
boncolás,elemzés,related,word,word,0.487016293847226
bónusz,jutalom,related,word,word,0.477377419713296
bor,pezsgő,related,word,word,0.671535292937953
bőr,szövet,related,word,word,0.595294049667707
boríték,csomag,related,word,word,0.482838241134414
borító,elrejt,related,word,word,0.123248164766738
borzalom,félelem,related,word,word,0.406974408858192
bosszú,igazságszolgáltatás,related,word,word,0.366491677771907
bravo,alfa,related,word,word,0.533244811351006
brutális,kegyetlen,related,word,word,0.662785872903248
vétek,bűn,related,word,word,0.540476854501693
büntet,letartóztatás,related,word,word,0.266150474564364
büntetés,bebörtönzés,related,word,word,0.478333559381297
burgonya,paradicsom,related,word,word,0.52464278526326
büszke,izgatott,related,word,word,0.395814575202406
büszkeség,méltóság,related,word,word,0.55376346165093
caesar,róma,related,word,word,0.461026379031161
cápa,hal,related,word,word,0.480870731062709
cég,ügynökség,related,word,word,0.494851396984906
célja,szándék,related,word,word,0.354848088662891
cement,műanyag,related,word,word,0.403312003048945
cikk,újság,related,word,word,0.558194897951786
civil,katonai,related,word,word,0.464696479378415
csapda,csali,related,word,word,0.453037689202632
császári,császár,related,word,word,0.733317491728367
csatorna,hírek,related,word,word,0.329472349434497
csendes,nyugodt,related,word,word,0.653693524744452
csendes,csend,related,word,word,0.569440292105472
csepp,korty,related,word,word,0.50706641243027
csésze,kávé,related,word,word,0.563998502201125
csiga,teknősbéka,related,word,word,0.385831825102964
csirke,pulyka,related,word,word,0.506890072587458
csodál,méltányol,related,word,word,0.429909384314458
csodálatos,fantasztikus,related,word,word,0.773105310318046
csók,ölelés,related,word,word,0.576070495531755
csomagtartó,cipő,related,word,word,0.24679220789123
csont,koponya,related,word,word,0.553318911705202
csúnya,mocskos,related,word,word,0.482804745659693
cukor,csokoládé,related,word,word,0.584049874400669
dajka,szobalány,related,word,word,0.400862875351744
dékán,egyetemi tanár,related,word,word,
déli,északi,related,word,word,0.75380410493531
déli,nyugati,related,word,word,0.644933483117815
desszert,torta,related,word,word,0.511528415860797
detonátor,időzítő,related,word,word,0.524024033037475
diák,tanár,related,word,word,0.668729912046583
dicső,dicsőség,related,word,word,0.636473052262134
dinasztia,birodalom,related,word,word,0.528564295478498
divatos,elegáns,related,word,word,0.577045095177684
dns,ujjlenyomat,related,word,word,0.608167967813543
doboz,táska,related,word,word,0.535013931652668
dohány,cigaretta,related,word,word,0.605192312185204
dózis,injekció,related,word,word,0.55408006701439
drága,olcsó,related,word,word,0.480551400422996
